Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Ano do Óbito
Período:2014-2024
"Município-BA";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290010 Abaíra";71;50;66;81;62;90;79;82;80;75;55;791
"290020 Abaré";70;100;101;79;101;94;119;116;110;101;72;1063
"290030 Acajutiba";103;122;109;112;110;129;137;141;147;117;86;1313
"290035 Adustina";67;84;99;73;73;94;100;107;105;104;91;997
"290040 Água Fria";113;82;71;114;99;115;112;115;108;104;92;1125
"290060 Aiquara";33;26;33;28;30;29;45;40;29;35;34;362
"290070 Alagoinhas";970;1002;1050;1061;1111;1158;1215;1319;1188;1143;878;12095
"290080 Alcobaça";131;112;140;139;167;147;143;177;196;179;124;1655
"290090 Almadina";48;56;45;56;51;52;74;73;81;55;41;632
"290100 Amargosa";255;259;289;300;266;291;322;348;318;297;258;3203
"290110 Amélia Rodrigues";152;171;116;161;182;165;198;190;165;176;142;1818
"290115 América Dourada";68;84;84;85;95;106;94;105;89;121;87;1018
"290120 Anagé";137;147;130;118;161;141;140;165;179;171;124;1613
"290130 Andaraí";56;73;66;61;67;72;89;111;84;86;63;828
"290135 Andorinha";85;92;97;86;67;96;111;135;134;115;80;1098
"290140 Angical";105;92;97;95;96;99;99;112;119;96;60;1070
"290150 Anguera";69;59;57;85;75;74;73;77;83;81;53;786
"290160 Antas";80;74;96;80;87;86;93;95;121;93;81;986
"290170 Antônio Cardoso";58;71;65;61;74;71;68;88;78;85;73;792
"290180 Antônio Gonçalves";49;55;67;79;59;76;76;89;89;78;61;778
"290190 Aporá";109;108;105;113;140;149;145;149;152;139;78;1387
"290195 Apuarema";41;47;46;52;43;46;57;62;64;55;45;558
"290205 Araças";54;65;67;74;84;79;80;74;73;81;39;770
"290200 Aracatu";73;86;90;97;82;89;126;102;120;106;82;1053
"290210 Araci";258;280;263;277;305;299;293;350;297;310;261;3193
"290220 Aramari";49;48;60;65;76;57;79;62;85;75;43;699
"290225 Arataca";51;61;80;69;74;61;95;66;55;67;52;731
"290230 Aratuípe";49;56;46;45;62;55;58;50;54;57;32;564
"290240 Aurelino Leal";84;74;91;93;96;134;107;134;133;99;86;1131
"290250 Baianópolis";62;55;55;72;83;78;77;113;99;87;72;853
"290260 Baixa Grande";123;132;139;161;132;159;165;159;148;142;94;1554
"290265 Banzaê";60;61;58;69;65;79;88;90;95;79;72;816
"290270 Barra";249;260;281;291;314;276;300;375;361;306;253;3266
"290280 Barra da Estiva";129;129;149;138;157;163;141;179;151;148;141;1625
"290290 Barra do Choça";182;187;232;221;252;237;243;271;290;257;256;2628
"290300 Barra do Mendes";94;96;99;99;120;98;126;114;136;108;101;1191
"290310 Barra do Rocha";40;45;31;42;38;33;53;42;42;35;45;446
"290320 Barreiras";721;754;739;760;808;779;906;1065;849;841;691;8913
"290323 Barro Alto";59;80;96;92;123;86;114;122;110;116;92;1090
"290330 Barro Preto";58;63;55;47;58;44;69;75;53;64;50;636
"290327 Barrocas";61;82;63;65;80;87;84;108;102;84;73;889
"290340 Belmonte";153;164;137;194;150;150;145;182;193;178;110;1756
"290350 Belo Campo";135;129;115;154;132;144;122;150;173;167;151;1572
"290360 Biritinga";83;110;96;104;97;124;133;118;133;121;91;1210
"290370 Boa Nova";106;115;108;111;100;112;111;115;131;116;106;1231
"290380 Boa Vista do Tupim";103;96;100;112;94;106;117;124;79;135;74;1140
"290390 Bom Jesus da Lapa";313;366;371;391;397;400;416;527;457;483;374;4495
"290395 Bom Jesus da Serra";63;46;68;57;60;65;83;79;93;72;54;740
"290400 Boninal";84;89;79;91;101;106;103;114;102;96;66;1031
"290405 Bonito";79;64;62;70;78;87;80;91;81;67;58;817
"290410 Boquira";117;124;112;155;139;128;166;163;188;180;145;1617
"290420 Botuporã";56;63;50;57;63;54;55;77;70;86;70;701
"290430 Brejões";86;86;97;96;101;86;99;90;111;98;85;1035
"290440 Brejolândia";39;43;47;30;28;53;59;87;57;39;40;522
"290450 Brotas de Macaúbas";92;89;101;89;89;93;94;123;126;120;74;1090
"290460 Brumado";371;408;421;460;462;434;468;601;538;517;413;5093
"290470 Buerarema";140;164;178;171;117;154;188;184;184;190;145;1815
"290475 Buritirama";75;85;82;84;119;93;125;134;117;119;63;1096
"290480 Caatiba";45;55;50;47;28;40;53;47;49;45;32;491
"290485 Cabaceiras do Paraguaçu";97;108;85;101;108;127;117;124;126;109;81;1183
"290490 Cachoeira";208;246;238;235;213;229;229;241;278;222;204;2543
"290500 Caculé";147;124;116;126;134;133;179;180;225;167;143;1674
"290510 Caém";67;59;63;62;68;74;65;94;82;70;53;757
"290515 Caetanos";56;50;37;61;57;66;74;73;84;76;37;671
"290520 Caetité";296;283;294;293;294;322;314;375;405;377;329;3582
"290530 Cafarnaum";103;108;113;93;110;102;126;128;123;124;91;1221
"290540 Cairu";61;58;70;60;73;81;88;81;90;98;72;832
"290550 Caldeirão Grande";67;69;70;76;55;85;94;87;96;90;57;846
"290560 Camacan";204;184;218;208;250;213;234;268;240;198;173;2390
"290570 Camaçari";1307;1319;1389;1488;1406;1456;1692;2154;1738;1806;1428;17183
"290580 Camamu";171;170;199;228;216;234;244;272;226;247;135;2342
"290590 Campo Alegre de Lourdes";113;124;128;114;144;154;159;187;173;192;140;1628
"290600 Campo Formoso";333;395;375;367;371;428;479;516;507;466;416;4653
"290610 Canápolis";28;20;14;38;39;39;51;61;58;62;40;450
"290620 Canarana";140;165;136;152;128;165;179;202;211;185;124;1787
"290630 Canavieiras";234;205;244;220;261;244;268;290;255;255;136;2612
"290640 Candeal";50;54;43;70;56;59;61;60;72;73;49;647
"290650 Candeias";455;497;500;505;533;554;630;667;506;556;395;5798
"290660 Candiba";62;60;74;80;112;105;98;117;111;103;56;978
"290670 Cândido Sales";185;177;182;199;186;224;229;228;235;238;188;2271
"290680 Cansanção";193;211;257;238;235;229;279;278;251;287;229;2687
"290682 Canudos";55;81;92;90;73;61;99;99;104;103;91;948
"290685 Capela do Alto Alegre";55;60;63;84;74;89;90;86;110;94;69;874
"290687 Capim Grosso";180;173;216;208;198;169;242;270;224;240;172;2292
"290689 Caraíbas";53;49;65;64;72;71;91;73;83;84;65;770
"290690 Caravelas";100;111;107;151;116;132;152;176;144;122;137;1448
"290700 Cardeal da Silva";51;43;47;41;42;59;52;61;56;55;32;539
"290710 Carinhanha";146;153;146;146;195;160;167;222;181;206;164;1886
"290720 Casa Nova";335;378;361;388;357;401;452;474;507;456;356;4465
"290730 Castro Alves";168;190;181;209;202;195;200;220;203;223;178;2169
"290740 Catolândia";12;19;17;8;27;20;15;18;20;33;14;203
"290750 Catu";306;332;344;317;352;345;340;420;360;339;278;3733
"290755 Caturama";35;37;45;53;44;61;59;88;60;63;36;581
"290760 Central";106;93;116;110;95;102;120;140;136;124;89;1231
"290770 Chorrochó";60;67;60;73;66;70;90;67;85;71;67;776
"290780 Cícero Dantas";217;206;243;212;228;231;266;294;257;272;184;2610
"290790 Cipó";105;93;100;102;111;116;115;144;142;126;97;1251
"290800 Coaraci";185;204;214;206;194;186;210;219;212;209;176;2215
"290810 Cocos";50;59;53;99;80;98;107;112;140;118;81;997
"290820 Conceição da Feira";125;121;145;133;137;135;148;193;140;152;122;1551
"290830 Conceição do Almeida";99;108;133;136;140;140;154;143;141;147;121;1462
"290840 Conceição do Coité";359;364;395;365;415;400;495;470;517;456;358;4594
"290850 Conceição do Jacuípe";210;218;227;204;214;214;239;222;285;222;197;2452
"290860 Conde";128;118;102;123;136;129;146;148;157;146;126;1459
"290870 Condeúba";127;132;108;133;116;115;123;141;143;152;104;1394
"290880 Contendas do Sincorá";32;22;39;32;23;22;38;42;32;42;28;352
"290890 Coração de Maria";128;132;138;171;172;163;174;182;170;165;147;1742
