Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Ano do Óbito
Período:2017-2024
"Município-BA";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290010 Abaíra";81;62;90;79;82;80;75;55;604
"290020 Abaré";79;101;94;119;116;110;101;67;787
"290030 Acajutiba";112;110;129;137;141;146;117;86;978
"290035 Adustina";73;73;94;100;107;105;104;91;747
"290040 Água Fria";114;99;115;112;115;108;104;92;859
"290060 Aiquara";28;30;29;45;40;29;35;33;269
"290070 Alagoinhas";1061;1111;1158;1215;1319;1188;1143;848;9043
"290080 Alcobaça";139;167;147;143;177;196;179;117;1265
"290090 Almadina";56;51;52;74;73;81;55;40;482
"290100 Amargosa";300;266;291;322;348;318;297;255;2397
"290110 Amélia Rodrigues";161;182;165;198;190;165;176;140;1377
"290115 América Dourada";85;95;106;94;105;89;121;79;774
"290120 Anagé";118;161;141;140;165;179;171;121;1196
"290130 Andaraí";61;67;72;89;111;84;86;61;631
"290135 Andorinha";86;67;96;111;135;134;115;80;824
"290140 Angical";95;96;99;99;112;119;96;60;776
"290150 Anguera";85;75;74;73;77;83;81;51;599
"290160 Antas";80;87;86;93;95;121;93;77;732
"290170 Antônio Cardoso";61;74;71;68;88;78;85;70;595
"290180 Antônio Gonçalves";79;59;76;76;89;88;78;61;606
"290190 Aporá";113;140;149;145;149;152;139;77;1064
"290195 Apuarema";52;43;46;57;62;64;55;45;424
"290205 Araças";74;84;79;80;74;73;81;39;584
"290200 Aracatu";97;82;89;126;102;120;106;82;804
"290210 Araci";277;305;299;293;350;297;310;258;2389
"290220 Aramari";65;76;57;79;62;85;75;41;540
"290225 Arataca";69;74;61;95;66;55;67;49;536
"290230 Aratuípe";45;62;55;58;50;54;57;31;412
"290240 Aurelino Leal";93;96;134;107;134;133;96;81;874
"290250 Baianópolis";72;83;78;77;113;99;87;71;680
"290260 Baixa Grande";161;132;159;165;159;148;142;90;1156
"290265 Banzaê";69;65;79;88;90;95;79;72;637
"290270 Barra";291;314;276;300;375;359;305;237;2457
"290280 Barra da Estiva";138;157;163;141;179;151;148;135;1212
"290290 Barra do Choça";221;252;237;243;271;290;257;235;2006
"290300 Barra do Mendes";99;120;98;126;114;136;108;98;899
"290310 Barra do Rocha";42;38;33;53;42;42;35;43;328
"290320 Barreiras";760;808;779;906;1065;848;841;670;6677
"290323 Barro Alto";92;123;86;114;122;110;116;90;853
"290330 Barro Preto";47;58;44;69;75;53;64;47;457
"290327 Barrocas";65;80;87;84;108;102;84;73;683
"290340 Belmonte";194;150;150;145;182;193;178;109;1301
"290350 Belo Campo";154;132;144;122;150;173;167;139;1181
"290360 Biritinga";104;97;124;133;118;133;121;80;910
"290370 Boa Nova";111;100;112;111;115;131;116;104;900
"290380 Boa Vista do Tupim";112;94;106;117;124;78;135;73;839
"290390 Bom Jesus da Lapa";391;397;400;416;527;457;483;343;3414
"290395 Bom Jesus da Serra";57;60;65;83;79;93;72;52;561
"290400 Boninal";91;101;106;103;114;102;96;62;775
"290405 Bonito";70;78;87;80;91;81;67;56;610
"290410 Boquira";155;139;128;166;163;188;180;142;1261
"290420 Botuporã";57;63;54;55;77;70;86;69;531
"290430 Brejões";96;101;86;99;90;111;98;83;764
"290440 Brejolândia";30;28;53;59;87;57;39;39;392
"290450 Brotas de Macaúbas";89;89;93;94;123;125;120;74;807
"290460 Brumado";460;462;434;468;601;538;517;389;3869
"290470 Buerarema";171;117;154;188;184;184;190;134;1322
"290475 Buritirama";84;119;93;125;134;117;119;61;852
"290480 Caatiba";47;28;40;53;47;49;45;32;341
"290485 Cabaceiras do Paraguaçu";101;108;127;117;124;126;109;79;891
"290490 Cachoeira";235;213;229;229;241;278;222;197;1844
"290500 Caculé";126;134;133;179;180;225;167;133;1277
"290510 Caém";62;68;74;65;94;82;70;47;562
"290515 Caetanos";61;57;66;74;73;84;76;37;528
"290520 Caetité";293;294;322;314;375;405;377;322;2702
"290530 Cafarnaum";93;110;102;126;128;123;124;88;894
"290540 Cairu";60;73;81;88;81;90;98;72;643
"290550 Caldeirão Grande";76;55;85;94;87;96;90;57;640
"290560 Camacan";208;250;213;234;268;240;198;166;1777
