Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Assistência Médica
Período:2017
"Município-BA";"Sim";"Não";"Ignorado";"Total"
"290010 Abaíra";44;3;34;81
"290020 Abaré";11;7;61;79
"290030 Acajutiba";47;19;46;112
"290035 Adustina";26;2;45;73
"290040 Água Fria";14;14;86;114
"290060 Aiquara";5;4;19;28
"290070 Alagoinhas";767;224;70;1061
"290080 Alcobaça";69;17;53;139
"290090 Almadina";6;3;47;56
"290100 Amargosa";34;23;243;300
"290110 Amélia Rodrigues";42;11;108;161
"290115 América Dourada";24;11;50;85
"290120 Anagé";10;5;103;118
"290130 Andaraí";9;9;43;61
"290135 Andorinha";8;52;26;86
"290140 Angical";37;7;51;95
"290150 Anguera";11;8;66;85
"290160 Antas";21;7;52;80
"290170 Antônio Cardoso";10;4;47;61
"290180 Antônio Gonçalves";14;30;35;79
"290190 Aporá";50;15;48;113
"290195 Apuarema";10;6;36;52
"290205 Araças";31;13;30;74
"290200 Aracatu";11;8;78;97
"290210 Araci";132;98;47;277
"290220 Aramari";46;10;9;65
"290225 Arataca";19;3;47;69
"290230 Aratuípe";25;7;13;45
"290240 Aurelino Leal";6;6;81;93
"290250 Baianópolis";28;4;40;72
"290260 Baixa Grande";76;74;11;161
"290265 Banzaê";24;4;41;69
"290270 Barra";57;23;211;291
"290280 Barra da Estiva";43;16;79;138
"290290 Barra do Choça";33;15;173;221
"290300 Barra do Mendes";77;14;8;99
"290310 Barra do Rocha";4;5;33;42
"290320 Barreiras";443;79;238;760
"290323 Barro Alto";74;12;6;92
"290330 Barro Preto";4;1;42;47
"290327 Barrocas";10;3;52;65
"290340 Belmonte";91;35;68;194
"290350 Belo Campo";9;5;140;154
"290360 Biritinga";11;5;88;104
"290370 Boa Nova";18;3;90;111
"290380 Boa Vista do Tupim";18;6;88;112
"290390 Bom Jesus da Lapa";248;117;26;391
"290395 Bom Jesus da Serra";4;1;52;57
"290400 Boninal";4;2;85;91
"290405 Bonito";25;2;43;70
"290410 Boquira";16;6;133;155
"290420 Botuporã";12;-;45;57
"290430 Brejões";8;6;82;96
"290440 Brejolândia";14;7;9;30
"290450 Brotas de Macaúbas";64;20;5;89
"290460 Brumado";134;35;291;460
"290470 Buerarema";20;12;139;171
"290475 Buritirama";54;9;21;84
"290480 Caatiba";3;1;43;47
"290485 Cabaceiras do Paraguaçu";25;11;65;101
"290490 Cachoeira";63;20;152;235
"290500 Caculé";20;4;102;126
"290510 Caém";7;2;53;62
"290515 Caetanos";6;2;53;61
"290520 Caetité";67;16;210;293
"290530 Cafarnaum";37;7;49;93
"290540 Cairu";36;14;10;60
"290550 Caldeirão Grande";12;3;61;76
"290560 Camacan";21;11;176;208
"290570 Camaçari";777;421;290;1488
"290580 Camamu";30;42;156;228
"290590 Campo Alegre de Lourdes";31;76;7;114
"290600 Campo Formoso";54;26;287;367
"290610 Canápolis";11;3;24;38
"290620 Canarana";76;30;46;152
"290630 Canavieiras";113;26;81;220
"290640 Candeal";13;4;53;70
"290650 Candeias";176;103;226;505
"290660 Candiba";16;3;61;80
"290670 Cândido Sales";9;9;181;199
"290680 Cansanção";60;19;159;238
"290682 Canudos";21;2;67;90
"290685 Capela do Alto Alegre";62;9;13;84
"290687 Capim Grosso";112;60;36;208
"290689 Caraíbas";5;5;54;64
"290690 Caravelas";59;14;78;151
"290700 Cardeal da Silva";9;8;24;41
"290710 Carinhanha";32;5;109;146
"290720 Casa Nova";147;166;75;388
"290730 Castro Alves";118;14;77;209
"290740 Catolândia";6;-;2;8
"290750 Catu";107;43;167;317
"290755 Caturama";27;2;24;53
"290760 Central";46;9;55;110
"290770 Chorrochó";7;2;64;73
"290780 Cícero Dantas";34;9;169;212
"290790 Cipó";21;2;79;102
"290800 Coaraci";33;5;168;206
"290810 Cocos";10;5;84;99
"290820 Conceição da Feira";28;12;93;133
"290830 Conceição do Almeida";43;13;80;136
"290840 Conceição do Coité";249;76;40;365
"290850 Conceição do Jacuípe";44;10;150;204
"290860 Conde";50;23;50;123
"290870 Condeúba";6;3;124;133
"290880 Contendas do Sincorá";5;4;23;32
"290890 Coração de Maria";43;13;115;171
"290900 Cordeiros";6;2;48;56
"290910 Coribe";12;6;61;79
"290920 Coronel João Sá";25;8;59;92
"290930 Correntina";25;20;131;176
"290940 Cotegipe";27;7;52;86
"290950 Cravolândia";7;4;29;40
"290960 Crisópolis";29;13;97;139
"290970 Cristópolis";22;4;45;71
"290980 Cruz das Almas";81;30;300;411
"290990 Curaçá";108;35;54;197
"291000 Dário Meira";21;9;32;62
"291005 Dias d'Ávila";240;114;68;422
"291010 Dom Basílio";8;4;58;70
"291020 Dom Macedo Costa";7;2;23;32
"291030 Elísio Medrado";19;5;32;56
"291040 Encruzilhada";12;10;111;133
"291050 Entre Rios";71;63;143;277
"290050 Érico Cardoso";41;2;42;85
"291060 Esplanada";67;30;120;217
"291070 Euclides da Cunha";88;21;281;390
"291072 Eunápolis";302;140;337;779
"291075 Fátima";47;8;50;105
"291077 Feira da Mata";4;2;18;24
"291080 Feira de Santana";735;323;2750;3808
"291085 Filadélfia";10;10;71;91
"291090 Firmino Alves";5;-;34;39
"291100 Floresta Azul";12;3;56;71
"291110 Formosa do Rio Preto";36;12;83;131
"291120 Gandu";114;25;47;186
"291125 Gavião";16;7;9;32
"291130 Gentio do Ouro";15;5;45;65
"291140 Glória";36;7;67;110
"291150 Gongogi";3;5;38;46
"291160 Governador Mangabeira";33;27;86;146
"291165 Guajeru";25;10;21;56
"291170 Guanambi";362;25;135;522
"291180 Guaratinga";20;16;80;116
"291185 Heliópolis";41;5;46;92
"291190 Iaçu";71;11;108;190
"291200 Ibiassucê";16;1;49;66
"291210 Ibicaraí";67;38;75;180
"291220 Ibicoara";22;10;47;79
"291230 Ibicuí";13;2;96;111
"291240 Ibipeba";46;10;40;96
"291250 Ibipitanga";15;2;66;83
"291260 Ibiquera";11;1;8;20
"291270 Ibirapitanga";12;10;128;150
"291280 Ibirapuã";34;4;11;49
"291290 Ibirataia";21;12;130;163
"291300 Ibitiara";18;5;73;96
"291310 Ibititá";31;10;71;112
"291320 Ibotirama";47;19;138;204
"291330 Ichu";7;-;29;36
"291340 Igaporã";34;-;59;93
"291345 Igrapiúna";17;13;25;55
"291350 Iguaí";12;10;149;171
"291360 Ilhéus";423;102;825;1350
"291370 Inhambupe";110;48;90;248
"291380 Ipecaetá";24;6;83;113
"291390 Ipiaú";62;40;278;380
"291400 Ipirá";114;125;174;413
"291410 Ipupiara";78;3;1;82
"291420 Irajuba";5;2;29;36
"291430 Iramaia";7;1;44;52
"291440 Iraquara";86;9;58;153
"291450 Irará";69;39;93;201
"291460 Irecê";351;98;12;461
"291465 Itabela";131;41;33;205
"291470 Itaberaba";95;26;330;451
"291480 Itabuna";324;52;1253;1629
"291490 Itacaré";20;16;72;108
"291500 Itaeté";28;9;31;68
"291510 Itagi";15;4;94;113
"291520 Itagibá";7;9;75;91
"291530 Itagimirim";13;8;42;63
"291535 Itaguaçu da Bahia";27;12;27;66
"291540 Itaju do Colônia";5;2;32;39
"291550 Itajuípe";30;6;140;176
"291560 Itamaraju";161;99;215;475
"291570 Itamari";13;6;23;42
"291580 Itambé";13;9;165;187
"291590 Itanagra";11;2;17;30
"291600 Itanhém";98;23;33;154
"291610 Itaparica";50;32;64;146
"291620 Itapé";17;4;65;86
"291630 Itapebi";24;18;36;78
"291640 Itapetinga";77;33;413;523
"291650 Itapicuru";36;39;105;180
"291660 Itapitanga";7;-;48;55
"291670 Itaquara";5;5;54;64
"291680 Itarantim";14;4;91;109
"291685 Itatim";14;9;67;90
"291690 Itiruçu";5;5;92;102
"291700 Itiúba";25;15;150;190
"291710 Itororó";16;5;108;129
"291720 Ituaçu";16;10;99;125
"291730 Ituberá";32;23;108;163
"291733 Iuiú";19;-;26;45
"291735 Jaborandi";5;2;42;49
"291740 Jacaraci";27;2;56;85
"291750 Jacobina";83;47;464;594
"291760 Jaguaquara";16;20;324;360
"291770 Jaguarari";41;19;157;217
"291780 Jaguaripe";34;15;47;96
"291790 Jandaíra";24;5;32;61
"291800 Jequié";142;107;907;1156
"291810 Jeremoabo";38;16;176;230
"291820 Jiquiriçá";20;6;63;89
"291830 Jitaúna";11;4;90;105
"291835 João Dourado";47;26;75;148
"291840 Juazeiro";413;198;721;1332
"291845 Jucuruçu";25;17;15;57
"291850 Jussara";38;5;71;114
"291855 Jussari";13;2;39;54
"291860 Jussiape";11;4;66;81
"291870 Lafaiete Coutinho";2;4;21;27
"291875 Lagoa Real";19;5;32;56
"291880 Laje";33;20;98;151
"291890 Lajedão";25;2;10;37
"291900 Lajedinho";8;4;5;17
"291905 Lajedo do Tabocal";1;2;42;45
"291910 Lamarão";4;9;40;53
"291915 Lapão";61;19;89;169
"291920 Lauro de Freitas";469;282;413;1164
"291930 Lençóis";8;5;46;59
"291940 Licínio de Almeida";13;1;64;78
"291950 Livramento de Nossa Senhora";22;5;210;237
"291955 Luís Eduardo Magalhães";108;45;114;267
"291960 Macajuba";18;7;54;79
"291970 Macarani";26;3;98;127
"291980 Macaúbas";21;11;208;240
"291990 Macururé";6;2;34;42
"291992 Madre de Deus";90;4;17;111
"291995 Maetinga";8;2;45;55
"292000 Maiquinique";12;2;41;55
"292010 Mairi";18;5;99;122
"292020 Malhada";24;6;56;86
"292030 Malhada de Pedras";17;4;38;59
"292040 Manoel Vitorino";10;5;60;75
"292045 Mansidão";4;-;34;38
"292050 Maracás";35;15;128;178
"292060 Maragogipe";53;36;183;272
"292070 Maraú";9;2;66;77
"292080 Marcionílio Souza";15;4;42;61
"292090 Mascote";6;12;65;83
"292100 Mata de São João";104;59;127;290
"292105 Matina";17;2;44;63
"292110 Medeiros Neto";176;14;27;217
"292120 Miguel Calmon";41;8;132;181
"292130 Milagres";30;6;31;67
"292140 Mirangaba";5;3;77;85
"292145 Mirante";7;5;34;46
"292150 Monte Santo";34;19;270;323
"292160 Morpará";25;25;16;66
"292170 Morro do Chapéu";52;27;176;255
"292180 Mortugaba";37;2;49;88
"292190 Mucugê";17;7;34;58
"292200 Mucuri";120;35;50;205
"292205 Mulungu do Morro";34;16;40;90
"292210 Mundo Novo";63;58;19;140
"292220 Muniz Ferreira";13;4;28;45
"292225 Muquém de São Francisco";16;12;15;43
"292230 Muritiba";67;22;138;227
"292240 Mutuípe";43;27;95;165
"292250 Nazaré";110;34;85;229
"292260 Nilo Peçanha";30;11;29;70
"292265 Nordestina";8;6;57;71
"292270 Nova Canaã";14;3;68;85
"292273 Nova Fátima";16;4;42;62
"292275 Nova Ibiá";7;2;18;27
"292280 Nova Itarana";12;6;46;64
"292285 Nova Redenção";10;7;35;52
"292290 Nova Soure";31;4;151;186
"292300 Nova Viçosa";201;31;45;277
"292303 Novo Horizonte";13;6;56;75
"292305 Novo Triunfo";14;9;45;68
"292310 Olindina";27;21;104;152
"292320 Oliveira dos Brejinhos";85;38;18;141
"292330 Ouriçangas";25;4;32;61
"292335 Ourolândia";13;8;85;106
"292340 Palmas de Monte Alto";34;6;85;125
"292350 Palmeiras";24;8;31;63
"292360 Paramirim";96;7;10;113
"292370 Paratinga";41;8;141;190
"292380 Paripiranga";55;9;116;180
"292390 Pau Brasil";7;3;63;73
"292400 Paulo Afonso";242;75;447;764
"292405 Pé de Serra";64;9;12;85
"292410 Pedrão";16;11;21;48
"292420 Pedro Alexandre";18;6;30;54
"292430 Piatã";15;2;106;123
"292440 Pilão Arcado";22;9;113;144
"292450 Pindaí";21;3;62;86
"292460 Pindobaçu";58;75;19;152
"292465 Pintadas";12;1;55;68
"292467 Piraí do Norte";9;9;23;41
"292470 Piripá";4;3;64;71
"292480 Piritiba";8;3;122;133
"292490 Planaltino";11;1;36;48
"292500 Planalto";13;8;135;156
"292510 Poções";182;119;64;365
"292520 Pojuca";109;52;45;206
"292525 Ponto Novo";51;37;17;105
"292530 Porto Seguro";260;142;410;812
"292540 Potiraguá";10;2;51;63
"292550 Prado";81;51;51;183
"292560 Presidente Dutra";45;6;49;100
"292570 Presidente Jânio Quadros";15;3;68;86
"292575 Presidente Tancredo Neves";40;18;72;130
"292580 Queimadas";16;9;148;173
"292590 Quijingue";20;7;115;142
"292593 Quixabeira";22;1;22;45
"292595 Rafael Jambeiro";34;7;119;160
"292600 Remanso";27;29;169;225
"292610 Retirolândia";10;3;54;67
"292620 Riachão das Neves";57;7;75;139
"292630 Riachão do Jacuípe";77;18;140;235
"292640 Riacho de Santana";86;79;8;173
"292650 Ribeira do Amparo";24;4;44;72
"292660 Ribeira do Pombal";118;32;217;367
"292665 Ribeirão do Largo";5;1;36;42
"292670 Rio de Contas";27;3;50;80
"292680 Rio do Antônio";17;4;63;84
"292690 Rio do Pires";21;1;35;57
"292700 Rio Real";93;58;132;283
"292710 Rodelas";9;13;46;68
"292720 Ruy Barbosa";70;16;136;222
"292730 Salinas da Margarida";37;14;39;90
"292740 Salvador";9211;3128;4549;16888
"292750 Santa Bárbara";34;16;111;161
"292760 Santa Brígida";17;7;43;67
"292770 Santa Cruz Cabrália";63;26;59;148
"292780 Santa Cruz da Vitória";5;2;33;40
"292790 Santa Inês";12;11;68;91
"292805 Santa Luzia";18;8;68;94
"292810 Santa Maria da Vitória";33;25;185;243
"292840 Santa Rita de Cássia";30;12;128;170
"292850 Santa Teresinha";31;10;36;77
"292800 Santaluz";36;5;145;186
"292820 Santana";15;10;68;93
"292830 Santanópolis";12;1;56;69
"292860 Santo Amaro";134;19;226;379
"292870 Santo Antônio de Jesus";165;93;394;652
"292880 Santo Estêvão";23;21;304;348
"292890 São Desidério";51;9;62;122
"292895 São Domingos";18;3;32;53
"292910 São Felipe";45;19;69;133
"292900 São Félix";25;8;80;113
"292905 São Félix do Coribe";15;9;65;89
"292920 São Francisco do Conde";88;20;107;215
"292925 São Gabriel";47;4;58;109
"292930 São Gonçalo dos Campos";31;16;178;225
"292935 São José da Vitória";10;-;40;50
"292937 São José do Jacuípe";19;10;31;60
"292940 São Miguel das Matas";10;7;49;66
"292950 São Sebastião do Passé";62;58;132;252
"292960 Sapeaçu";18;10;99;127
"292970 Sátiro Dias";30;15;66;111
"292975 Saubara";13;11;67;91
"292980 Saúde";12;2;64;78
"292990 Seabra";44;15;209;268
"293000 Sebastião Laranjeiras";8;-;36;44
"293010 Senhor do Bonfim";85;47;403;535
"293020 Sento Sé";41;13;84;138
"293015 Serra do Ramalho";55;24;91;170
"293030 Serra Dourada";71;4;6;81
"293040 Serra Preta";27;24;95;146
"293050 Serrinha";131;35;324;490
"293060 Serrolândia";19;4;82;105
"293070 Simões Filho";206;231;393;830
"293075 Sítio do Mato";15;7;33;55
"293076 Sítio do Quinto";23;7;39;69
"293077 Sobradinho";36;74;23;133
"293080 Souto Soares";34;8;74;116
"293090 Tabocas do Brejo Velho";6;5;30;41
"293100 Tanhaçu";33;9;84;126
"293105 Tanque Novo";50;9;42;101
"293110 Tanquinho";5;5;61;71
"293120 Taperoá";46;13;45;104
"293130 Tapiramutá";23;2;60;85
"293135 Teixeira de Freitas";490;125;356;971
"293140 Teodoro Sampaio";15;2;35;52
"293150 Teofilândia";12;10;104;126
"293160 Teolândia";12;13;35;60
"293170 Terra Nova";25;4;41;70
"293180 Tremedal";13;2;90;105
"293190 Tucano";125;75;76;276
"293200 Uauá";45;12;101;158
"293210 Ubaíra";59;22;47;128
"293220 Ubaitaba";14;7;127;148
"293230 Ubatã";20;7;113;140
"293240 Uibaí";70;20;9;99
"293245 Umburanas";6;5;52;63
"293250 Una";52;12;77;141
"293260 Urandi";31;6;63;100
"293270 Uruçuca";25;11;105;141
"293280 Utinga";55;13;35;103
"293290 Valença";353;151;51;555
"293300 Valente";65;12;72;149
"293305 Várzea da Roça";13;7;53;73
"293310 Várzea do Poço";9;-;53;62
"293315 Várzea Nova";8;4;62;74
"293317 Varzedo";17;3;45;65
"293320 Vera Cruz";90;88;133;311
"293325 Vereda";31;2;6;39
"293330 Vitória da Conquista";399;245;1641;2285
"293340 Wagner";34;6;12;52
"293345 Wanderley";29;4;49;82
"293350 Wenceslau Guimarães";20;20;88;128
"293360 Xique-Xique";76;29;189;294
"290000 Município ignorado - BA";46;157;113;316
"Total";31585;12450;47634;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
