Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Atestante
Período:2017
"Município-BA";"Sim";"Substituto";"IML";"SVO";"Outros";"Ignorado";"Total"
"290010 Abaíra";22;9;6;-;12;32;81
"290020 Abaré";38;2;8;-;14;17;79
"290030 Acajutiba";33;13;24;1;21;20;112
"290035 Adustina";15;12;7;-;3;36;73
"290040 Água Fria";27;2;20;-;29;36;114
"290060 Aiquara";1;4;3;-;5;15;28
"290070 Alagoinhas";137;206;196;1;514;7;1061
"290080 Alcobaça";26;30;29;2;28;24;139
"290090 Almadina";6;13;6;-;14;17;56
"290100 Amargosa";95;64;29;4;82;26;300
"290110 Amélia Rodrigues";33;22;21;-;64;21;161
"290115 América Dourada";47;5;11;1;8;13;85
"290120 Anagé";13;15;8;-;18;64;118
"290130 Andaraí";1;1;13;-;7;39;61
"290135 Andorinha";15;4;9;-;4;54;86
"290140 Angical";22;11;10;-;14;38;95
"290150 Anguera";21;3;11;-;45;5;85
"290160 Antas";7;12;11;1;11;38;80
"290170 Antônio Cardoso";10;3;8;-;27;13;61
"290180 Antônio Gonçalves";6;10;5;-;19;39;79
"290190 Aporá";29;22;18;-;31;13;113
"290195 Apuarema";12;10;10;-;9;11;52
"290205 Araças";16;8;18;-;27;5;74
"290200 Aracatu";48;12;11;-;8;18;97
"290210 Araci";109;10;41;-;29;88;277
"290220 Aramari";9;8;9;-;38;1;65
"290225 Arataca";13;16;9;-;17;14;69
"290230 Aratuípe";19;5;10;-;5;6;45
"290240 Aurelino Leal";6;21;12;-;24;30;93
"290250 Baianópolis";16;7;9;-;14;26;72
"290260 Baixa Grande";58;8;12;-;11;72;161
"290265 Banzaê";17;15;7;-;6;24;69
"290270 Barra";108;31;36;-;23;93;291
"290280 Barra da Estiva";70;7;13;-;6;42;138
"290290 Barra do Choça";30;22;36;-;19;114;221
"290300 Barra do Mendes";43;2;11;-;4;39;99
"290310 Barra do Rocha";4;3;7;-;2;26;42
"290320 Barreiras";157;83;142;1;184;193;760
"290323 Barro Alto";51;4;13;-;4;20;92
"290330 Barro Preto";2;22;4;-;8;11;47
"290327 Barrocas";15;8;8;-;23;11;65
"290340 Belmonte";43;44;37;-;52;18;194
"290350 Belo Campo";24;49;17;-;10;54;154
"290360 Biritinga";27;6;16;-;38;17;104
"290370 Boa Nova";19;8;11;-;16;57;111
"290380 Boa Vista do Tupim";35;8;15;-;32;22;112
"290390 Bom Jesus da Lapa";187;44;80;1;33;46;391
"290395 Bom Jesus da Serra";17;5;3;-;4;28;57
"290400 Boninal";23;6;3;-;6;53;91
"290405 Bonito";5;19;5;-;7;34;70
"290410 Boquira";44;2;12;-;9;88;155
"290420 Botuporã";29;8;2;-;11;7;57
"290430 Brejões";29;22;9;-;10;26;96
"290440 Brejolândia";3;4;11;-;7;5;30
"290450 Brotas de Macaúbas";51;5;5;-;14;14;89
"290460 Brumado";114;107;36;-;91;112;460
"290470 Buerarema";18;52;17;-;37;47;171
"290475 Buritirama";38;7;9;-;22;8;84
"290480 Caatiba";10;4;2;-;4;27;47
