Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária Detalhada
Período:2017
"Município-BA";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"290010 Abaíra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;1;2;1;3;2;4;3;8;12;41;-;81
"290020 Abaré";3;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;3;-;4;2;4;2;2;2;9;4;6;30;-;79
"290030 Acajutiba";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;8;2;2;6;4;6;1;4;4;8;10;8;42;-;112
"290035 Adustina";1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;5;1;-;4;4;1;4;6;6;4;6;27;-;73
"290040 Água Fria";6;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;3;4;2;5;4;4;1;8;4;7;11;8;42;-;114
"290060 Aiquara";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;1;5;1;1;4;11;-;28
"290070 Alagoinhas";21;4;10;3;-;2;-;1;1;-;1;1;-;2;-;2;3;5;1;7;5;7;29;29;32;39;29;36;45;53;72;92;106;115;307;1;1061
"290080 Alcobaça";3;2;2;-;-;1;-;1;-;1;1;-;-;-;1;-;-;1;2;-;-;-;2;3;4;4;11;7;8;11;14;8;11;11;30;-;139
"290090 Almadina";1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;1;1;2;2;-;1;3;7;3;4;5;21;-;56
"290100 Amargosa";4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;1;5;5;5;8;8;8;13;11;25;33;17;30;121;-;300
"290110 Amélia Rodrigues";6;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;2;1;1;4;3;5;5;5;5;6;11;9;19;15;13;47;-;161
"290115 América Dourada";1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;5;4;1;4;1;3;3;6;4;3;17;28;-;85
"290120 Anagé";3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;6;1;2;2;1;3;7;4;9;10;17;50;-;118
"290130 Andaraí";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;3;2;4;1;3;2;4;1;2;2;7;9;18;-;61
"290135 Andorinha";2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;3;3;1;7;7;4;11;9;32;-;86
"290140 Angical";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;2;1;2;6;3;9;8;7;8;8;8;27;-;95
"290150 Anguera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7;1;1;2;1;2;3;4;3;6;5;9;40;-;85
"290160 Antas";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;2;1;4;6;5;2;3;3;8;6;32;-;80
"290170 Antônio Cardoso";1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;1;1;2;3;5;5;3;3;5;2;6;18;-;61
"290180 Antônio Gonçalves";2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;1;3;6;9;12;6;8;26;-;79
"290190 Aporá";1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6;2;4;1;2;2;9;2;7;9;18;13;34;-;113
"290195 Apuarema";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;1;-;1;1;8;3;6;4;3;4;14;-;52
"290205 Araças";2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;1;3;1;3;4;1;3;7;3;3;3;6;10;20;-;74
"290200 Aracatu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4;3;5;3;7;5;8;7;14;37;-;97
"290210 Araci";6;3;4;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2;1;2;2;-;6;5;11;8;10;9;20;11;17;18;25;31;83;1;277
"290220 Aramari";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;4;1;2;1;-;1;3;5;6;7;8;4;19;-;65
"290225 Arataca";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;2;4;1;3;1;2;4;4;4;3;2;8;10;18;-;69
"290230 Aratuípe";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5;3;1;-;1;-;-;5;5;2;2;2;15;-;45
"290240 Aurelino Leal";-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;4;4;1;5;-;6;4;12;9;8;32;-;93
"290250 Baianópolis";2;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;2;1;1;3;4;5;2;4;4;4;5;7;22;-;72
"290260 Baixa Grande";3;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;2;1;1;1;1;2;4;5;4;8;14;13;14;7;76;-;161
"290265 Banzaê";2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;3;1;3;1;1;4;2;3;-;3;7;12;23;-;69
"290270 Barra";11;1;3;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;-;1;2;2;8;9;9;7;11;14;10;17;17;17;38;26;83;-;291
"290280 Barra da Estiva";3;3;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;4;5;1;6;6;5;12;7;11;9;8;14;40;-;138
"290290 Barra do Choça";2;-;3;-;-;-;-;1;-;1;-;1;-;-;1;-;1;3;2;4;2;1;9;4;6;6;10;5;6;18;13;13;23;30;55;1;221
"290300 Barra do Mendes";-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;1;2;1;3;2;5;2;3;9;2;5;8;9;42;-;99
"290310 Barra do Rocha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;3;2;2;-;4;5;4;7;3;8;-;42
"290320 Barreiras";24;6;11;1;2;2;1;-;2;2;-;-;-;-;-;1;2;-;3;2;6;3;19;31;29;34;34;45;55;43;42;62;43;65;190;-;760
"290323 Barro Alto";3;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3;1;5;4;4;3;2;7;3;4;10;17;22;-;92
"290330 Barro Preto";2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;3;3;6;3;3;3;3;5;10;-;47
"290327 Barrocas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;3;2;3;6;3;5;6;4;6;7;15;-;65
"290340 Belmonte";1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;1;2;4;-;6;6;4;3;5;10;12;15;5;18;26;14;57;1;194
"290350 Belo Campo";6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;-;3;1;3;6;10;6;7;5;3;12;12;20;54;-;154
"290360 Biritinga";1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;3;1;4;4;5;5;3;7;5;11;14;36;-;104
"290370 Boa Nova";1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;3;2;3;1;6;3;5;4;4;3;12;14;45;-;111
