Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária OPAS
Período:2017
"Município-BA";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"290010 Abaíra";-;-;-;2;2;3;4;6;11;53;-;81
"290020 Abaré";5;1;-;5;3;6;6;4;13;36;-;79
"290030 Acajutiba";4;-;-;11;4;10;7;8;18;50;-;112
"290035 Adustina";1;-;1;3;6;4;5;10;10;33;-;73
"290040 Água Fria";8;-;1;5;6;9;5;12;18;50;-;114
"290060 Aiquara";1;-;-;-;1;3;-;6;2;15;-;28
"290070 Alagoinhas";35;5;11;54;61;68;81;125;198;422;1;1061
"290080 Alcobaça";7;1;4;5;7;15;15;25;19;41;-;139
"290090 Almadina";2;-;1;3;2;4;1;10;7;26;-;56
"290100 Amargosa";4;1;1;10;10;16;21;36;50;151;-;300
"290110 Amélia Rodrigues";7;-;3;8;8;10;11;20;34;60;-;161
"290115 América Dourada";3;-;1;2;9;5;4;9;7;45;-;85
"290120 Anagé";3;1;-;2;7;4;4;11;19;67;-;118
"290130 Andaraí";-;-;1;5;6;4;6;3;9;27;-;61
"290135 Andorinha";2;-;1;1;2;6;4;14;15;41;-;86
"290140 Angical";2;-;-;4;3;8;12;15;16;35;-;95
"290150 Anguera";-;-;-;8;2;3;5;7;11;49;-;85
"290160 Antas";2;-;-;3;5;5;11;5;11;38;-;80
"290170 Antônio Cardoso";2;1;2;2;2;5;10;6;7;24;-;61
"290180 Antônio Gonçalves";2;1;-;1;2;2;4;15;18;34;-;79
"290190 Aporá";2;1;-;7;6;3;11;9;27;47;-;113
"290195 Apuarema";1;-;-;3;4;1;9;9;7;18;-;52
"290205 Araças";2;-;4;4;4;5;10;6;9;30;-;74
"290200 Aracatu";-;-;-;1;3;7;8;12;15;51;-;97
"290210 Araci";13;1;1;13;16;18;29;28;43;114;1;277
"290220 Aramari";1;-;1;6;3;1;4;11;15;23;-;65
"290225 Arataca";-;-;2;7;4;3;8;7;10;28;-;69
"290230 Aratuípe";3;-;-;6;4;1;-;10;4;17;-;45
"290240 Aurelino Leal";3;-;-;3;6;5;5;10;21;40;-;93
"290250 Baianópolis";3;1;2;4;2;7;7;8;9;29;-;72
"290260 Baixa Grande";4;1;3;4;2;6;9;22;27;83;-;161
"290265 Banzaê";3;-;1;5;4;2;6;3;10;35;-;69
"290270 Barra";15;-;3;15;18;18;24;34;55;109;-;291
"290280 Barra da Estiva";6;1;1;6;6;12;17;18;17;54;-;138
"290290 Barra do Choça";5;-;5;21;10;16;11;31;36;85;1;221
"290300 Barra do Mendes";1;1;3;3;4;7;5;11;13;51;-;99
"290310 Barra do Rocha";-;-;-;2;2;5;2;9;11;11;-;42
"290320 Barreiras";41;6;7;33;60;68;100;85;105;255;-;760
"290323 Barro Alto";4;1;-;5;6;8;5;10;14;39;-;92
"290330 Barro Preto";2;-;1;2;3;3;9;6;6;15;-;47
"290327 Barrocas";1;-;-;2;5;5;9;11;10;22;-;65
"290340 Belmonte";2;1;2;13;10;8;22;20;44;71;1;194
"290350 Belo Campo";7;-;1;7;4;16;13;8;24;74;-;154
"290360 Biritinga";2;-;1;3;4;8;10;10;16;50;-;104
"290370 Boa Nova";3;-;1;5;5;7;8;8;15;59;-;111
"290380 Boa Vista do Tupim";4;-;2;2;9;9;8;14;10;54;-;112
"290390 Bom Jesus da Lapa";16;2;6;35;29;32;38;38;58;137;-;391
"290395 Bom Jesus da Serra";-;-;-;-;2;3;4;6;6;36;-;57
"290400 Boninal";2;-;-;-;3;2;6;8;18;52;-;91
"290405 Bonito";4;-;-;-;6;7;9;10;7;27;-;70
"290410 Boquira";5;1;3;2;3;9;9;14;25;83;1;155
"290420 Botuporã";1;-;1;1;2;1;1;2;11;37;-;57
"290430 Brejões";2;-;-;5;3;6;5;10;14;51;-;96
"290440 Brejolândia";3;-;-;1;4;2;4;2;5;9;-;30
"290450 Brotas de Macaúbas";4;-;-;1;3;3;9;9;15;45;-;89
"290460 Brumado";6;-;1;9;23;33;40;49;72;227;-;460
"290470 Buerarema";5;-;-;4;11;12;16;19;31;73;-;171
"290475 Buritirama";5;-;1;6;8;3;6;9;13;33;-;84
"290480 Caatiba";1;-;-;-;2;2;6;5;10;21;-;47
"290485 Cabaceiras do Paraguaçu";3;2;1;5;6;9;11;13;16;35;-;101
"290490 Cachoeira";9;-;2;15;14;15;22;27;37;94;-;235
"290500 Caculé";1;-;-;2;3;4;12;9;16;79;-;126
"290510 Caém";3;-;-;-;3;3;4;10;12;27;-;62
"290515 Caetanos";3;-;-;-;2;4;3;8;7;34;-;61
"290520 Caetité";5;2;2;12;9;14;16;33;36;164;-;293
"290530 Cafarnaum";3;2;-;6;7;6;11;7;21;30;-;93
"290540 Cairu";8;-;-;4;7;5;6;8;7;15;-;60
"290550 Caldeirão Grande";1;1;1;1;2;3;5;9;14;39;-;76
"290560 Camacan";9;1;1;9;12;17;16;31;38;74;-;208
"290570 Camaçari";53;6;9;180;130;136;156;219;242;357;-;1488
"290580 Camamu";13;6;4;23;17;14;17;28;33;73;-;228
