Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária
Período:2017
"Município-BA";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"290010 Abaíra";-;-;-;-;-;2;3;3;5;7;20;41;-;81
"290020 Abaré";5;1;-;-;2;6;4;6;4;11;10;30;-;79
"290030 Acajutiba";4;-;-;-;3;10;8;10;5;12;18;42;-;112
"290035 Adustina";1;-;1;-;-;8;1;8;5;12;10;27;-;73
"290040 Água Fria";8;-;1;-;2;7;7;8;9;11;19;42;-;114
"290060 Aiquara";1;-;-;-;-;1;2;1;1;6;5;11;-;28
"290070 Alagoinhas";35;5;4;7;25;58;71;65;98;164;221;307;1;1061
"290080 Alcobaça";7;1;3;1;3;5;8;18;19;22;22;30;-;139
"290090 Almadina";2;-;1;-;-;4;3;2;4;10;9;21;-;56
"290100 Amargosa";4;1;-;1;5;10;13;16;24;58;47;121;-;300
"290110 Amélia Rodrigues";7;-;1;2;4;7;10;10;17;28;28;47;-;161
"290115 América Dourada";3;-;-;1;1;6;5;5;6;10;20;28;-;85
"290120 Anagé";3;1;-;-;1;7;3;3;10;13;27;50;-;118
"290130 Andaraí";-;-;1;-;2;5;5;5;5;4;16;18;-;61
"290135 Andorinha";2;-;1;-;-;2;4;6;8;11;20;32;-;86
"290140 Angical";2;-;-;-;2;4;3;9;17;15;16;27;-;95
"290150 Anguera";-;-;-;-;1;8;3;3;7;9;14;40;-;85
"290160 Antas";2;-;-;-;1;5;3;10;7;6;14;32;-;80
"290170 Antônio Cardoso";2;1;1;1;-;3;3;8;8;8;8;18;-;61
"290180 Antônio Gonçalves";2;1;-;-;1;-;3;2;9;21;14;26;-;79
"290190 Aporá";2;1;-;-;1;8;5;4;11;16;31;34;-;113
"290195 Apuarema";1;-;-;-;-;6;1;2;11;10;7;14;-;52
"290205 Araças";2;-;-;4;1;4;7;4;10;6;16;20;-;74
"290200 Aracatu";-;-;-;-;-;1;7;8;10;13;21;37;-;97
"290210 Araci";13;1;-;1;7;11;19;19;31;35;56;83;1;277
"290220 Aramari";1;-;-;1;2;5;3;1;8;13;12;19;-;65
"290225 Arataca";-;-;1;1;3;5;4;6;8;5;18;18;-;69
"290230 Aratuípe";3;-;-;-;1;8;1;1;5;7;4;15;-;45
"290240 Aurelino Leal";3;-;-;-;2;3;8;6;6;16;17;32;-;93
"290250 Baianópolis";3;1;1;1;2;3;4;9;6;8;12;22;-;72
"290260 Baixa Grande";4;1;1;2;3;2;3;9;12;27;21;76;-;161
"290265 Banzaê";3;-;-;1;2;4;4;5;5;3;19;23;-;69
"290270 Barra";15;-;1;2;7;17;16;25;27;34;64;83;-;291
"290280 Barra da Estiva";6;1;-;1;2;9;7;11;19;20;22;40;-;138
