Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Mes do óbito
Período:2017
"Município-BA";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"290010 Abaíra";7;5;6;8;8;12;9;7;8;2;6;3;81
"290020 Abaré";3;6;11;3;5;8;12;8;3;7;4;9;79
"290030 Acajutiba";12;8;8;6;14;7;16;6;12;9;8;6;112
"290035 Adustina";6;3;3;5;6;4;9;8;9;9;5;6;73
"290040 Água Fria";6;9;9;13;8;8;17;10;9;8;6;11;114
"290060 Aiquara";2;5;4;1;1;2;2;3;1;3;4;-;28
"290070 Alagoinhas";89;77;79;74;82;89;118;95;96;105;74;83;1061
"290080 Alcobaça";12;15;9;8;9;13;11;15;9;18;10;10;139
"290090 Almadina";4;6;6;4;4;2;2;5;8;7;4;4;56
"290100 Amargosa";29;18;26;22;29;26;32;20;27;16;23;32;300
"290110 Amélia Rodrigues";5;15;7;11;21;16;16;8;20;10;15;17;161
"290115 América Dourada";9;4;4;6;9;9;10;9;7;6;7;5;85
"290120 Anagé";12;6;11;12;11;13;5;10;11;8;10;9;118
"290130 Andaraí";3;3;3;6;4;6;8;6;4;8;7;3;61
"290135 Andorinha";5;10;6;12;7;11;9;5;6;2;9;4;86
"290140 Angical";4;4;17;4;16;4;10;8;9;7;5;7;95
"290150 Anguera";4;2;5;3;9;6;8;10;16;4;6;12;85
"290160 Antas";8;6;5;7;7;8;2;9;7;7;9;5;80
"290170 Antônio Cardoso";3;1;4;7;6;6;5;8;6;2;5;8;61
"290180 Antônio Gonçalves";7;7;6;3;5;6;9;8;5;9;7;7;79
"290190 Aporá";5;10;6;9;11;9;12;13;8;10;11;9;113
"290195 Apuarema";2;4;5;3;10;6;5;5;6;1;4;1;52
"290205 Araças";7;2;2;6;8;10;4;5;8;11;5;6;74
"290200 Aracatu";3;7;8;5;7;8;15;8;11;8;10;7;97
"290210 Araci";16;14;18;24;25;25;25;24;27;25;23;31;277
