Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Raça/Cor
Período:2017
"Município-BA";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"290010 Abaíra";30;9;-;31;-;11;81
"290020 Abaré";11;10;-;51;1;6;79
"290030 Acajutiba";20;11;1;72;-;8;112
"290035 Adustina";27;4;-;42;-;-;73
"290040 Água Fria";14;16;1;74;-;9;114
"290060 Aiquara";4;6;-;11;-;7;28
"290070 Alagoinhas";226;213;1;605;2;14;1061
"290080 Alcobaça";11;47;-;75;-;6;139
"290090 Almadina";9;8;-;37;-;2;56
"290100 Amargosa";52;57;-;184;-;7;300
"290110 Amélia Rodrigues";26;38;1;92;-;4;161
"290115 América Dourada";15;11;-;53;-;6;85
"290120 Anagé";16;2;-;59;-;41;118
"290130 Andaraí";5;11;-;42;2;1;61
"290135 Andorinha";4;3;-;77;-;2;86
"290140 Angical";11;7;-;54;-;23;95
"290150 Anguera";12;17;2;47;-;7;85
"290160 Antas";25;1;-;31;-;23;80
"290170 Antônio Cardoso";8;26;2;23;-;2;61
"290180 Antônio Gonçalves";5;9;-;61;-;4;79
"290190 Aporá";25;22;-;62;-;4;113
"290195 Apuarema";5;3;1;40;-;3;52
"290205 Araças";8;22;-;40;1;3;74
"290200 Aracatu";38;8;1;46;1;3;97
"290210 Araci";42;30;-;201;1;3;277
"290220 Aramari";6;27;-;30;-;2;65
"290225 Arataca";9;10;-;44;-;6;69
"290230 Aratuípe";10;7;-;26;-;2;45
"290240 Aurelino Leal";5;7;-;72;-;9;93
"290250 Baianópolis";11;1;-;53;-;7;72
"290260 Baixa Grande";13;1;-;147;-;-;161
"290265 Banzaê";11;2;1;31;5;19;69
"290270 Barra";56;51;2;163;-;19;291
"290280 Barra da Estiva";19;4;1;108;-;6;138
"290290 Barra do Choça";44;21;-;147;-;9;221
"290300 Barra do Mendes";12;11;1;74;-;1;99
"290310 Barra do Rocha";7;6;-;23;-;6;42
"290320 Barreiras";114;51;1;553;-;41;760
"290323 Barro Alto";30;8;-;53;-;1;92
"290330 Barro Preto";3;7;-;26;-;11;47
"290327 Barrocas";13;9;-;38;-;5;65
"290340 Belmonte";30;33;1;122;1;7;194
"290350 Belo Campo";34;11;1;105;-;3;154
"290360 Biritinga";11;25;-;61;-;7;104
"290370 Boa Nova";21;2;1;82;-;5;111
"290380 Boa Vista do Tupim";16;19;-;69;1;7;112
