Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Sexo
Período:2017
"Município-BA";"Masculino";"Feminino";"Ignorado";"Total"
"290010 Abaíra";44;37;-;81
"290020 Abaré";42;37;-;79
"290030 Acajutiba";69;43;-;112
"290035 Adustina";40;33;-;73
"290040 Água Fria";69;44;1;114
"290060 Aiquara";17;11;-;28
"290070 Alagoinhas";561;500;-;1061
"290080 Alcobaça";78;61;-;139
"290090 Almadina";35;21;-;56
"290100 Amargosa";172;128;-;300
"290110 Amélia Rodrigues";99;61;1;161
"290115 América Dourada";52;33;-;85
"290120 Anagé";66;52;-;118
"290130 Andaraí";40;21;-;61
"290135 Andorinha";51;35;-;86
"290140 Angical";61;34;-;95
"290150 Anguera";40;45;-;85
"290160 Antas";44;36;-;80
"290170 Antônio Cardoso";36;25;-;61
"290180 Antônio Gonçalves";39;40;-;79
"290190 Aporá";73;40;-;113
"290195 Apuarema";36;16;-;52
"290205 Araças";41;33;-;74
"290200 Aracatu";57;40;-;97
"290210 Araci";179;97;1;277
"290220 Aramari";37;28;-;65
"290225 Arataca";43;26;-;69
"290230 Aratuípe";27;18;-;45
"290240 Aurelino Leal";55;38;-;93
"290250 Baianópolis";49;22;1;72
"290260 Baixa Grande";83;78;-;161
"290265 Banzaê";37;32;-;69
"290270 Barra";183;108;-;291
"290280 Barra da Estiva";83;55;-;138
"290290 Barra do Choça";136;85;-;221
"290300 Barra do Mendes";54;45;-;99
"290310 Barra do Rocha";27;15;-;42
"290320 Barreiras";445;315;-;760
"290323 Barro Alto";51;41;-;92
"290330 Barro Preto";31;16;-;47
"290327 Barrocas";40;25;-;65
"290340 Belmonte";116;78;-;194
"290350 Belo Campo";101;53;-;154
"290360 Biritinga";56;48;-;104
"290370 Boa Nova";71;40;-;111
"290380 Boa Vista do Tupim";69;43;-;112
"290390 Bom Jesus da Lapa";252;139;-;391
"290395 Bom Jesus da Serra";32;25;-;57
"290400 Boninal";45;46;-;91
"290405 Bonito";46;24;-;70
"290410 Boquira";88;66;1;155
"290420 Botuporã";31;26;-;57
"290430 Brejões";49;47;-;96
"290440 Brejolândia";22;8;-;30
"290450 Brotas de Macaúbas";55;34;-;89
"290460 Brumado";241;219;-;460
"290470 Buerarema";109;62;-;171
"290475 Buritirama";41;43;-;84
"290480 Caatiba";26;21;-;47
"290485 Cabaceiras do Paraguaçu";57;44;-;101
"290490 Cachoeira";128;107;-;235
"290500 Caculé";76;50;-;126
"290510 Caém";35;27;-;62
"290515 Caetanos";37;24;-;61
"290520 Caetité";167;126;-;293
"290530 Cafarnaum";53;40;-;93
"290540 Cairu";39;21;-;60
"290550 Caldeirão Grande";42;34;-;76
"290560 Camacan";134;74;-;208
"290570 Camaçari";944;542;2;1488
"290580 Camamu";143;85;-;228
"290590 Campo Alegre de Lourdes";77;37;-;114
"290600 Campo Formoso";220;147;-;367
"290610 Canápolis";22;16;-;38
"290620 Canarana";98;54;-;152
"290630 Canavieiras";140;80;-;220
"290640 Candeal";41;29;-;70
"290650 Candeias";322;183;-;505
"290660 Candiba";46;34;-;80
"290670 Cândido Sales";105;94;-;199
"290680 Cansanção";131;107;-;238
"290682 Canudos";51;39;-;90
"290685 Capela do Alto Alegre";50;34;-;84
"290687 Capim Grosso";123;85;-;208
"290689 Caraíbas";35;29;-;64
"290690 Caravelas";94;57;-;151
"290700 Cardeal da Silva";24;17;-;41
"290710 Carinhanha";86;60;-;146
"290720 Casa Nova";239;149;-;388
"290730 Castro Alves";119;90;-;209
"290740 Catolândia";4;4;-;8
"290750 Catu";188;129;-;317
"290755 Caturama";23;30;-;53
"290760 Central";67;43;-;110
"290770 Chorrochó";33;40;-;73
"290780 Cícero Dantas";123;89;-;212
"290790 Cipó";56;46;-;102
"290800 Coaraci";118;88;-;206
"290810 Cocos";66;33;-;99
"290820 Conceição da Feira";75;58;-;133
