Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Escolaridade
Período:2018
"Município-BA";"Nenhuma";"1-3 anos";"4-7 anos";"8-11 anos";"12e+";"Ignorado";"Total"
"290010 Abaíra";26;14;10;1;-;11;62
"290020 Abaré";28;34;12;6;2;19;101
"290030 Acajutiba";34;27;15;12;2;20;110
"290035 Adustina";31;22;5;2;1;12;73
"290040 Água Fria";41;21;8;5;1;23;99
"290060 Aiquara";11;9;3;1;1;5;30
"290070 Alagoinhas";252;41;354;289;29;146;1111
"290080 Alcobaça";40;30;18;11;5;63;167
"290090 Almadina";14;18;6;2;1;10;51
"290100 Amargosa";105;84;15;18;1;43;266
"290110 Amélia Rodrigues";30;54;36;33;2;27;182
"290115 América Dourada";27;8;17;7;-;36;95
"290120 Anagé";73;33;17;4;-;34;161
"290130 Andaraí";30;10;5;4;1;17;67
"290135 Andorinha";29;15;5;1;2;15;67
"290140 Angical";29;17;11;3;-;36;96
"290150 Anguera";32;12;6;4;-;21;75
"290160 Antas";25;12;5;3;3;39;87
"290170 Antônio Cardoso";40;9;4;5;-;16;74
"290180 Antônio Gonçalves";25;13;9;4;-;8;59
"290190 Aporá";62;28;17;7;2;24;140
"290195 Apuarema";18;10;4;2;-;9;43
"290205 Araças";39;12;8;11;1;13;84
"290200 Aracatu";27;30;4;2;-;19;82
"290210 Araci";138;71;41;15;3;37;305
"290220 Aramari";24;2;20;16;1;13;76
"290225 Arataca";28;17;15;3;-;11;74
"290230 Aratuípe";25;14;6;5;1;11;62
"290240 Aurelino Leal";34;28;2;5;4;23;96
"290250 Baianópolis";33;19;7;5;-;19;83
"290260 Baixa Grande";56;9;44;7;-;16;132
"290265 Banzaê";25;19;4;1;-;16;65
"290270 Barra";112;73;54;34;3;38;314
"290280 Barra da Estiva";30;89;23;3;-;12;157
"290290 Barra do Choça";112;62;23;6;-;49;252
"290300 Barra do Mendes";39;23;42;8;1;7;120
"290310 Barra do Rocha";14;10;2;-;-;12;38
"290320 Barreiras";173;180;114;100;15;226;808
"290323 Barro Alto";37;27;39;4;1;15;123
"290330 Barro Preto";19;10;7;6;-;16;58
"290327 Barrocas";29;18;9;4;-;20;80
"290340 Belmonte";36;44;23;14;4;29;150
"290350 Belo Campo";59;32;12;5;1;23;132
"290360 Biritinga";31;24;2;4;2;34;97
"290370 Boa Nova";23;11;6;2;-;58;100
"290380 Boa Vista do Tupim";43;25;11;3;2;10;94
"290390 Bom Jesus da Lapa";111;76;52;36;4;118;397
"290395 Bom Jesus da Serra";26;18;3;3;-;10;60
"290400 Boninal";46;27;10;-;2;16;101
"290405 Bonito";15;10;14;11;1;27;78
"290410 Boquira";50;55;15;3;-;16;139
"290420 Botuporã";14;11;3;6;1;28;63
"290430 Brejões";54;21;8;4;-;14;101
"290440 Brejolândia";7;8;2;-;1;10;28
"290450 Brotas de Macaúbas";39;21;11;3;1;14;89
"290460 Brumado";96;131;36;34;2;163;462
"290470 Buerarema";34;37;13;11;2;20;117
"290475 Buritirama";53;31;11;8;2;14;119
"290480 Caatiba";10;3;-;-;-;15;28
"290485 Cabaceiras do Paraguaçu";43;34;13;3;-;15;108
"290490 Cachoeira";57;59;28;31;4;34;213
"290500 Caculé";57;45;14;2;3;13;134
"290510 Caém";27;15;6;4;-;16;68
"290515 Caetanos";34;8;5;-;-;10;57
"290520 Caetité";71;74;26;8;2;113;294
"290530 Cafarnaum";25;31;20;5;1;28;110
"290540 Cairu";14;22;15;5;2;15;73
"290550 Caldeirão Grande";28;11;6;-;-;10;55
"290560 Camacan";89;63;40;21;2;35;250
"290570 Camaçari";206;331;290;217;39;323;1406
"290580 Camamu";78;66;21;13;1;37;216
"290590 Campo Alegre de Lourdes";34;67;17;6;2;18;144
"290600 Campo Formoso";161;69;70;16;4;51;371
"290610 Canápolis";3;3;2;-;-;31;39
"290620 Canarana";37;16;37;12;1;25;128
"290630 Canavieiras";54;48;45;20;1;93;261
"290640 Candeal";16;15;6;5;1;13;56
"290650 Candeias";85;133;118;98;9;90;533
"290660 Candiba";24;8;9;7;2;62;112
"290670 Cândido Sales";67;47;20;9;1;42;186
"290680 Cansanção";56;44;25;8;3;99;235
"290682 Canudos";18;13;8;6;1;27;73
"290685 Capela do Alto Alegre";36;2;18;7;-;11;74
"290687 Capim Grosso";58;51;11;10;2;66;198
"290689 Caraíbas";29;20;11;1;-;11;72
"290690 Caravelas";38;15;20;11;2;30;116
"290700 Cardeal da Silva";18;4;5;9;-;6;42
"290710 Carinhanha";78;29;39;13;2;34;195
"290720 Casa Nova";119;112;38;16;3;69;357
"290730 Castro Alves";64;20;47;33;3;35;202
"290740 Catolândia";9;7;1;1;-;9;27
"290750 Catu";74;92;58;52;6;70;352
"290755 Caturama";26;6;2;1;-;9;44
"290760 Central";30;14;18;14;1;18;95
"290770 Chorrochó";24;17;7;3;2;13;66
"290780 Cícero Dantas";62;41;28;14;3;80;228
"290790 Cipó";38;24;15;5;2;27;111
"290800 Coaraci";64;65;16;14;2;33;194
"290810 Cocos";17;5;3;-;-;55;80
"290820 Conceição da Feira";35;37;21;12;3;29;137
"290830 Conceição do Almeida";46;36;24;8;1;25;140
"290840 Conceição do Coité";17;140;164;60;5;29;415
"290850 Conceição do Jacuípe";56;18;60;36;4;40;214
"290860 Conde";31;31;18;12;4;40;136
"290870 Condeúba";59;32;7;5;-;13;116
"290880 Contendas do Sincorá";9;10;1;-;-;3;23
"290890 Coração de Maria";47;39;24;16;4;42;172
"290900 Cordeiros";24;9;2;1;-;18;54
"290910 Coribe";25;16;4;4;-;22;71
"290920 Coronel João Sá";49;18;6;4;-;14;91
"290930 Correntina";8;13;8;2;1;110;142
"290940 Cotegipe";23;12;7;3;1;24;70
"290950 Cravolândia";15;13;1;1;-;6;36
"290960 Crisópolis";48;20;24;5;2;47;146
"290970 Cristópolis";28;15;7;5;-;9;64
"290980 Cruz das Almas";107;136;58;59;10;48;418
"290990 Curaçá";52;47;34;7;3;38;181
"291000 Dário Meira";34;21;6;2;-;15;78
"291005 Dias d'Ávila";69;94;86;66;7;70;392
"291010 Dom Basílio";20;19;4;9;-;21;73
"291020 Dom Macedo Costa";20;10;6;2;1;5;44
"291030 Elísio Medrado";23;21;6;2;-;4;56
"291040 Encruzilhada";50;24;12;2;-;32;120
"291050 Entre Rios";32;27;34;31;7;127;258
"290050 Érico Cardoso";39;16;1;2;-;18;76
"291060 Esplanada";66;51;44;19;2;27;209
"291070 Euclides da Cunha";151;12;88;22;6;114;393
"291072 Eunápolis";160;166;81;50;13;241;711
"291075 Fátima";42;20;7;8;2;25;104
"291077 Feira da Mata";10;4;-;1;-;13;28
"291080 Feira de Santana";935;253;811;993;124;609;3725
"291085 Filadélfia";22;30;16;4;-;35;107
"291090 Firmino Alves";10;16;3;2;-;14;45
"291100 Floresta Azul";27;36;4;1;1;13;82
"291110 Formosa do Rio Preto";34;20;16;7;-;32;109
"291120 Gandu";68;48;41;18;4;18;197
"291125 Gavião";8;1;1;2;-;8;20
"291130 Gentio do Ouro";4;4;7;3;2;44;64
"291140 Glória";17;17;5;1;-;58;98
"291150 Gongogi";23;13;6;2;-;8;52
"291160 Governador Mangabeira";45;39;17;5;3;22;131
"291165 Guajeru";31;16;2;1;-;4;54
"291170 Guanambi";135;131;62;31;10;139;508
"291180 Guaratinga";51;11;20;6;-;24;112
"291185 Heliópolis";29;22;6;1;1;8;67
"291190 Iaçu";68;37;26;13;1;30;175
"291200 Ibiassucê";26;13;4;2;-;20;65
"291210 Ibicaraí";67;61;38;9;4;13;192
"291220 Ibicoara";19;21;10;5;-;19;74
"291230 Ibicuí";33;34;3;3;1;36;110
"291240 Ibipeba";23;16;23;8;-;12;82
"291250 Ibipitanga";26;14;5;1;-;35;81
"291260 Ibiquera";8;5;2;1;-;3;19
"291270 Ibirapitanga";61;34;18;10;1;26;150
"291280 Ibirapuã";17;13;5;6;-;5;46
"291290 Ibirataia";88;32;11;8;2;31;172
"291300 Ibitiara";34;34;24;2;1;23;118
"291310 Ibititá";11;13;11;4;-;39;78
"291320 Ibotirama";41;47;28;15;-;58;189
"291330 Ichu";8;14;3;2;-;5;32
"291340 Igaporã";24;36;3;7;2;13;85
"291345 Igrapiúna";24;18;8;2;2;10;64
"291350 Iguaí";14;12;6;2;1;129;164
"291360 Ilhéus";167;289;172;102;41;630;1401
"291370 Inhambupe";81;47;35;26;4;33;226
"291380 Ipecaetá";28;14;7;6;-;26;81
"291390 Ipiaú";117;68;30;31;4;115;365
"291400 Ipirá";140;124;44;29;4;95;436
"291410 Ipupiara";27;20;12;5;-;15;79
"291420 Irajuba";17;16;8;1;-;7;49
"291430 Iramaia";15;10;4;2;-;18;49
"291440 Iraquara";39;41;18;9;1;27;135
"291450 Irará";68;41;20;23;-;67;219
"291460 Irecê";65;14;161;66;13;84;403
"291465 Itabela";68;32;31;7;2;39;179
"291470 Itaberaba";115;170;68;46;3;75;477
"291480 Itabuna";319;498;328;254;60;158;1617
"291490 Itacaré";27;29;19;10;6;30;121
"291500 Itaeté";22;10;8;4;1;26;71
"291510 Itagi";35;25;7;3;3;32;105
"291520 Itagibá";32;15;5;7;1;30;90
"291530 Itagimirim";15;6;16;2;-;11;50
"291535 Itaguaçu da Bahia";28;13;30;3;-;10;84
"291540 Itaju do Colônia";20;7;13;3;-;15;58
"291550 Itajuípe";42;54;22;19;1;42;180
"291560 Itamaraju";122;95;39;26;10;156;448
"291570 Itamari";25;13;4;1;1;13;57
"291580 Itambé";55;28;17;8;6;44;158
"291590 Itanagra";17;4;4;2;-;5;32
"291600 Itanhém";56;30;28;9;5;12;140
"291610 Itaparica";28;32;31;24;6;27;148
"291620 Itapé";22;30;7;6;1;19;85
"291630 Itapebi";25;8;13;2;1;15;64
"291640 Itapetinga";36;30;11;19;4;409;509
"291650 Itapicuru";107;38;23;5;1;27;201
"291660 Itapitanga";22;25;3;5;-;12;67
"291670 Itaquara";20;9;2;3;-;9;43
"291680 Itarantim";28;18;2;2;2;55;107
"291685 Itatim";37;19;17;8;1;18;100
"291690 Itiruçu";33;16;7;5;1;41;103
"291700 Itiúba";37;45;24;7;2;78;193
"291710 Itororó";55;38;13;3;1;39;149
"291720 Ituaçu";36;28;8;5;-;37;114
"291730 Ituberá";54;40;17;20;2;20;153
"291733 Iuiú";21;6;11;2;1;14;55
"291735 Jaborandi";27;17;2;4;1;11;62
"291740 Jacaraci";47;18;7;3;-;18;93
"291750 Jacobina";73;100;54;41;5;275;548
"291760 Jaguaquara";100;63;28;22;4;146;363
"291770 Jaguarari";39;45;20;11;1;58;174
"291780 Jaguaripe";29;21;14;4;1;12;81
"291790 Jandaíra";20;22;4;1;1;13;61
"291800 Jequié";329;291;121;103;17;336;1197
"291810 Jeremoabo";96;40;21;13;-;47;217
"291820 Jiquiriçá";32;20;12;4;-;17;85
"291830 Jitaúna";35;16;7;6;1;31;96
"291835 João Dourado";36;13;28;6;4;57;144
"291840 Juazeiro";309;311;193;136;32;389;1370
"291845 Jucuruçu";17;9;2;1;2;10;41
"291850 Jussara";35;6;31;7;-;23;102
"291855 Jussari";19;18;9;-;-;5;51
"291860 Jussiape";21;10;-;-;-;18;49
"291870 Lafaiete Coutinho";19;11;3;2;-;8;43
"291875 Lagoa Real";21;9;1;1;-;13;45
"291880 Laje";61;26;13;4;-;22;126
"291890 Lajedão";9;8;3;6;-;7;33
"291900 Lajedinho";8;6;2;2;-;10;28
"291905 Lajedo do Tabocal";27;8;1;2;-;16;54
"291910 Lamarão";22;8;5;1;-;8;44
"291915 Lapão";44;26;42;7;1;24;144
"291920 Lauro de Freitas";110;257;237;194;72;230;1100
"291930 Lençóis";9;7;3;5;-;15;39
"291940 Licínio de Almeida";27;22;6;3;-;11;69
"291950 Livramento de Nossa Senhora";73;28;33;15;4;94;247
"291955 Luís Eduardo Magalhães";37;42;49;22;6;113;269
"291960 Macajuba";39;28;7;-;-;7;81
"291970 Macarani";53;32;9;9;-;21;124
"291980 Macaúbas";131;89;25;16;1;34;296
"291990 Macururé";15;8;1;4;1;19;48
"291992 Madre de Deus";17;12;32;24;4;21;110
"291995 Maetinga";29;18;2;-;-;7;56
"292000 Maiquinique";24;14;4;-;-;14;56
"292010 Mairi";23;28;2;11;2;72;138
"292020 Malhada";40;13;15;3;2;16;89
"292030 Malhada de Pedras";25;18;2;3;-;6;54
"292040 Manoel Vitorino";25;14;3;4;-;21;67
"292045 Mansidão";17;9;3;1;1;11;42
"292050 Maracás";56;59;11;9;-;43;178
"292060 Maragogipe";101;78;39;33;1;49;301
"292070 Maraú";25;24;6;3;4;24;86
"292080 Marcionílio Souza";19;16;6;3;-;12;56
"292090 Mascote";32;25;21;3;1;11;93
"292100 Mata de São João";49;71;59;36;9;54;278
"292105 Matina";18;8;10;1;-;22;59
"292110 Medeiros Neto";72;44;40;15;3;17;191
"292120 Miguel Calmon";30;38;12;10;1;118;209
"292130 Milagres";28;21;10;2;-;15;76
"292140 Mirangaba";22;5;5;3;-;51;86
"292145 Mirante";21;9;1;3;1;6;41
"292150 Monte Santo";101;38;41;11;3;108;302
"292160 Morpará";34;12;7;-;-;8;61
"292170 Morro do Chapéu";54;53;36;14;2;32;191
"292180 Mortugaba";25;12;5;2;-;29;73
"292190 Mucugê";26;10;5;3;3;27;74
"292200 Mucuri";50;39;30;22;5;22;168
"292205 Mulungu do Morro";31;15;27;4;1;11;89
"292210 Mundo Novo";38;29;5;7;1;46;126
"292220 Muniz Ferreira";17;28;10;2;-;8;65
"292225 Muquém de São Francisco";11;20;7;4;-;8;50
"292230 Muritiba";42;52;38;21;1;35;189
"292240 Mutuípe";60;49;11;3;2;15;140
"292250 Nazaré";48;50;46;27;5;22;198
"292260 Nilo Peçanha";24;14;4;4;4;9;59
"292265 Nordestina";25;13;10;2;-;13;63
"292270 Nova Canaã";41;37;4;5;-;24;111
"292273 Nova Fátima";14;4;6;3;-;7;34
"292275 Nova Ibiá";13;13;6;-;-;-;32
"292280 Nova Itarana";22;8;5;2;1;7;45
"292285 Nova Redenção";25;13;8;-;-;5;51
"292290 Nova Soure";31;21;21;5;1;52;131
"292300 Nova Viçosa";83;49;24;19;4;33;212
"292303 Novo Horizonte";24;19;11;7;-;16;77
"292305 Novo Triunfo";21;13;3;1;-;16;54
"292310 Olindina";37;18;20;16;1;54;146
"292320 Oliveira dos Brejinhos";69;38;23;8;-;17;155
"292330 Ouriçangas";16;7;9;4;-;13;49
"292335 Ourolândia";34;11;9;2;-;43;99
"292340 Palmas de Monte Alto";56;21;37;3;2;20;139
"292350 Palmeiras";14;11;4;4;2;18;53
"292360 Paramirim";43;28;5;6;-;68;150
"292370 Paratinga";70;46;18;12;1;45;192
"292380 Paripiranga";65;64;16;9;2;34;190
"292390 Pau Brasil";20;14;8;5;3;14;64
"292400 Paulo Afonso";83;92;52;40;22;488;777
"292405 Pé de Serra";38;5;24;8;1;20;96
"292410 Pedrão";24;12;6;7;-;9;58
"292420 Pedro Alexandre";24;14;13;3;1;10;65
"292430 Piatã";36;8;11;8;1;74;138
"292440 Pilão Arcado";33;44;16;6;-;59;158
"292450 Pindaí";47;26;13;5;1;14;106
"292460 Pindobaçu";22;29;13;3;-;55;122
"292465 Pintadas";12;12;5;2;-;17;48
"292467 Piraí do Norte";11;10;3;3;1;8;36
"292470 Piripá";35;15;2;3;-;18;73
"292480 Piritiba";34;20;14;6;2;57;133
"292490 Planaltino";17;7;7;1;-;14;46
"292500 Planalto";27;22;11;5;3;113;181
"292510 Poções";96;63;37;16;2;182;396
"292520 Pojuca";45;43;42;35;3;47;215
"292525 Ponto Novo";22;21;10;2;1;35;91
"292530 Porto Seguro";156;232;109;93;41;182;813
"292540 Potiraguá";12;10;3;3;-;31;59
"292550 Prado";43;41;19;13;1;59;176
"292560 Presidente Dutra";28;23;22;9;-;18;100
"292570 Presidente Jânio Quadros";36;19;4;-;1;18;78
"292575 Presidente Tancredo Neves";63;21;22;6;-;25;137
"292580 Queimadas";42;27;9;12;-;45;135
"292590 Quijingue";49;24;16;5;2;56;152
"292593 Quixabeira";11;7;2;1;2;33;56
"292595 Rafael Jambeiro";64;15;8;6;-;41;134
"292600 Remanso";78;19;63;14;2;48;224
"292610 Retirolândia";29;24;6;6;-;20;85
"292620 Riachão das Neves";45;21;14;5;-;39;124
"292630 Riachão do Jacuípe";87;62;28;19;1;43;240
"292640 Riacho de Santana";85;57;16;9;3;37;207
"292650 Ribeira do Amparo";29;20;13;1;-;15;78
"292660 Ribeira do Pombal";135;100;46;21;5;67;374
"292665 Ribeirão do Largo";16;10;3;1;-;10;40
"292670 Rio de Contas";34;28;6;6;1;23;98
"292680 Rio do Antônio";24;15;6;4;1;14;64
"292690 Rio do Pires";32;15;5;1;1;14;68
"292700 Rio Real";74;68;36;23;1;47;249
"292710 Rodelas";10;11;5;6;1;14;47
"292720 Ruy Barbosa";75;53;38;12;4;60;242
"292730 Salinas da Margarida";16;24;16;8;1;10;75
"292740 Salvador";1291;3613;3158;3297;1161;3701;16221
"292750 Santa Bárbara";52;23;20;18;1;44;158
"292760 Santa Brígida";8;9;4;-;-;44;65
"292770 Santa Cruz Cabrália";39;35;32;11;5;36;158
"292780 Santa Cruz da Vitória";17;8;7;4;1;6;43
"292790 Santa Inês";27;19;11;2;-;22;81
"292805 Santa Luzia";20;12;19;3;3;31;88
"292810 Santa Maria da Vitória";93;33;19;17;5;55;222
"292840 Santa Rita de Cássia";33;30;9;9;2;81;164
"292850 Santa Teresinha";22;13;10;6;-;13;64
"292800 Santaluz";54;38;14;10;2;96;214
"292820 Santana";60;28;26;11;1;44;170
"292830 Santanópolis";20;11;10;4;-;11;56
"292860 Santo Amaro";81;91;77;57;3;73;382
"292870 Santo Antônio de Jesus";175;200;126;74;17;87;679
"292880 Santo Estêvão";97;48;27;36;2;142;352
"292890 São Desidério";45;36;9;9;-;56;155
"292895 São Domingos";30;9;9;5;1;9;63
"292910 São Felipe";45;40;24;13;1;22;145
"292900 São Félix";29;22;10;14;1;20;96
"292905 São Félix do Coribe";29;19;12;6;-;23;89
"292920 São Francisco do Conde";42;47;34;30;2;51;206
"292925 São Gabriel";37;18;29;10;3;11;108
"292930 São Gonçalo dos Campos";56;31;44;20;4;63;218
"292935 São José da Vitória";20;21;9;3;-;9;62
"292937 São José do Jacuípe";14;9;3;2;-;43;71
"292940 São Miguel das Matas";19;23;5;4;-;5;56
"292950 São Sebastião do Passé";55;57;38;32;4;48;234
"292960 Sapeaçu";43;38;15;7;1;19;123
"292970 Sátiro Dias";45;31;18;4;2;26;126
"292975 Saubara";6;26;22;8;-;18;80
"292980 Saúde";16;23;8;6;-;29;82
"292990 Seabra";35;15;41;22;3;170;286
"293000 Sebastião Laranjeiras";20;5;6;2;-;22;55
"293010 Senhor do Bonfim";114;135;81;27;6;124;487
"293020 Sento Sé";33;37;8;8;3;58;147
"293015 Serra do Ramalho";46;41;15;4;3;63;172
"293030 Serra Dourada";30;11;30;5;1;14;91
"293040 Serra Preta";42;8;16;10;1;56;133
"293050 Serrinha";109;91;64;45;8;161;478
"293060 Serrolândia";27;18;10;5;-;27;87
"293070 Simões Filho";128;184;180;116;9;167;784
"293075 Sítio do Mato";17;13;4;4;-;20;58
"293076 Sítio do Quinto";30;18;4;2;-;11;65
"293077 Sobradinho";26;26;25;6;3;34;120
"293080 Souto Soares";18;12;22;5;-;55;112
"293090 Tabocas do Brejo Velho";31;10;8;-;2;8;59
"293100 Tanhaçu";47;44;15;6;-;16;128
"293105 Tanque Novo";35;42;3;4;-;14;98
"293110 Tanquinho";29;13;8;3;-;15;68
"293120 Taperoá";38;13;12;9;2;16;90
"293130 Tapiramutá";25;16;9;-;-;26;76
"293135 Teixeira de Freitas";323;313;149;67;22;115;989
"293140 Teodoro Sampaio";15;12;7;6;1;7;48
"293150 Teofilândia";32;19;19;3;1;29;103
"293160 Teolândia";44;19;6;2;-;6;77
"293170 Terra Nova";26;8;9;7;-;10;60
"293180 Tremedal";71;28;6;5;-;17;127
"293190 Tucano";75;53;35;16;-;50;229
"293200 Uauá";38;24;22;11;2;72;169
"293210 Ubaíra";54;54;5;4;2;9;128
"293220 Ubaitaba";60;39;22;8;3;23;155
"293230 Ubatã";40;34;18;13;2;44;151
"293240 Uibaí";32;19;15;6;1;14;87
"293245 Umburanas";5;10;5;1;1;32;54
"293250 Una";43;48;23;8;-;50;172
"293260 Urandi";38;12;16;6;-;29;101
"293270 Uruçuca";46;26;23;3;3;50;151
"293280 Utinga";33;42;10;5;2;15;107
