Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Estado Civil
Período:2018
"Município-BA";"Solteiro";"Casado";"Viúvo";"Separado judicialmente";"Outro";"Ignorado";"Total"
"290010 Abaíra";14;20;17;-;1;10;62
"290020 Abaré";21;29;25;6;8;12;101
"290030 Acajutiba";37;21;22;4;2;24;110
"290035 Adustina";28;16;16;1;4;8;73
"290040 Água Fria";26;22;28;1;8;14;99
"290060 Aiquara";8;9;6;-;2;5;30
"290070 Alagoinhas";381;288;241;38;63;100;1111
"290080 Alcobaça";67;35;23;3;10;29;167
"290090 Almadina";26;7;8;-;5;5;51
"290100 Amargosa";98;73;57;3;4;31;266
"290110 Amélia Rodrigues";71;40;38;6;9;18;182
"290115 América Dourada";17;25;16;2;6;29;95
"290120 Anagé";42;56;33;3;6;21;161
"290130 Andaraí";17;19;14;-;7;10;67
"290135 Andorinha";16;19;17;2;4;9;67
"290140 Angical";22;36;21;1;3;13;96
"290150 Anguera";28;20;17;-;3;7;75
"290160 Antas";27;31;13;1;2;13;87
"290170 Antônio Cardoso";20;23;16;2;2;11;74
"290180 Antônio Gonçalves";20;20;10;1;2;6;59
"290190 Aporá";40;33;41;6;6;14;140
"290195 Apuarema";14;13;6;2;1;7;43
"290205 Araças";35;21;12;4;6;6;84
"290200 Aracatu";22;29;19;2;2;8;82
"290210 Araci";111;74;52;6;33;29;305
"290220 Aramari";32;18;13;1;2;10;76
"290225 Arataca";44;8;8;1;3;10;74
"290230 Aratuípe";28;9;13;-;2;10;62
"290240 Aurelino Leal";52;11;7;3;3;20;96
"290250 Baianópolis";11;35;19;4;1;13;83
"290260 Baixa Grande";40;46;26;2;11;7;132
"290265 Banzaê";16;22;10;-;3;14;65
"290270 Barra";84;81;86;10;16;37;314
"290280 Barra da Estiva";38;46;41;6;10;16;157
"290290 Barra do Choça";97;73;38;10;9;25;252
"290300 Barra do Mendes";38;35;31;5;6;5;120
"290310 Barra do Rocha";17;9;3;1;2;6;38
"290320 Barreiras";213;235;142;43;32;143;808
"290323 Barro Alto";34;49;25;-;6;9;123
"290330 Barro Preto";31;4;6;-;1;16;58
"290327 Barrocas";18;28;22;1;2;9;80
"290340 Belmonte";80;21;21;-;12;16;150
"290350 Belo Campo";41;33;33;3;8;14;132
"290360 Biritinga";24;20;25;3;3;22;97
"290370 Boa Nova";47;15;14;2;2;20;100
"290380 Boa Vista do Tupim";39;20;15;1;11;8;94
"290390 Bom Jesus da Lapa";102;100;85;8;16;86;397
"290395 Bom Jesus da Serra";15;21;11;2;2;9;60
"290400 Boninal";25;37;22;2;3;12;101
"290405 Bonito";17;24;8;-;9;20;78
"290410 Boquira";45;37;36;1;9;11;139
"290420 Botuporã";12;22;9;1;2;17;63
"290430 Brejões";36;28;20;3;6;8;101
"290440 Brejolândia";7;8;3;3;-;7;28
"290450 Brotas de Macaúbas";27;27;22;1;-;12;89
"290460 Brumado";83;182;107;7;9;74;462
"290470 Buerarema";62;22;15;-;2;16;117
"290475 Buritirama";29;45;25;6;4;10;119
"290480 Caatiba";11;11;3;-;1;2;28
"290485 Cabaceiras do Paraguaçu";28;36;24;3;4;13;108
"290490 Cachoeira";80;31;53;4;11;34;213
"290500 Caculé";33;53;35;6;1;6;134
"290510 Caém";16;20;11;2;9;10;68
"290515 Caetanos";12;22;8;-;5;10;57
"290520 Caetité";66;91;54;10;7;66;294
"290530 Cafarnaum";22;40;19;-;6;23;110
"290540 Cairu";34;7;4;-;12;16;73
"290550 Caldeirão Grande";10;17;10;1;7;10;55
"290560 Camacan";116;30;50;3;18;33;250
"290570 Camaçari";583;344;178;54;51;196;1406
"290580 Camamu";101;31;24;2;27;31;216
"290590 Campo Alegre de Lourdes";22;73;27;2;8;12;144
"290600 Campo Formoso";79;133;83;5;14;57;371
"290610 Canápolis";8;13;15;-;-;3;39
"290620 Canarana";52;32;20;1;6;17;128
"290630 Canavieiras";105;30;32;2;11;81;261
"290640 Candeal";18;15;12;3;3;5;56
"290650 Candeias";206;116;93;25;24;69;533
"290660 Candiba";28;42;24;3;5;10;112
"290670 Cândido Sales";52;71;35;7;5;16;186
"290680 Cansanção";78;63;32;6;15;41;235
"290682 Canudos";26;16;9;-;5;17;73
"290685 Capela do Alto Alegre";30;21;14;1;3;5;74
"290687 Capim Grosso";70;51;21;8;9;39;198
"290689 Caraíbas";17;25;19;-;1;10;72
"290690 Caravelas";32;24;21;4;7;28;116
"290700 Cardeal da Silva";17;8;8;1;3;5;42
"290710 Carinhanha";39;59;47;7;13;30;195
"290720 Casa Nova";93;131;69;14;9;41;357
"290730 Castro Alves";78;53;37;8;7;19;202
"290740 Catolândia";4;11;3;-;3;6;27
"290750 Catu";132;84;65;16;19;36;352
"290755 Caturama";8;14;14;-;1;7;44
"290760 Central";21;23;21;3;13;14;95
"290770 Chorrochó";19;23;14;-;4;6;66
