Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária Detalhada
Categoria CID-10: B55   Leishmaniose
Período:2018
"Município-BA";"28 a 364 dias";"1 ano";"2 anos";"12 anos";"20 a 24 anos";"30 a 34 anos";"40 a 44 anos";"45 a 49 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"80 anos e mais";"Total"
"290323 Barro Alto";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"290390 Bom Jesus da Lapa";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"290530 Cafarnaum";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"290640 Candeal";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"290710 Carinhanha";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"290720 Casa Nova";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"291080 Feira de Santana";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"291170 Guanambi";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"291300 Ibitiara";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"291320 Ibotirama";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"291400 Ipirá";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"291800 Jequié";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"291820 Jiquiriçá";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"291830 Jitaúna";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"292170 Morro do Chapéu";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"292310 Olindina";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"292510 Poções";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"293020 Sento Sé";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"293190 Tucano";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"293220 Ubaitaba";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"293240 Uibaí";-;-;-;-;1;-;-;-;-;-;-;-;1;2
"293330 Vitória da Conquista";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"293350 Wenceslau Guimarães";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"293360 Xique-Xique";-;-;-;-;-;1;-;-;-;-;-;1;-;2
"Total";1;3;1;1;1;3;4;1;3;1;4;2;4;29
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
