Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Local de Ocorrência
Período:2018
"Município-BA";"Hospital";"Outros estab de saúde";"Domicílio";"Via pública";"Outros";"Local Ignorado";"Total"
"290010 Abaíra";34;1;25;2;-;-;62
"290020 Abaré";55;1;31;7;7;-;101
"290030 Acajutiba";41;5;42;9;13;-;110
"290035 Adustina";32;1;33;5;2;-;73
"290040 Água Fria";41;1;45;3;8;1;99
"290060 Aiquara";14;-;14;2;-;-;30
"290070 Alagoinhas";715;6;275;76;39;-;1111
"290080 Alcobaça";78;5;48;24;11;1;167
"290090 Almadina";27;1;17;4;2;-;51
"290100 Amargosa";170;2;77;11;6;-;266
"290110 Amélia Rodrigues";100;2;52;18;10;-;182
"290115 América Dourada";49;1;32;6;7;-;95
"290120 Anagé";93;2;54;9;3;-;161
"290130 Andaraí";40;2;16;4;5;-;67
"290135 Andorinha";23;4;34;1;5;-;67
"290140 Angical";48;6;32;5;5;-;96
"290150 Anguera";24;22;19;3;7;-;75
"290160 Antas";48;1;26;4;6;2;87
"290170 Antônio Cardoso";24;8;31;4;7;-;74
"290180 Antônio Gonçalves";28;-;26;3;2;-;59
"290190 Aporá";52;11;64;5;8;-;140
"290195 Apuarema";23;2;16;2;-;-;43
"290205 Araças";50;3;21;5;5;-;84
"290200 Aracatu";46;1;29;2;3;1;82
"290210 Araci";147;1;119;24;14;-;305
"290220 Aramari";44;2;24;3;2;1;76
"290225 Arataca";33;3;19;5;14;-;74
"290230 Aratuípe";42;-;14;4;2;-;62
"290240 Aurelino Leal";62;1;26;5;1;1;96
"290250 Baianópolis";30;14;35;-;4;-;83
"290260 Baixa Grande";62;-;54;10;6;-;132
"290265 Banzaê";25;2;31;1;6;-;65
"290270 Barra";177;3;110;13;11;-;314
"290280 Barra da Estiva";105;1;35;7;9;-;157
"290290 Barra do Choça";143;-;68;22;18;1;252
"290300 Barra do Mendes";50;1;58;9;2;-;120
"290310 Barra do Rocha";18;-;18;2;-;-;38
"290320 Barreiras";547;2;161;37;61;-;808
"290323 Barro Alto";33;31;49;8;2;-;123
"290330 Barro Preto";35;-;13;5;5;-;58
"290327 Barrocas";50;1;19;7;3;-;80
"290340 Belmonte";80;2;30;13;23;2;150
"290350 Belo Campo";82;-;38;5;7;-;132
"290360 Biritinga";55;3;33;2;4;-;97
"290370 Boa Nova";44;1;48;6;1;-;100
"290380 Boa Vista do Tupim";50;2;35;3;4;-;94
"290390 Bom Jesus da Lapa";198;67;84;37;11;-;397
"290395 Bom Jesus da Serra";39;-;17;2;2;-;60
"290400 Boninal";53;1;44;3;-;-;101
"290405 Bonito";54;-;16;4;4;-;78
"290410 Boquira";77;-;54;6;2;-;139
"290420 Botuporã";30;1;28;3;1;-;63
"290430 Brejões";48;-;44;6;3;-;101
"290440 Brejolândia";15;1;7;1;4;-;28
"290450 Brotas de Macaúbas";41;1;43;2;2;-;89
"290460 Brumado";316;4;111;15;16;-;462
"290470 Buerarema";63;-;43;6;5;-;117
"290475 Buritirama";66;-;41;11;1;-;119
"290480 Caatiba";15;-;12;-;1;-;28
"290485 Cabaceiras do Paraguaçu";51;6;43;3;5;-;108
"290490 Cachoeira";117;3;60;12;21;-;213
"290500 Caculé";84;3;37;7;3;-;134
"290510 Caém";35;-;32;1;-;-;68
"290515 Caetanos";19;7;28;1;2;-;57
"290520 Caetité";140;45;80;14;15;-;294
"290530 Cafarnaum";77;-;22;6;5;-;110
"290540 Cairu";39;5;13;10;6;-;73
"290550 Caldeirão Grande";29;1;22;1;2;-;55
"290560 Camacan";134;1;84;9;22;-;250
"290570 Camaçari";822;181;227;129;47;-;1406
"290580 Camamu";91;2;79;24;18;2;216
"290590 Campo Alegre de Lourdes";79;-;54;7;4;-;144
"290600 Campo Formoso";222;4;122;11;12;-;371
"290610 Canápolis";25;-;10;-;4;-;39
"290620 Canarana";70;-;36;14;8;-;128
"290630 Canavieiras";166;1;59;21;14;-;261
"290640 Candeal";19;10;26;1;-;-;56
"290650 Candeias";313;65;98;44;13;-;533
"290660 Candiba";80;-;23;6;3;-;112
"290670 Cândido Sales";131;1;40;6;8;-;186
"290680 Cansanção";133;1;84;7;10;-;235
"290682 Canudos";44;-;15;8;6;-;73
"290685 Capela do Alto Alegre";34;2;31;3;4;-;74
"290687 Capim Grosso";52;62;53;16;14;1;198
"290689 Caraíbas";30;13;23;5;1;-;72
"290690 Caravelas";64;3;38;5;6;-;116
"290700 Cardeal da Silva";15;2;18;1;6;-;42
"290710 Carinhanha";124;-;55;11;5;-;195
"290720 Casa Nova";190;4;131;16;16;-;357
"290730 Castro Alves";139;2;49;8;4;-;202
"290740 Catolândia";13;3;7;-;3;1;27
"290750 Catu";245;9;66;14;18;-;352
"290755 Caturama";25;-;16;1;2;-;44
"290760 Central";57;-;31;7;-;-;95
"290770 Chorrochó";30;-;27;3;6;-;66
"290780 Cícero Dantas";123;-;72;10;23;-;228
"290790 Cipó";71;1;28;4;7;-;111
"290800 Coaraci";97;2;67;13;15;-;194
"290810 Cocos";62;1;11;3;3;-;80
"290820 Conceição da Feira";78;4;42;8;5;-;137
"290830 Conceição do Almeida";91;1;41;1;6;-;140
"290840 Conceição do Coité";214;4;145;35;16;1;415
"290850 Conceição do Jacuípe";137;4;46;16;11;-;214
"290860 Conde";69;3;41;10;13;-;136
"290870 Condeúba";68;1;41;3;3;-;116
"290880 Contendas do Sincorá";10;-;12;-;1;-;23
"290890 Coração de Maria";76;15;67;9;5;-;172
"290900 Cordeiros";34;-;19;-;1;-;54
"290910 Coribe";36;3;25;3;3;1;71
"290920 Coronel João Sá";40;5;39;5;2;-;91
"290930 Correntina";86;1;34;9;12;-;142
"290940 Cotegipe";18;14;27;3;8;-;70
"290950 Cravolândia";25;-;10;1;-;-;36
"290960 Crisópolis";79;-;54;9;4;-;146
"290970 Cristópolis";26;15;12;3;7;1;64
"290980 Cruz das Almas";218;34;120;30;16;-;418
"290990 Curaçá";109;-;52;6;14;-;181
"291000 Dário Meira";33;2;34;5;4;-;78
"291005 Dias d'Ávila";139;149;67;24;12;1;392
"291010 Dom Basílio";54;-;14;2;3;-;73
"291020 Dom Macedo Costa";28;-;12;2;2;-;44
"291030 Elísio Medrado";35;-;16;4;1;-;56
"291040 Encruzilhada";71;1;30;3;13;2;120
"291050 Entre Rios";159;6;45;28;20;-;258
"290050 Érico Cardoso";32;1;42;-;1;-;76
"291060 Esplanada";117;2;53;21;16;-;209
"291070 Euclides da Cunha";187;31;136;19;20;-;393
"291072 Eunápolis";416;3;199;50;43;-;711
"291075 Fátima";44;2;44;3;11;-;104
"291077 Feira da Mata";15;1;11;1;-;-;28
"291080 Feira de Santana";1889;639;752;154;289;2;3725
"291085 Filadélfia";73;1;27;4;2;-;107
"291090 Firmino Alves";22;4;18;1;-;-;45
"291100 Floresta Azul";49;1;25;3;4;-;82
"291110 Formosa do Rio Preto";72;-;25;2;10;-;109
"291120 Gandu";129;2;40;19;7;-;197
"291125 Gavião";11;3;6;-;-;-;20
"291130 Gentio do Ouro";28;-;31;2;3;-;64
"291140 Glória";63;-;26;3;6;-;98
"291150 Gongogi";31;-;15;5;1;-;52
"291160 Governador Mangabeira";63;6;42;9;11;-;131
"291165 Guajeru";20;14;18;1;1;-;54
"291170 Guanambi";293;11;156;25;21;2;508
"291180 Guaratinga";52;2;43;5;10;-;112
"291185 Heliópolis";29;1;35;-;2;-;67
"291190 Iaçu";112;-;43;9;11;-;175
"291200 Ibiassucê";38;2;22;2;1;-;65
"291210 Ibicaraí";110;1;60;10;11;-;192
"291220 Ibicoara";48;5;14;5;2;-;74
"291230 Ibicuí";72;-;30;2;6;-;110
"291240 Ibipeba";39;3;33;4;3;-;82
"291250 Ibipitanga";52;-;28;1;-;-;81
"291260 Ibiquera";7;-;9;1;2;-;19
"291270 Ibirapitanga";80;-;45;18;7;-;150
"291280 Ibirapuã";29;-;15;1;1;-;46
"291290 Ibirataia";119;-;41;8;2;2;172
"291300 Ibitiara";56;1;50;7;4;-;118
"291310 Ibititá";32;2;38;3;3;-;78
"291320 Ibotirama";116;2;47;16;8;-;189
"291330 Ichu";10;3;18;-;-;1;32
"291340 Igaporã";62;-;16;6;1;-;85
"291345 Igrapiúna";26;-;21;6;11;-;64
"291350 Iguaí";83;-;70;4;5;2;164
"291360 Ilhéus";949;6;290;98;54;4;1401
"291370 Inhambupe";116;2;79;17;12;-;226
"291380 Ipecaetá";47;4;25;2;3;-;81
"291390 Ipiaú";227;-;106;16;13;3;365
"291400 Ipirá";135;90;163;32;15;1;436
"291410 Ipupiara";51;1;23;4;-;-;79
"291420 Irajuba";33;-;14;1;1;-;49
"291430 Iramaia";28;-;17;2;2;-;49
"291440 Iraquara";76;1;48;6;4;-;135
"291450 Irará";135;2;62;6;14;-;219
"291460 Irecê";252;13;96;26;15;1;403
"291465 Itabela";101;-;40;14;24;-;179
"291470 Itaberaba";254;38;117;47;21;-;477
"291480 Itabuna";1039;44;374;69;91;-;1617
"291490 Itacaré";68;-;30;14;8;1;121
"291500 Itaeté";39;2;19;7;4;-;71
"291510 Itagi";57;1;39;4;4;-;105
"291520 Itagibá";50;2;32;5;1;-;90
"291530 Itagimirim";31;-;13;5;1;-;50
"291535 Itaguaçu da Bahia";44;1;23;8;8;-;84
"291540 Itaju do Colônia";35;-;17;2;4;-;58
"291550 Itajuípe";107;-;46;12;15;-;180
"291560 Itamaraju";266;2;123;31;26;-;448
"291570 Itamari";30;1;23;2;1;-;57
"291580 Itambé";134;-;10;8;6;-;158
"291590 Itanagra";15;3;8;2;4;-;32
"291600 Itanhém";61;1;59;13;5;1;140
"291610 Itaparica";81;10;26;23;8;-;148
"291620 Itapé";41;2;38;-;4;-;85
"291630 Itapebi";32;-;19;4;9;-;64
"291640 Itapetinga";360;14;110;14;11;-;509
"291650 Itapicuru";77;4;105;5;10;-;201
"291660 Itapitanga";39;-;21;3;4;-;67
"291670 Itaquara";24;1;16;1;1;-;43
"291680 Itarantim";65;-;33;-;9;-;107
"291685 Itatim";53;1;36;6;4;-;100
"291690 Itiruçu";71;-;30;2;-;-;103
"291700 Itiúba";85;1;81;9;17;-;193
"291710 Itororó";107;2;24;9;7;-;149
"291720 Ituaçu";69;1;38;6;-;-;114
"291730 Ituberá";97;-;30;18;8;-;153
"291733 Iuiú";37;-;13;4;1;-;55
"291735 Jaborandi";40;1;16;3;2;-;62
"291740 Jacaraci";66;-;17;6;4;-;93
"291750 Jacobina";317;8;155;42;23;3;548
"291760 Jaguaquara";219;1;114;23;5;1;363
"291770 Jaguarari";107;1;51;5;10;-;174
"291780 Jaguaripe";47;-;25;5;1;3;81
"291790 Jandaíra";28;7;23;-;3;-;61
"291800 Jequié";787;32;303;49;24;2;1197
"291810 Jeremoabo";105;2;81;14;15;-;217
"291820 Jiquiriçá";61;-;22;2;-;-;85
"291830 Jitaúna";70;-;22;3;1;-;96
"291835 João Dourado";108;3;21;6;4;2;144
"291840 Juazeiro";790;87;359;66;68;-;1370
"291845 Jucuruçu";19;-;18;2;2;-;41
"291850 Jussara";64;-;28;8;2;-;102
"291855 Jussari";32;-;13;2;4;-;51
"291860 Jussiape";8;19;20;1;1;-;49
"291870 Lafaiete Coutinho";26;-;15;2;-;-;43
"291875 Lagoa Real";13;9;21;1;1;-;45
"291880 Laje";86;-;35;3;2;-;126
"291890 Lajedão";17;2;10;2;2;-;33
"291900 Lajedinho";9;1;14;2;2;-;28
"291905 Lajedo do Tabocal";43;-;8;2;1;-;54
"291910 Lamarão";19;-;23;2;-;-;44
"291915 Lapão";90;1;36;10;7;-;144
"291920 Lauro de Freitas";668;149;172;66;45;-;1100
"291930 Lençóis";22;-;9;4;4;-;39
"291940 Licínio de Almeida";45;-;22;1;1;-;69
"291950 Livramento de Nossa Senhora";123;35;68;14;7;-;247
"291955 Luís Eduardo Magalhães";124;23;40;38;44;-;269
"291960 Macajuba";46;2;26;6;1;-;81
"291970 Macarani";81;-;34;6;3;-;124
"291980 Macaúbas";140;31;110;10;5;-;296
"291990 Macururé";22;3;13;4;5;1;48
"291992 Madre de Deus";72;6;23;7;2;-;110
"291995 Maetinga";18;21;16;1;-;-;56
"292000 Maiquinique";34;-;19;1;2;-;56
"292010 Mairi";90;1;36;7;4;-;138
"292020 Malhada";61;1;22;4;1;-;89
"292030 Malhada de Pedras";14;8;26;2;4;-;54
"292040 Manoel Vitorino";38;1;25;2;1;-;67
"292045 Mansidão";19;5;17;1;-;-;42
"292050 Maracás";127;-;45;3;1;2;178
"292060 Maragogipe";132;46;89;23;10;1;301
"292070 Maraú";46;2;24;5;9;-;86
"292080 Marcionílio Souza";26;-;21;6;2;1;56
"292090 Mascote";49;-;29;6;9;-;93
"292100 Mata de São João";174;15;52;20;16;1;278
"292105 Matina";34;-;20;5;-;-;59
"292110 Medeiros Neto";116;3;52;14;6;-;191
"292120 Miguel Calmon";134;4;58;8;5;-;209
"292130 Milagres";40;1;29;5;1;-;76
"292140 Mirangaba";45;2;32;3;4;-;86
"292145 Mirante";22;1;16;2;-;-;41
"292150 Monte Santo";141;2;131;11;17;-;302
"292160 Morpará";16;7;35;3;-;-;61
"292170 Morro do Chapéu";115;-;51;17;8;-;191
"292180 Mortugaba";49;-;22;2;-;-;73
"292190 Mucugê";43;1;26;4;-;-;74
"292200 Mucuri";98;6;40;16;8;-;168
"292205 Mulungu do Morro";53;-;22;7;7;-;89
