Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Atestante
Categoria CID-10: B55   Leishmaniose
Período:2019
"Município-BA";"Sim";"Substituto";"Outros";"Ignorado";"Total"
"290115 América Dourada";-;1;-;-;1
"290120 Anagé";1;-;-;-;1
"290210 Araci";-;1;-;-;1
"290300 Barra do Mendes";-;1;-;-;1
"290320 Barreiras";-;-;1;-;1
"290390 Bom Jesus da Lapa";-;-;-;1;1
"290475 Buritirama";1;-;-;-;1
"290490 Cachoeira";1;-;-;-;1
"290500 Caculé";-;-;1;-;1
"290520 Caetité";-;-;-;1;1
"290810 Cocos";-;-;1;-;1
"290840 Conceição do Coité";-;-;1;-;1
"291330 Ichu";1;-;-;-;1
"291460 Irecê";1;-;-;-;1
"291470 Itaberaba";-;1;-;-;1
"291760 Jaguaquara";-;-;-;1;1
"291950 Livramento de Nossa Senhora";-;-;-;1;1
"292105 Matina";-;-;-;1;1
"292303 Novo Horizonte";-;-;-;1;1
"292320 Oliveira dos Brejinhos";-;1;-;-;1
"292470 Piripá";-;-;-;1;1
"292740 Salvador";-;-;1;-;1
"293150 Teofilândia";-;1;-;-;1
"Total";5;6;5;7;23
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
