Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária Detalhada
Categoria CID-10: B55   Leishmaniose
Período:2020
"Município-BA";"28 a 364 dias";"1 ano";"8 anos";"13 anos";"19 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"55 a 59 anos";"60 a 64 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"290210 Araci";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"290300 Barra do Mendes";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290390 Bom Jesus da Lapa";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"290410 Boquira";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"290520 Caetité";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290590 Campo Alegre de Lourdes";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"290810 Cocos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"291080 Feira de Santana";-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
"291130 Gentio do Ouro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"291170 Guanambi";-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
"291850 Jussara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"292140 Mirangaba";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"292150 Monte Santo";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"292160 Morpará";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"292210 Mundo Novo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"292225 Muquém de São Francisco";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"292690 Rio do Pires";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"292730 Salinas da Margarida";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"292740 Salvador";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"293020 Sento Sé";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"293050 Serrinha";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"293360 Xique-Xique";-;-;1;-;-;-;1;-;-;-;1;-;-;-;3
"Total";1;3;1;1;1;1;3;1;1;4;4;2;2;1;26
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
