Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária Detalhada
Categoria CID-10: B55   Leishmaniose
Período:2021
"Município-BA";"28 a 364 dias";"1 ano";"25 a 29 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"65 a 69 anos";"75 a 79 anos";"80 anos e mais";"Total"
"290070 Alagoinhas";1;-;-;-;-;-;-;-;-;-;1
"290150 Anguera";-;-;-;-;1;-;-;-;-;-;1
"290720 Casa Nova";-;-;-;-;-;-;1;-;-;-;1
"290990 Curaçá";-;-;-;1;-;-;-;-;-;-;1
"291130 Gentio do Ouro";-;-;-;1;-;-;-;-;-;-;1
"291170 Guanambi";-;-;-;-;-;1;-;-;-;1;2
"291185 Heliópolis";-;-;-;-;-;-;-;-;-;1;1
"291240 Ibipeba";-;1;-;-;-;-;-;-;-;-;1
"291460 Irecê";-;-;1;-;-;-;-;-;-;-;1
"291650 Itapicuru";-;-;-;-;-;-;-;-;1;-;1
"291685 Itatim";-;-;-;-;-;-;-;-;-;1;1
"291720 Ituaçu";-;-;-;-;-;-;-;-;-;1;1
"291850 Jussara";-;-;-;-;1;-;-;-;-;-;1
"292045 Mansidão";-;-;-;-;-;-;-;-;-;1;1
"292260 Nilo Peçanha";-;-;-;-;-;-;-;-;-;1;1
"292310 Olindina";-;-;-;-;-;-;1;-;-;-;1
"292470 Piripá";-;1;-;-;-;-;-;1;-;-;2
"292750 Santa Bárbara";-;-;-;-;-;-;-;-;-;1;1
"292905 São Félix do Coribe";-;-;-;-;-;-;1;-;-;-;1
"292970 Sátiro Dias";-;-;1;-;-;-;-;-;-;-;1
"293040 Serra Preta";-;-;-;-;-;1;-;-;-;-;1
"293190 Tucano";-;-;-;-;-;-;-;1;-;-;1
"293245 Umburanas";-;-;-;-;-;1;-;-;-;-;1
"293315 Várzea Nova";-;-;-;-;-;-;-;-;1;-;1
"Total";1;2;2;2;2;3;3;2;2;7;26
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
