Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano da Notificação
Período:2014-2024
"Município Resid";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290010 Abaíra";-;-;-;-;-;-;-;1;-;-;-;1
"290020 Abaré";-;-;-;1;-;1;1;1;1;-;-;5
"290030 Acajutiba";-;-;-;1;-;-;1;-;1;3;-;6
"290035 Adustina";-;-;-;-;2;-;-;-;-;-;-;2
"290060 Aiquara";-;1;-;-;2;2;2;-;-;-;-;7
"290070 Alagoinhas";-;1;1;1;2;2;1;1;-;3;-;12
"290080 Alcobaça";1;1;-;-;1;-;1;-;1;-;-;5
"290090 Almadina";1;1;3;-;2;3;-;2;-;1;4;17
"290100 Amargosa";16;6;3;10;7;3;4;8;12;18;4;91
"290110 Amélia Rodrigues";1;-;-;-;-;-;-;-;-;1;-;2
"290115 América Dourada";1;1;1;-;-;-;-;-;-;-;-;3
"290120 Anagé";1;1;-;-;1;1;-;1;-;-;-;5
"290130 Andaraí";7;2;5;2;1;3;4;3;-;1;1;29
"290135 Andorinha";2;2;2;-;-;-;-;-;-;-;-;6
"290140 Angical";-;-;-;-;-;-;-;1;1;-;1;3
"290180 Antônio Gonçalves";-;3;3;-;1;4;2;5;-;1;-;19
"290190 Aporá";-;-;-;-;-;-;-;1;-;-;-;1
"290195 Apuarema";2;10;4;7;3;-;2;3;3;3;2;39
"290205 Araças";3;3;3;-;4;-;-;1;5;4;6;29
"290200 Aracatu";-;-;-;-;-;-;-;1;-;-;-;1
"290210 Araci";-;-;-;-;1;1;-;1;-;-;1;4
"290225 Arataca";5;-;3;1;3;2;2;-;1;-;1;18
"290230 Aratuípe";1;-;-;1;2;-;1;-;-;-;-;5
"290240 Aurelino Leal";2;4;1;-;-;1;1;1;2;-;-;12
"290250 Baianópolis";-;-;-;-;1;-;-;1;-;1;-;3
"290260 Baixa Grande";1;-;-;-;-;-;1;-;-;-;-;2
"290265 Banzaê";20;16;-;-;-;-;-;-;-;-;-;36
"290270 Barra";-;-;-;-;-;-;-;1;-;-;-;1
"290280 Barra da Estiva";24;59;18;22;14;35;25;31;11;11;4;254
"290290 Barra do Choça";1;8;4;2;7;2;13;3;3;6;10;59
"290300 Barra do Mendes";-;-;1;-;-;-;-;-;-;-;1;2
"290310 Barra do Rocha";4;3;-;1;1;-;-;1;-;-;1;11
"290320 Barreiras";3;1;3;3;2;7;7;9;7;5;4;51
"290323 Barro Alto";-;-;-;-;-;-;-;-;-;1;-;1
"290330 Barro Preto";-;2;3;1;-;2;1;2;2;1;1;15
"290327 Barrocas";-;-;-;-;-;-;-;-;-;1;1;2
"290340 Belmonte";2;3;1;-;1;-;-;2;1;-;-;10
"290360 Biritinga";-;-;-;-;-;-;-;-;-;1;-;1
"290370 Boa Nova";4;9;3;1;1;-;1;1;1;1;2;24
"290380 Boa Vista do Tupim";-;-;-;-;-;-;-;-;-;1;-;1
"290390 Bom Jesus da Lapa";1;3;3;-;4;1;1;5;2;-;1;21
"290395 Bom Jesus da Serra";4;-;3;-;-;-;1;-;-;4;2;14
"290400 Boninal";1;-;1;-;-;-;2;1;-;-;1;6
"290405 Bonito";-;7;4;-;2;1;4;1;1;1;2;23
"290410 Boquira";1;-;-;2;-;-;-;-;-;1;1;5
"290420 Botuporã";-;-;-;1;-;-;-;-;-;1;1;3
"290430 Brejões";1;1;2;-;-;-;2;-;-;-;1;7
"290440 Brejolândia";-;2;-;-;-;2;-;-;-;2;-;6
"290450 Brotas de Macaúbas";-;-;-;-;-;-;-;-;-;1;1;2
"290460 Brumado";-;1;1;-;-;1;-;-;-;-;2;5
"290470 Buerarema";24;21;22;24;18;31;15;15;13;9;6;198
"290475 Buritirama";-;-;1;-;-;-;-;-;-;-;-;1
"290480 Caatiba";6;7;4;1;5;7;3;2;-;-;-;35
"290485 Cabaceiras do Paraguaçu";-;1;-;-;-;-;1;-;-;-;-;2
"290490 Cachoeira";7;7;6;7;12;1;1;-;2;-;2;45
"290500 Caculé";-;-;1;-;-;1;2;-;-;-;-;4
"290510 Caém";1;3;5;2;2;7;3;7;2;18;3;53
"290515 Caetanos";2;-;1;-;-;-;-;1;-;2;1;7
"290520 Caetité";-;-;-;-;1;1;-;3;-;2;1;8
"290530 Cafarnaum";7;1;1;-;-;-;1;-;-;-;2;12
"290540 Cairu";3;4;5;9;6;-;2;-;2;1;1;33
"290550 Caldeirão Grande";-;-;-;3;1;-;-;-;2;-;-;6
"290560 Camacan";3;5;4;1;1;2;3;6;3;1;4;33
"290570 Camaçari";-;6;6;5;2;1;3;1;1;2;1;28
"290580 Camamu";50;66;37;79;49;48;65;26;26;11;4;461
"290600 Campo Formoso";4;9;3;3;-;1;2;5;-;4;3;34
"290610 Canápolis";1;1;1;1;-;-;-;1;-;-;1;6
"290630 Canavieiras";6;7;1;6;5;6;5;3;1;2;1;43
"290640 Candeal";-;-;-;-;1;-;-;-;-;-;-;1
"290650 Candeias";3;-;-;1;1;-;1;-;1;-;-;7
"290660 Candiba";-;-;-;-;-;-;-;-;1;-;-;1
"290670 Cândido Sales";2;-;2;-;-;1;-;4;1;1;-;11
"290680 Cansanção";-;-;-;-;-;-;1;-;1;1;2;5
"290685 Capela do Alto Alegre";-;-;1;-;-;-;-;-;-;-;-;1
"290687 Capim Grosso";-;1;-;-;-;-;-;-;-;1;1;3
"290689 Caraíbas";-;-;-;1;-;1;-;1;1;-;1;5
"290690 Caravelas";-;1;-;-;-;-;-;-;-;-;2;3
"290700 Cardeal da Silva";1;2;-;-;-;-;-;1;1;-;1;6
"290710 Carinhanha";2;2;-;-;-;-;-;2;1;1;-;8
"290720 Casa Nova";1;-;-;-;-;-;-;-;-;-;-;1
