Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano da Notificação
Período:2017-2024
"Município Resid";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290010 Abaíra";-;-;-;-;1;-;-;-;1
"290020 Abaré";1;-;1;1;1;1;-;-;5
"290030 Acajutiba";1;-;-;1;-;1;3;-;6
"290035 Adustina";-;2;-;-;-;-;-;-;2
"290060 Aiquara";-;2;2;2;-;-;-;-;6
"290070 Alagoinhas";1;2;2;1;1;-;3;-;10
"290080 Alcobaça";-;1;-;1;-;1;-;-;3
"290090 Almadina";-;2;3;-;2;-;1;4;12
"290100 Amargosa";10;7;3;4;8;12;18;4;66
"290110 Amélia Rodrigues";-;-;-;-;-;-;1;-;1
"290120 Anagé";-;1;1;-;1;-;-;-;3
"290130 Andaraí";2;1;3;4;3;-;1;1;15
"290140 Angical";-;-;-;-;1;1;-;1;3
"290180 Antônio Gonçalves";-;1;4;2;5;-;1;-;13
"290190 Aporá";-;-;-;-;1;-;-;-;1
"290195 Apuarema";7;3;-;2;3;3;3;2;23
"290205 Araças";-;4;-;-;1;5;4;6;20
"290200 Aracatu";-;-;-;-;1;-;-;-;1
"290210 Araci";-;1;1;-;1;-;-;1;4
"290225 Arataca";1;3;2;2;-;1;-;1;10
"290230 Aratuípe";1;2;-;1;-;-;-;-;4
"290240 Aurelino Leal";-;-;1;1;1;2;-;-;5
"290250 Baianópolis";-;1;-;-;1;-;1;-;3
"290260 Baixa Grande";-;-;-;1;-;-;-;-;1
"290270 Barra";-;-;-;-;1;-;-;-;1
"290280 Barra da Estiva";22;14;35;25;31;11;11;4;153
"290290 Barra do Choça";2;7;2;13;3;3;6;10;46
"290300 Barra do Mendes";-;-;-;-;-;-;-;1;1
"290310 Barra do Rocha";1;1;-;-;1;-;-;1;4
"290320 Barreiras";3;2;7;7;9;7;5;4;44
"290323 Barro Alto";-;-;-;-;-;-;1;-;1
"290330 Barro Preto";1;-;2;1;2;2;1;1;10
"290327 Barrocas";-;-;-;-;-;-;1;1;2
"290340 Belmonte";-;1;-;-;2;1;-;-;4
"290360 Biritinga";-;-;-;-;-;-;1;-;1
"290370 Boa Nova";1;1;-;1;1;1;1;2;8
"290380 Boa Vista do Tupim";-;-;-;-;-;-;1;-;1
"290390 Bom Jesus da Lapa";-;4;1;1;5;2;-;1;14
"290395 Bom Jesus da Serra";-;-;-;1;-;-;4;2;7
"290400 Boninal";-;-;-;2;1;-;-;1;4
"290405 Bonito";-;2;1;4;1;1;1;2;12
"290410 Boquira";2;-;-;-;-;-;1;1;4
"290420 Botuporã";1;-;-;-;-;-;1;1;3
"290430 Brejões";-;-;-;2;-;-;-;1;3
"290440 Brejolândia";-;-;2;-;-;-;2;-;4
"290450 Brotas de Macaúbas";-;-;-;-;-;-;1;1;2
"290460 Brumado";-;-;1;-;-;-;-;2;3
"290470 Buerarema";24;18;31;15;15;13;9;6;131
"290480 Caatiba";1;5;7;3;2;-;-;-;18
"290485 Cabaceiras do Paraguaçu";-;-;-;1;-;-;-;-;1
"290490 Cachoeira";7;12;1;1;-;2;-;2;25
"290500 Caculé";-;-;1;2;-;-;-;-;3
"290510 Caém";2;2;7;3;7;2;18;3;44
"290515 Caetanos";-;-;-;-;1;-;2;1;4
"290520 Caetité";-;1;1;-;3;-;2;1;8
"290530 Cafarnaum";-;-;-;1;-;-;-;2;3
"290540 Cairu";9;6;-;2;-;2;1;1;21
"290550 Caldeirão Grande";3;1;-;-;-;2;-;-;6
"290560 Camacan";1;1;2;3;6;3;1;4;21
"290570 Camaçari";5;2;1;3;1;1;2;1;16
"290580 Camamu";79;49;48;65;26;26;11;4;308
"290600 Campo Formoso";3;-;1;2;5;-;4;3;18
"290610 Canápolis";1;-;-;-;1;-;-;1;3
"290630 Canavieiras";6;5;6;5;3;1;2;1;29
"290640 Candeal";-;1;-;-;-;-;-;-;1
"290650 Candeias";1;1;-;1;-;1;-;-;4
"290660 Candiba";-;-;-;-;-;1;-;-;1
"290670 Cândido Sales";-;-;1;-;4;1;1;-;7
"290680 Cansanção";-;-;-;1;-;1;1;2;5
"290687 Capim Grosso";-;-;-;-;-;-;1;1;2
"290689 Caraíbas";1;-;1;-;1;1;-;1;5
"290690 Caravelas";-;-;-;-;-;-;-;2;2
"290700 Cardeal da Silva";-;-;-;-;1;1;-;1;3
"290710 Carinhanha";-;-;-;-;2;1;1;-;4
"290730 Castro Alves";-;1;-;-;-;-;2;-;3
"290740 Catolândia";-;1;1;-;1;-;1;-;4
"290750 Catu";-;-;-;-;-;-;2;1;3
"290760 Central";-;-;-;-;-;1;-;-;1
"290780 Cícero Dantas";-;-;-;-;1;-;-;-;1
"290790 Cipó";-;-;-;-;2;-;-;-;2
"290800 Coaraci";7;6;5;6;3;6;6;7;46
"290810 Cocos";17;14;17;12;10;14;19;9;112
"290830 Conceição do Almeida";-;-;-;-;1;-;-;-;1
"290840 Conceição do Coité";-;-;-;1;1;-;-;-;2
"290850 Conceição do Jacuípe";-;-;1;-;-;-;-;-;1
"290860 Conde";-;1;1;-;-;-;-;1;3
"290870 Condeúba";1;1;-;2;4;2;10;-;20
"290880 Contendas do Sincorá";3;3;1;-;3;1;-;1;12
"290890 Coração de Maria";-;-;-;-;1;-;1;-;2
"290900 Cordeiros";-;-;-;1;1;1;2;-;5
"290910 Coribe";17;14;22;30;14;5;8;14;124
"290930 Correntina";1;4;1;13;24;6;4;1;54
"290940 Cotegipe";-;-;-;-;1;-;2;-;3
"290950 Cravolândia";-;-;6;1;3;2;-;-;12
"290960 Crisópolis";-;-;-;-;1;-;1;-;2
"290970 Cristópolis";-;-;-;-;-;-;-;1;1
"290980 Cruz das Almas";-;-;1;-;-;-;-;-;1
"290990 Curaçá";-;-;-;2;-;1;-;-;3
