Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2017
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"290020 Abaré";-;-;-;-;-;1;1
"290030 Acajutiba";-;-;-;-;-;1;1
"290070 Alagoinhas";1;-;-;-;-;-;1
"290100 Amargosa";-;10;-;-;-;-;10
"290130 Andaraí";-;2;-;-;-;-;2
"290195 Apuarema";1;6;-;-;-;-;7
"290225 Arataca";-;1;-;-;-;-;1
"290230 Aratuípe";1;-;-;-;-;-;1
"290280 Barra da Estiva";3;17;-;-;-;2;22
"290290 Barra do Choça";1;1;-;-;-;-;2
"290310 Barra do Rocha";-;1;-;-;-;-;1
"290320 Barreiras";-;3;-;-;-;-;3
"290330 Barro Preto";-;1;-;-;-;-;1
"290370 Boa Nova";-;1;-;-;-;-;1
"290410 Boquira";2;-;-;-;-;-;2
"290420 Botuporã";-;-;-;-;-;1;1
"290470 Buerarema";15;7;-;-;1;1;24
"290480 Caatiba";-;1;-;-;-;-;1
"290490 Cachoeira";6;1;-;-;-;-;7
"290510 Caém";-;2;-;-;-;-;2
"290540 Cairu";5;3;1;-;-;-;9
"290550 Caldeirão Grande";-;3;-;-;-;-;3
"290560 Camacan";-;-;-;1;-;-;1
"290570 Camaçari";2;2;-;-;-;1;5
"290580 Camamu";1;76;-;2;-;-;79
"290600 Campo Formoso";-;-;1;1;1;-;3
"290610 Canápolis";1;-;-;-;-;-;1
"290630 Canavieiras";1;5;-;-;-;-;6
"290650 Candeias";-;1;-;-;-;-;1
"290689 Caraíbas";-;1;-;-;-;-;1
"290800 Coaraci";2;5;-;-;-;-;7
"290810 Cocos";9;7;-;1;-;-;17
"290870 Condeúba";-;1;-;-;-;-;1
"290880 Contendas do Sincorá";-;3;-;-;-;-;3
"290910 Coribe";3;13;1;-;-;-;17
"290930 Correntina";-;1;-;-;-;-;1
"291000 Dário Meira";1;6;-;-;-;-;7
"291005 Dias d'Ávila";-;-;-;-;-;1;1
"291030 Elísio Medrado";1;-;-;-;-;-;1
"291077 Feira da Mata";3;1;-;-;-;-;4
"291085 Filadélfia";-;1;-;-;-;-;1
"291100 Floresta Azul";-;2;-;-;-;-;2
"291110 Formosa do Rio Preto";1;1;-;-;-;-;2
"291120 Gandu";9;41;-;-;-;-;50
"291170 Guanambi";2;-;-;-;-;-;2
"291210 Ibicaraí";-;2;-;-;-;1;3
"291220 Ibicoara";-;1;1;-;-;2;4
"291230 Ibicuí";-;3;-;-;-;-;3
"291270 Ibirapitanga";5;6;-;-;-;-;11
"291290 Ibirataia";6;2;-;1;-;1;10
"291345 Igrapiúna";-;24;-;-;-;-;24
"291350 Iguaí";-;3;-;-;-;-;3
"291360 Ilhéus";1;21;1;-;1;-;24
"291390 Ipiaú";3;10;-;-;-;-;13
"291410 Ipupiara";-;1;-;-;-;-;1
"291430 Iramaia";1;1;-;-;-;-;2
"291440 Iraquara";-;1;-;-;-;-;1
"291450 Irará";-;-;-;-;1;-;1
"291460 Irecê";1;-;-;-;-;-;1
"291465 Itabela";-;3;-;1;-;1;5
"291470 Itaberaba";-;1;-;-;-;-;1
"291480 Itabuna";1;3;-;-;-;-;4
"291490 Itacaré";4;2;-;-;-;-;6
