Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2019
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por LTA";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"290020 Abaré";-;-;-;-;-;-;1;1
"290060 Aiquara";-;1;-;-;-;-;1;2
"290070 Alagoinhas";1;1;-;-;-;-;-;2
"290090 Almadina";3;-;-;-;-;-;-;3
"290100 Amargosa";-;3;-;-;-;-;-;3
"290120 Anagé";1;-;-;-;-;-;-;1
"290130 Andaraí";-;3;-;-;-;-;-;3
"290180 Antônio Gonçalves";2;2;-;-;-;-;-;4
"290210 Araci";1;-;-;-;-;-;-;1
"290225 Arataca";2;-;-;-;-;-;-;2
"290240 Aurelino Leal";-;1;-;-;-;-;-;1
"290280 Barra da Estiva";-;35;-;-;-;-;-;35
"290290 Barra do Choça";-;2;-;-;-;-;-;2
"290320 Barreiras";1;6;-;-;-;-;-;7
"290330 Barro Preto";1;1;-;-;-;-;-;2
"290390 Bom Jesus da Lapa";1;-;-;-;-;-;-;1
"290405 Bonito";-;1;-;-;-;-;-;1
"290440 Brejolândia";2;-;-;-;-;-;-;2
"290460 Brumado";-;-;-;-;-;-;1;1
"290470 Buerarema";8;10;3;-;-;1;9;31
"290480 Caatiba";-;6;-;-;-;-;1;7
"290490 Cachoeira";1;-;-;-;-;-;-;1
"290500 Caculé";1;-;-;-;-;-;-;1
"290510 Caém";1;6;-;-;-;-;-;7
"290520 Caetité";-;-;-;-;-;-;1;1
"290560 Camacan";-;2;-;-;-;-;-;2
"290570 Camaçari";1;-;-;-;-;-;-;1
"290580 Camamu";2;45;1;-;-;-;-;48
"290600 Campo Formoso";1;-;-;-;-;-;-;1
"290630 Canavieiras";-;5;-;-;1;-;-;6
"290670 Cândido Sales";-;-;-;-;-;-;1;1
"290689 Caraíbas";-;1;-;-;-;-;-;1
"290740 Catolândia";1;-;-;-;-;-;-;1
"290800 Coaraci";2;3;-;-;-;-;-;5
"290810 Cocos";10;7;-;-;-;-;-;17
"290850 Conceição do Jacuípe";1;-;-;-;-;-;-;1
"290860 Conde";-;-;-;-;-;-;1;1
"290880 Contendas do Sincorá";-;-;-;-;-;-;1;1
"290910 Coribe";2;20;-;-;-;-;-;22
"290930 Correntina";-;1;-;-;-;-;-;1
"290950 Cravolândia";2;4;-;-;-;-;-;6
"290980 Cruz das Almas";1;-;-;-;-;-;-;1
"291000 Dário Meira";-;4;-;-;-;-;1;5
"291005 Dias d'Ávila";1;2;-;-;-;-;-;3
"291040 Encruzilhada";-;1;-;-;-;-;-;1
"291060 Esplanada";2;-;-;-;-;-;-;2
"291072 Eunápolis";3;5;-;-;-;-;-;8
"291077 Feira da Mata";2;4;-;-;-;-;-;6
"291080 Feira de Santana";-;1;-;-;-;-;-;1
"291090 Firmino Alves";-;1;-;-;-;-;-;1
"291100 Floresta Azul";-;3;-;-;2;-;2;7
"291120 Gandu";2;17;-;-;-;-;-;19
"291150 Gongogi";-;-;-;-;-;-;1;1
"291170 Guanambi";-;1;-;-;-;-;-;1
"291180 Guaratinga";4;1;-;-;-;-;-;5
"291220 Ibicoara";-;43;-;-;-;-;-;43
"291230 Ibicuí";1;5;-;-;-;-;-;6
"291270 Ibirapitanga";-;6;-;-;-;-;-;6
"291280 Ibirapuã";1;-;-;1;-;-;-;2
"291290 Ibirataia";-;3;-;-;-;-;-;3
"291345 Igrapiúna";11;10;-;-;-;-;-;21
"291350 Iguaí";-;4;-;-;-;-;-;4
"291360 Ilhéus";-;27;-;-;-;-;-;27
"291390 Ipiaú";6;1;-;-;-;-;-;7
"291430 Iramaia";2;-;-;-;-;-;-;2
"291440 Iraquara";-;1;-;-;-;-;-;1
"291465 Itabela";-;1;-;-;-;-;-;1
"291470 Itaberaba";1;-;-;-;-;-;-;1
"291480 Itabuna";6;-;-;-;-;-;-;6
"291490 Itacaré";-;8;-;-;-;-;-;8
"291510 Itagi";-;3;-;-;-;-;-;3
"291520 Itagibá";1;2;-;-;-;-;1;4
"291540 Itaju do Colônia";1;2;-;-;-;-;-;3
"291550 Itajuípe";1;2;1;-;-;-;-;4
"291560 Itamaraju";-;2;-;-;-;-;-;2
"291570 Itamari";5;1;1;-;-;1;-;8
"291580 Itambé";2;10;-;-;-;-;-;12
"291590 Itanagra";1;-;-;-;-;1;-;2
"291620 Itapé";1;-;-;-;-;-;-;1
"291640 Itapetinga";2;1;-;-;-;-;1;4
"291660 Itapitanga";1;1;-;-;-;-;-;2
"291670 Itaquara";12;1;-;-;-;-;1;14
"291710 Itororó";1;1;-;-;-;-;1;3
"291720 Ituaçu";-;5;-;-;-;-;-;5
"291730 Ituberá";-;26;-;-;1;-;-;27
"291733 Iuiú";-;1;-;-;-;-;-;1
"291735 Jaborandi";-;-;1;-;-;-;-;1
"291740 Jacaraci";-;4;-;-;-;-;4;8
"291750 Jacobina";2;2;-;-;-;2;-;6
"291760 Jaguaquara";1;8;-;-;-;-;-;9
"291800 Jequié";4;8;-;-;-;-;-;12
"291820 Jiquiriçá";7;8;-;-;-;-;-;15
"291830 Jitaúna";8;5;-;-;-;-;-;13
"291855 Jussari";-;2;1;-;-;-;-;3
"291880 Laje";7;7;-;-;2;-;-;16
"291890 Lajedão";-;1;-;-;-;-;-;1
"291900 Lajedinho";-;1;-;-;-;-;-;1
"291905 Lajedo do Tabocal";1;-;-;-;-;-;-;1
"291920 Lauro de Freitas";1;3;-;-;-;-;1;5
"291930 Lençóis";-;4;-;-;-;-;-;4
"291940 Licínio de Almeida";-;1;-;-;-;-;-;1
"291980 Macaúbas";-;2;-;-;-;-;-;2
"292000 Maiquinique";-;2;-;-;-;-;-;2
"292040 Manoel Vitorino";1;-;-;-;-;-;-;1
"292050 Maracás";1;1;-;-;-;-;-;2
"292070 Maraú";-;33;-;-;1;-;-;34
"292090 Mascote";2;-;-;-;-;-;1;3
"292100 Mata de São João";-;-;-;-;-;-;1;1
"292105 Matina";1;-;-;-;-;-;-;1
"292120 Miguel Calmon";1;5;-;-;-;-;10;16
"292150 Monte Santo";-;1;-;-;-;-;-;1
"292170 Morro do Chapéu";-;1;-;-;-;-;-;1
"292190 Mucugê";1;1;-;-;-;-;-;2
"292200 Mucuri";-;1;-;-;-;-;-;1
"292240 Mutuípe";8;46;-;-;-;-;-;54
"292260 Nilo Peçanha";61;2;1;-;-;-;-;64
"292265 Nordestina";1;-;-;-;-;-;-;1
"292270 Nova Canaã";4;17;1;-;-;-;-;22
"292275 Nova Ibiá";2;-;-;-;-;-;-;2
"292285 Nova Redenção";2;-;-;-;-;-;-;2
"292350 Palmeiras";8;-;-;-;-;-;-;8
"292390 Pau Brasil";3;3;1;-;-;-;-;7
"292460 Pindobaçu";-;5;-;-;-;-;-;5
"292467 Piraí do Norte";-;7;-;-;-;-;-;7
"292470 Piripá";-;-;-;1;-;-;-;1
"292500 Planalto";-;5;-;-;-;-;-;5
"292510 Poções";-;7;-;-;-;-;-;7
"292520 Pojuca";1;1;-;-;-;-;1;3
"292530 Porto Seguro";6;24;-;-;-;-;-;30
"292550 Prado";1;-;-;-;-;-;-;1
"292575 Presidente Tancredo Neves";-;20;8;-;-;-;-;28
"292620 Riachão das Neves";-;1;-;-;-;-;-;1
"292665 Ribeirão do Largo";-;2;-;-;-;-;-;2
"292720 Ruy Barbosa";-;3;-;-;-;-;-;3
"292740 Salvador";7;6;-;-;-;2;-;15
"292750 Santa Bárbara";1;-;-;-;-;-;-;1
"292770 Santa Cruz Cabrália";7;-;-;-;-;-;-;7
"292780 Santa Cruz da Vitória";-;2;-;-;-;-;-;2
"292790 Santa Inês";-;1;-;-;-;-;-;1
"292805 Santa Luzia";1;3;1;-;-;-;-;5
"292810 Santa Maria da Vitória";-;14;-;-;-;-;-;14
"292820 Santana";1;-;-;-;-;-;-;1
"292860 Santo Amaro";1;-;-;-;-;-;-;1
"292870 Santo Antônio de Jesus";-;1;-;-;-;-;-;1
"292910 São Felipe";1;-;-;-;-;-;-;1
"292905 São Félix do Coribe";3;5;-;-;-;-;-;8
"292930 São Gonçalo dos Campos";1;-;-;-;-;-;-;1
"292935 São José da Vitória";1;7;-;-;-;-;1;9
"292940 São Miguel das Matas";-;3;-;-;-;-;-;3
"292980 Saúde";-;-;-;-;-;-;1;1
"292990 Seabra";13;3;-;-;-;-;-;16
"293010 Senhor do Bonfim";-;4;-;-;-;-;-;4
"293015 Serra do Ramalho";2;1;-;-;-;1;-;4
"293030 Serra Dourada";-;1;-;-;-;-;-;1
"293075 Sítio do Mato";2;-;-;-;-;-;-;2
"293077 Sobradinho";1;-;-;-;-;-;-;1
"293080 Souto Soares";1;-;-;-;-;-;-;1
"293100 Tanhaçu";-;-;-;-;-;-;1;1
"293120 Taperoá";57;38;-;-;-;-;-;95
"293135 Teixeira de Freitas";1;1;-;-;-;-;1;3
"293160 Teolândia";2;20;7;-;-;-;-;29
"293210 Ubaíra";17;2;-;-;-;-;-;19
"293220 Ubaitaba";1;-;-;-;-;-;-;1
"293230 Ubatã";2;8;-;-;-;-;-;10
"293250 Una";3;13;-;-;-;-;-;16
"293270 Uruçuca";1;11;-;-;-;2;-;14
"293280 Utinga";1;5;2;-;-;1;-;9
"293290 Valença";23;101;-;1;-;-;-;125
"293320 Vera Cruz";-;1;1;-;-;-;-;2
"293330 Vitória da Conquista";-;9;-;-;-;-;-;9
"293340 Wagner";-;6;-;-;-;-;1;7
