Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2019
"Município Resid";"Masculino";"Feminino";"Total"
"290020 Abaré";1;-;1
"290060 Aiquara";1;1;2
"290070 Alagoinhas";1;1;2
"290090 Almadina";2;1;3
"290100 Amargosa";3;-;3
"290120 Anagé";1;-;1
"290130 Andaraí";3;-;3
"290180 Antônio Gonçalves";2;2;4
"290210 Araci";1;-;1
"290225 Arataca";1;1;2
"290240 Aurelino Leal";1;-;1
"290280 Barra da Estiva";19;16;35
"290290 Barra do Choça";2;-;2
"290320 Barreiras";5;2;7
"290330 Barro Preto";2;-;2
"290390 Bom Jesus da Lapa";1;-;1
"290405 Bonito";-;1;1
"290440 Brejolândia";-;2;2
"290460 Brumado";1;-;1
"290470 Buerarema";15;16;31
"290480 Caatiba";5;2;7
"290490 Cachoeira";1;-;1
"290500 Caculé";1;-;1
"290510 Caém";3;4;7
"290520 Caetité";1;-;1
"290560 Camacan";2;-;2
"290570 Camaçari";1;-;1
"290580 Camamu";29;19;48
"290600 Campo Formoso";-;1;1
"290630 Canavieiras";3;3;6
"290670 Cândido Sales";1;-;1
"290689 Caraíbas";1;-;1
"290740 Catolândia";-;1;1
"290800 Coaraci";4;1;5
"290810 Cocos";11;6;17
"290850 Conceição do Jacuípe";-;1;1
"290860 Conde";1;-;1
"290880 Contendas do Sincorá";-;1;1
"290910 Coribe";14;8;22
"290930 Correntina";1;-;1
"290950 Cravolândia";3;3;6
"290980 Cruz das Almas";1;-;1
"291000 Dário Meira";3;2;5
"291005 Dias d'Ávila";1;2;3
"291040 Encruzilhada";1;-;1
"291060 Esplanada";1;1;2
"291072 Eunápolis";7;1;8
"291077 Feira da Mata";4;2;6
"291080 Feira de Santana";1;-;1
"291090 Firmino Alves";1;-;1
"291100 Floresta Azul";5;2;7
"291120 Gandu";13;6;19
"291150 Gongogi";-;1;1
"291170 Guanambi";1;-;1
"291180 Guaratinga";3;2;5
"291220 Ibicoara";31;12;43
"291230 Ibicuí";4;2;6
"291270 Ibirapitanga";5;1;6
"291280 Ibirapuã";2;-;2
"291290 Ibirataia";2;1;3
"291345 Igrapiúna";10;11;21
"291350 Iguaí";3;1;4
"291360 Ilhéus";15;12;27
"291390 Ipiaú";5;2;7
"291430 Iramaia";-;2;2
"291440 Iraquara";-;1;1
"291465 Itabela";-;1;1
"291470 Itaberaba";1;-;1
"291480 Itabuna";4;2;6
"291490 Itacaré";5;3;8
"291510 Itagi";1;2;3
"291520 Itagibá";3;1;4
"291540 Itaju do Colônia";3;-;3
"291550 Itajuípe";2;2;4
"291560 Itamaraju";2;-;2
"291570 Itamari";5;3;8
"291580 Itambé";8;4;12
"291590 Itanagra";-;2;2
"291620 Itapé";1;-;1
"291640 Itapetinga";3;1;4
"291660 Itapitanga";1;1;2
"291670 Itaquara";11;3;14
"291710 Itororó";2;1;3
"291720 Ituaçu";4;1;5
"291730 Ituberá";15;12;27
"291733 Iuiú";-;1;1
"291735 Jaborandi";-;1;1
"291740 Jacaraci";7;1;8
"291750 Jacobina";5;1;6
"291760 Jaguaquara";7;2;9
"291800 Jequié";10;2;12
"291820 Jiquiriçá";13;2;15
"291830 Jitaúna";5;8;13
"291855 Jussari";2;1;3
"291880 Laje";10;6;16
"291890 Lajedão";1;-;1
"291900 Lajedinho";-;1;1
"291905 Lajedo do Tabocal";-;1;1
"291920 Lauro de Freitas";2;3;5
"291930 Lençóis";3;1;4
"291940 Licínio de Almeida";-;1;1
"291980 Macaúbas";1;1;2
"292000 Maiquinique";1;1;2
"292040 Manoel Vitorino";1;-;1
"292050 Maracás";1;1;2
"292070 Maraú";21;13;34
"292090 Mascote";2;1;3
"292100 Mata de São João";-;1;1
"292105 Matina";1;-;1
"292120 Miguel Calmon";8;8;16
"292150 Monte Santo";1;-;1
"292170 Morro do Chapéu";1;-;1
"292190 Mucugê";1;1;2
"292200 Mucuri";-;1;1
"292240 Mutuípe";31;23;54
"292260 Nilo Peçanha";32;32;64
"292265 Nordestina";1;-;1
"292270 Nova Canaã";11;11;22
"292275 Nova Ibiá";1;1;2
"292285 Nova Redenção";1;1;2
"292350 Palmeiras";8;-;8
"292390 Pau Brasil";4;3;7
"292460 Pindobaçu";4;1;5
"292467 Piraí do Norte";4;3;7
"292470 Piripá";-;1;1
"292500 Planalto";4;1;5
"292510 Poções";2;5;7
"292520 Pojuca";1;2;3
"292530 Porto Seguro";20;10;30
"292550 Prado";1;-;1
"292575 Presidente Tancredo Neves";19;9;28
"292620 Riachão das Neves";1;-;1
"292665 Ribeirão do Largo";-;2;2
"292720 Ruy Barbosa";-;3;3
"292740 Salvador";10;5;15
"292750 Santa Bárbara";1;-;1
"292770 Santa Cruz Cabrália";3;4;7
"292780 Santa Cruz da Vitória";1;1;2
"292790 Santa Inês";1;-;1
"292805 Santa Luzia";3;2;5
"292810 Santa Maria da Vitória";10;4;14
"292820 Santana";-;1;1
"292860 Santo Amaro";1;-;1
"292870 Santo Antônio de Jesus";1;-;1
"292910 São Felipe";-;1;1
"292905 São Félix do Coribe";5;3;8
"292930 São Gonçalo dos Campos";1;-;1
"292935 São José da Vitória";6;3;9
"292940 São Miguel das Matas";1;2;3
"292980 Saúde";-;1;1
"292990 Seabra";8;8;16
"293010 Senhor do Bonfim";4;-;4
"293015 Serra do Ramalho";2;2;4
"293030 Serra Dourada";1;-;1
"293075 Sítio do Mato";2;-;2
"293077 Sobradinho";1;-;1
"293080 Souto Soares";1;-;1
"293100 Tanhaçu";-;1;1
"293120 Taperoá";49;46;95
"293135 Teixeira de Freitas";2;1;3
"293160 Teolândia";21;8;29
"293210 Ubaíra";9;10;19
"293220 Ubaitaba";-;1;1
"293230 Ubatã";6;4;10
"293250 Una";9;7;16
"293270 Uruçuca";6;8;14
"293280 Utinga";7;2;9
"293290 Valença";72;53;125
"293320 Vera Cruz";2;-;2
"293330 Vitória da Conquista";4;5;9
"293340 Wagner";6;1;7
"293345 Wanderley";-;1;1
"293350 Wenceslau Guimarães";71;40;111
"Total";910;589;1499
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
