Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Crit.Confirm/Descarte
Período:2020, 2024
"Município Resid";"Clínico-Laboratorial";"Clínico-epidemiológico";"Total"
"290020 Abaré";-;1;1
"290030 Acajutiba";-;1;1
"290060 Aiquara";-;2;2
"290070 Alagoinhas";-;1;1
"290080 Alcobaça";-;1;1
"290090 Almadina";-;4;4
"290100 Amargosa";4;4;8
"290130 Andaraí";-;5;5
"290140 Angical";-;1;1
"290180 Antônio Gonçalves";-;2;2
"290195 Apuarema";1;3;4
"290205 Araças";6;-;6
"290210 Araci";1;-;1
"290225 Arataca";1;2;3
"290230 Aratuípe";1;-;1
"290240 Aurelino Leal";-;1;1
"290260 Baixa Grande";-;1;1
"290280 Barra da Estiva";11;18;29
"290290 Barra do Choça";4;18;22
"290300 Barra do Mendes";1;-;1
"290310 Barra do Rocha";-;1;1
"290320 Barreiras";9;2;11
"290330 Barro Preto";-;2;2
"290327 Barrocas";-;1;1
"290370 Boa Nova";-;3;3
"290390 Bom Jesus da Lapa";-;2;2
"290395 Bom Jesus da Serra";1;2;3
"290400 Boninal";2;1;3
"290405 Bonito";1;5;6
"290420 Botuporã";1;-;1
"290430 Brejões";-;3;3
"290450 Brotas de Macaúbas";-;1;1
"290460 Brumado";-;2;2
"290470 Buerarema";1;20;21
"290480 Caatiba";-;3;3
"290485 Cabaceiras do Paraguaçu";-;1;1
"290490 Cachoeira";-;2;2
"290500 Caculé";1;1;2
"290510 Caém";4;2;6
"290515 Caetanos";1;-;1
"290520 Caetité";-;1;1
"290530 Cafarnaum";-;3;3
"290540 Cairu";2;1;3
"290560 Camacan";-;7;7
"290570 Camaçari";2;2;4
"290580 Camamu";5;64;69
"290600 Campo Formoso";-;4;4
"290610 Canápolis";-;1;1
"290630 Canavieiras";-;5;5
"290650 Candeias";-;1;1
"290680 Cansanção";-;3;3
"290687 Capim Grosso";1;-;1
"290689 Caraíbas";-;1;1
"290690 Caravelas";1;1;2
"290700 Cardeal da Silva";-;1;1
"290750 Catu";-;1;1
"290800 Coaraci";1;10;11
"290810 Cocos";1;20;21
"290840 Conceição do Coité";1;-;1
"290860 Conde";-;1;1
"290870 Condeúba";2;-;2
"290900 Cordeiros";-;1;1
"290910 Coribe";29;15;44
"290930 Correntina";13;1;14
"290950 Cravolândia";1;-;1
"290970 Cristópolis";1;-;1
"290990 Curaçá";1;1;2
"291000 Dário Meira";-;14;14
"291005 Dias d'Ávila";-;1;1
"291010 Dom Basílio";-;1;1
"291040 Encruzilhada";-;3;3
"291050 Entre Rios";-;2;2
"291060 Esplanada";-;2;2
"291072 Eunápolis";2;6;8
"291077 Feira da Mata";1;3;4
"291080 Feira de Santana";-;1;1
"291100 Floresta Azul";-;3;3
"291110 Formosa do Rio Preto";-;2;2
"291120 Gandu";27;3;30
"291150 Gongogi";-;2;2
"291160 Governador Mangabeira";-;1;1
"291170 Guanambi";4;1;5
"291180 Guaratinga";2;4;6
"291200 Ibiassucê";1;-;1
"291210 Ibicaraí";1;1;2
"291220 Ibicoara";14;25;39
"291230 Ibicuí";-;5;5
"291270 Ibirapitanga";4;11;15
"291290 Ibirataia";4;1;5
"291300 Ibitiara";-;2;2
"291310 Ibititá";-;1;1
"291345 Igrapiúna";2;14;16
"291350 Iguaí";2;18;20
