Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2020, 2024
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por LTA";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"290020 Abaré";1;-;-;-;-;-;-;1
"290030 Acajutiba";1;-;-;-;-;-;-;1
"290060 Aiquara";2;-;-;-;-;-;-;2
"290070 Alagoinhas";1;-;-;-;-;-;-;1
"290080 Alcobaça";1;-;-;-;-;-;-;1
"290090 Almadina";4;-;-;-;-;-;-;4
"290100 Amargosa";2;6;-;-;-;-;-;8
"290130 Andaraí";1;4;-;-;-;-;-;5
"290140 Angical";-;-;-;-;-;-;1;1
"290180 Antônio Gonçalves";2;-;-;-;-;-;-;2
"290195 Apuarema";4;-;-;-;-;-;-;4
"290205 Araças";6;-;-;-;-;-;-;6
"290210 Araci";1;-;-;-;-;-;-;1
"290225 Arataca";3;-;-;-;-;-;-;3
"290230 Aratuípe";1;-;-;-;-;-;-;1
"290240 Aurelino Leal";-;1;-;-;-;-;-;1
"290260 Baixa Grande";-;-;-;-;-;-;1;1
"290280 Barra da Estiva";1;28;-;-;-;-;-;29
"290290 Barra do Choça";10;11;1;-;-;-;-;22
"290300 Barra do Mendes";1;-;-;-;-;-;-;1
"290310 Barra do Rocha";-;1;-;-;-;-;-;1
"290320 Barreiras";4;7;-;-;-;-;-;11
"290330 Barro Preto";2;-;-;-;-;-;-;2
"290327 Barrocas";-;-;-;-;-;-;1;1
"290370 Boa Nova";2;-;-;1;-;-;-;3
"290390 Bom Jesus da Lapa";2;-;-;-;-;-;-;2
"290395 Bom Jesus da Serra";3;-;-;-;-;-;-;3
"290400 Boninal";2;1;-;-;-;-;-;3
"290405 Bonito";1;3;1;-;-;1;-;6
"290420 Botuporã";-;1;-;-;-;-;-;1
"290430 Brejões";-;2;-;-;-;-;1;3
"290450 Brotas de Macaúbas";1;-;-;-;-;-;-;1
"290460 Brumado";2;-;-;-;-;-;-;2
"290470 Buerarema";4;9;3;-;-;-;5;21
"290480 Caatiba";-;3;-;-;-;-;-;3
"290485 Cabaceiras do Paraguaçu";1;-;-;-;-;-;-;1
"290490 Cachoeira";2;-;-;-;-;-;-;2
"290500 Caculé";-;2;-;-;-;-;-;2
"290510 Caém";-;6;-;-;-;-;-;6
"290515 Caetanos";-;1;-;-;-;-;-;1
"290520 Caetité";1;-;-;-;-;-;-;1
"290530 Cafarnaum";-;1;-;-;-;-;2;3
"290540 Cairu";3;-;-;-;-;-;-;3
"290560 Camacan";3;3;-;-;1;-;-;7
"290570 Camaçari";2;-;-;-;-;1;1;4
"290580 Camamu";12;54;3;-;-;-;-;69
"290600 Campo Formoso";1;1;1;-;-;-;1;4
"290610 Canápolis";1;-;-;-;-;-;-;1
"290630 Canavieiras";1;4;-;-;-;-;-;5
"290650 Candeias";1;-;-;-;-;-;-;1
"290680 Cansanção";2;-;-;-;-;-;1;3
"290687 Capim Grosso";1;-;-;-;-;-;-;1
"290689 Caraíbas";-;1;-;-;-;-;-;1
"290690 Caravelas";2;-;-;-;-;-;-;2
"290700 Cardeal da Silva";-;1;-;-;-;-;-;1
"290750 Catu";-;-;-;-;-;-;1;1
"290800 Coaraci";4;4;1;-;-;-;2;11
"290810 Cocos";20;1;-;-;-;-;-;21
