Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Raça
Período:2020
"Município Resid";"Ign/Branco";"Branca";"Preta";"Amarela";"Parda";"Indigena";"Total"
"290020 Abaré";-;-;-;-;1;-;1
"290030 Acajutiba";-;-;-;-;1;-;1
"290060 Aiquara";-;-;2;-;-;-;2
"290070 Alagoinhas";-;-;-;-;1;-;1
"290080 Alcobaça";-;-;1;-;-;-;1
"290100 Amargosa";-;-;1;-;2;1;4
"290130 Andaraí";-;-;-;-;4;-;4
"290180 Antônio Gonçalves";-;-;-;-;2;-;2
"290195 Apuarema";-;-;-;-;2;-;2
"290225 Arataca";1;1;-;-;-;-;2
"290230 Aratuípe";-;-;-;-;1;-;1
"290240 Aurelino Leal";-;-;1;-;-;-;1
"290260 Baixa Grande";-;-;-;-;1;-;1
"290280 Barra da Estiva";4;3;2;-;16;-;25
"290290 Barra do Choça";1;1;-;-;11;-;13
"290320 Barreiras";-;-;-;-;7;-;7
"290330 Barro Preto";-;-;-;-;1;-;1
"290370 Boa Nova";-;-;-;-;1;-;1
"290390 Bom Jesus da Lapa";-;-;-;-;1;-;1
"290395 Bom Jesus da Serra";-;-;-;-;1;-;1
"290400 Boninal";-;-;-;-;2;-;2
"290405 Bonito";-;1;-;-;3;-;4
"290430 Brejões";-;1;-;-;1;-;2
"290470 Buerarema";-;3;5;-;7;-;15
"290480 Caatiba";-;-;-;-;3;-;3
"290485 Cabaceiras do Paraguaçu";-;-;-;-;1;-;1
"290490 Cachoeira";-;-;-;-;1;-;1
"290500 Caculé";-;-;-;-;2;-;2
"290510 Caém";1;1;1;-;-;-;3
"290530 Cafarnaum";-;-;1;-;-;-;1
"290540 Cairu";-;-;1;-;1;-;2
"290560 Camacan";1;-;1;-;1;-;3
"290570 Camaçari";-;1;1;-;1;-;3
"290580 Camamu";22;3;15;-;24;1;65
"290600 Campo Formoso";-;-;-;-;2;-;2
"290630 Canavieiras";-;-;-;-;5;-;5
"290650 Candeias";1;-;-;-;-;-;1
"290680 Cansanção";-;-;-;-;1;-;1
"290800 Coaraci";1;-;-;-;5;-;6
"290810 Cocos";4;4;2;-;2;-;12
"290840 Conceição do Coité";1;-;-;-;-;-;1
"290870 Condeúba";-;-;-;-;2;-;2
"290900 Cordeiros";-;-;-;-;1;-;1
"290910 Coribe";1;2;1;-;26;-;30
"290930 Correntina";1;1;-;-;11;-;13
"290950 Cravolândia";-;-;-;-;1;-;1
"290990 Curaçá";1;-;-;-;1;-;2
"291000 Dário Meira";-;-;1;-;8;-;9
"291005 Dias d'Ávila";-;-;-;-;1;-;1
"291050 Entre Rios";-;1;-;-;1;-;2
"291072 Eunápolis";-;1;-;-;2;-;3
"291077 Feira da Mata";1;1;-;-;1;-;3
"291080 Feira de Santana";-;-;-;-;1;-;1
"291100 Floresta Azul";-;-;-;-;1;-;1
"291120 Gandu";-;-;-;-;20;-;20
"291150 Gongogi";-;-;1;-;-;-;1
"291170 Guanambi";-;1;-;-;2;-;3
"291180 Guaratinga";1;-;-;-;1;-;2
"291210 Ibicaraí";-;-;-;-;1;-;1
"291220 Ibicoara";1;2;3;1;17;-;24
"291230 Ibicuí";-;2;-;-;-;-;2
"291270 Ibirapitanga";-;2;5;-;5;-;12
"291290 Ibirataia";-;-;-;-;2;-;2
