Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Crit.Confirm/Descarte
Período:2021
"Município Resid";"Clínico-Laboratorial";"Clínico-epidemiológico";"Total"
"290010 Abaíra";-;1;1
"290020 Abaré";-;1;1
"290070 Alagoinhas";-;1;1
"290090 Almadina";-;2;2
"290100 Amargosa";3;5;8
"290120 Anagé";1;-;1
"290130 Andaraí";1;2;3
"290140 Angical";-;1;1
"290180 Antônio Gonçalves";2;3;5
"290190 Aporá";-;1;1
"290195 Apuarema";1;2;3
"290205 Araças";-;1;1
"290200 Aracatu";-;1;1
"290210 Araci";-;1;1
"290240 Aurelino Leal";-;1;1
"290250 Baianópolis";1;-;1
"290270 Barra";-;1;1
"290280 Barra da Estiva";4;27;31
"290290 Barra do Choça";-;3;3
"290310 Barra do Rocha";-;1;1
"290320 Barreiras";8;1;9
"290330 Barro Preto";-;2;2
"290340 Belmonte";1;1;2
"290370 Boa Nova";-;1;1
"290390 Bom Jesus da Lapa";3;2;5
"290400 Boninal";1;-;1
"290405 Bonito";-;1;1
"290470 Buerarema";-;15;15
"290480 Caatiba";1;1;2
"290510 Caém";3;4;7
"290515 Caetanos";-;1;1
"290520 Caetité";3;-;3
"290560 Camacan";-;6;6
"290570 Camaçari";-;1;1
"290580 Camamu";2;24;26
"290600 Campo Formoso";2;3;5
"290610 Canápolis";-;1;1
"290630 Canavieiras";-;3;3
"290670 Cândido Sales";-;4;4
"290689 Caraíbas";1;-;1
"290700 Cardeal da Silva";-;1;1
"290710 Carinhanha";2;-;2
"290740 Catolândia";-;1;1
"290780 Cícero Dantas";1;-;1
"290790 Cipó";2;-;2
"290800 Coaraci";-;3;3
"290810 Cocos";4;6;10
"290830 Conceição do Almeida";-;1;1
"290840 Conceição do Coité";-;1;1
"290870 Condeúba";2;2;4
"290880 Contendas do Sincorá";1;2;3
"290890 Coração de Maria";-;1;1
"290900 Cordeiros";-;1;1
"290910 Coribe";9;5;14
"290930 Correntina";23;1;24
"290940 Cotegipe";1;-;1
"290950 Cravolândia";3;-;3
"290960 Crisópolis";-;1;1
"291000 Dário Meira";-;6;6
"291020 Dom Macedo Costa";2;-;2
"291050 Entre Rios";1;-;1
"290050 Érico Cardoso";1;-;1
"291072 Eunápolis";1;4;5
"291075 Fátima";-;1;1
"291077 Feira da Mata";5;1;6
"291080 Feira de Santana";1;-;1
"291090 Firmino Alves";1;1;2
"291110 Formosa do Rio Preto";3;-;3
"291120 Gandu";33;3;36
"291170 Guanambi";1;-;1
"291180 Guaratinga";1;2;3
"291200 Ibiassucê";-;1;1
"291210 Ibicaraí";-;1;1
"291220 Ibicoara";4;6;10
"291230 Ibicuí";1;2;3
"291270 Ibirapitanga";8;4;12
"291290 Ibirataia";7;3;10
"291340 Igaporã";-;1;1
"291345 Igrapiúna";1;9;10
"291350 Iguaí";-;5;5
"291360 Ilhéus";1;7;8
"291390 Ipiaú";1;3;4
"291440 Iraquara";1;3;4
"291465 Itabela";4;-;4
"291480 Itabuna";-;2;2
"291490 Itacaré";2;17;19
"291500 Itaeté";1;-;1
"291510 Itagi";-;2;2
"291520 Itagibá";-;1;1
"291530 Itagimirim";-;1;1
"291540 Itaju do Colônia";-;1;1
"291550 Itajuípe";-;10;10
"291560 Itamaraju";1;2;3
"291570 Itamari";11;-;11
"291580 Itambé";-;3;3
"291630 Itapebi";-;1;1
"291640 Itapetinga";1;2;3
"291660 Itapitanga";1;-;1
"291680 Itarantim";1;1;2
"291710 Itororó";-;1;1
"291720 Ituaçu";1;3;4
"291730 Ituberá";2;17;19
"291735 Jaborandi";4;1;5
"291740 Jacaraci";4;-;4
"291750 Jacobina";5;8;13
"291760 Jaguaquara";3;8;11
"291770 Jaguarari";-;2;2
"291800 Jequié";1;8;9
"291820 Jiquiriçá";6;48;54
"291830 Jitaúna";7;1;8
"291845 Jucuruçu";-;1;1
"291850 Jussara";1;1;2
"291880 Laje";17;3;20
"291900 Lajedinho";5;1;6
"291920 Lauro de Freitas";-;1;1
"291930 Lençóis";17;31;48
"291940 Licínio de Almeida";1;-;1
