Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2021
"Município Resid";"Ignorado";"Masculino";"Feminino";"Total"
"290010 Abaíra";-;-;1;1
"290020 Abaré";-;-;1;1
"290070 Alagoinhas";-;1;-;1
"290090 Almadina";-;-;2;2
"290100 Amargosa";-;4;4;8
"290120 Anagé";-;1;-;1
"290130 Andaraí";-;3;-;3
"290140 Angical";-;-;1;1
"290180 Antônio Gonçalves";-;2;3;5
"290190 Aporá";-;-;1;1
"290195 Apuarema";-;2;1;3
"290205 Araças";-;-;1;1
"290200 Aracatu";-;1;-;1
"290210 Araci";-;-;1;1
"290240 Aurelino Leal";-;-;1;1
"290250 Baianópolis";-;1;-;1
"290270 Barra";-;1;-;1
"290280 Barra da Estiva";-;14;17;31
"290290 Barra do Choça";-;2;1;3
"290310 Barra do Rocha";-;1;-;1
"290320 Barreiras";-;8;1;9
"290330 Barro Preto";-;-;2;2
"290340 Belmonte";-;2;-;2
"290370 Boa Nova";-;1;-;1
"290390 Bom Jesus da Lapa";-;4;1;5
"290400 Boninal";-;1;-;1
"290405 Bonito";-;-;1;1
"290470 Buerarema";-;10;5;15
"290480 Caatiba";-;-;2;2
"290510 Caém";-;5;2;7
"290515 Caetanos";-;-;1;1
"290520 Caetité";-;3;-;3
"290560 Camacan";-;4;2;6
"290570 Camaçari";-;-;1;1
"290580 Camamu";-;12;14;26
"290600 Campo Formoso";-;3;2;5
"290610 Canápolis";-;1;-;1
"290630 Canavieiras";-;2;1;3
"290670 Cândido Sales";-;3;1;4
"290689 Caraíbas";-;1;-;1
"290700 Cardeal da Silva";-;1;-;1
"290710 Carinhanha";-;-;2;2
"290740 Catolândia";-;1;-;1
"290780 Cícero Dantas";-;-;1;1
"290790 Cipó";-;2;-;2
"290800 Coaraci";-;2;1;3
"290810 Cocos";-;2;8;10
"290830 Conceição do Almeida";-;1;-;1
"290840 Conceição do Coité";-;-;1;1
"290870 Condeúba";-;4;-;4
"290880 Contendas do Sincorá";-;1;2;3
"290890 Coração de Maria";-;-;1;1
"290900 Cordeiros";-;-;1;1
"290910 Coribe";-;12;2;14
"290930 Correntina";-;16;8;24
"290940 Cotegipe";-;-;1;1
"290950 Cravolândia";-;2;1;3
"290960 Crisópolis";-;1;-;1
"291000 Dário Meira";-;4;2;6
"291020 Dom Macedo Costa";-;1;1;2
"291050 Entre Rios";-;1;-;1
"290050 Érico Cardoso";-;-;1;1
"291072 Eunápolis";-;2;3;5
"291075 Fátima";-;1;-;1
"291077 Feira da Mata";-;2;4;6
"291080 Feira de Santana";-;1;-;1
"291090 Firmino Alves";-;1;1;2
"291110 Formosa do Rio Preto";-;3;-;3
"291120 Gandu";-;21;15;36
"291170 Guanambi";-;-;1;1
"291180 Guaratinga";-;3;-;3
"291200 Ibiassucê";-;-;1;1
"291210 Ibicaraí";-;1;-;1
"291220 Ibicoara";-;5;5;10
"291230 Ibicuí";-;1;2;3
"291270 Ibirapitanga";-;7;5;12
"291290 Ibirataia";-;6;4;10
"291340 Igaporã";-;1;-;1
"291345 Igrapiúna";-;8;2;10
"291350 Iguaí";-;3;2;5
"291360 Ilhéus";-;5;3;8
"291390 Ipiaú";-;1;3;4
"291440 Iraquara";-;2;2;4
"291465 Itabela";-;1;3;4
"291480 Itabuna";-;2;-;2
"291490 Itacaré";-;11;8;19
"291500 Itaeté";-;1;-;1
"291510 Itagi";-;2;-;2
"291520 Itagibá";-;-;1;1
"291530 Itagimirim";-;1;-;1
"291540 Itaju do Colônia";-;1;-;1
"291550 Itajuípe";-;3;7;10
"291560 Itamaraju";-;3;-;3
"291570 Itamari";-;3;8;11
"291580 Itambé";-;2;1;3
"291630 Itapebi";-;1;-;1
"291640 Itapetinga";-;2;1;3
"291660 Itapitanga";-;-;1;1
"291680 Itarantim";-;2;-;2
"291710 Itororó";-;-;1;1
"291720 Ituaçu";-;1;3;4
"291730 Ituberá";-;5;14;19
"291735 Jaborandi";-;1;4;5
"291740 Jacaraci";-;4;-;4
"291750 Jacobina";-;8;5;13
