Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Tipo de entrada
Período:2021
"Município Resid";"Ign/Branco";"Caso novo";"Recidiva";"Transferência";"Total"
"290010 Abaíra";1;-;-;-;1
"290020 Abaré";-;1;-;-;1
"290070 Alagoinhas";-;1;-;-;1
"290090 Almadina";-;2;-;-;2
"290100 Amargosa";-;8;-;-;8
"290120 Anagé";-;-;1;-;1
"290130 Andaraí";-;3;-;-;3
"290140 Angical";-;1;-;-;1
"290180 Antônio Gonçalves";-;4;1;-;5
"290190 Aporá";1;-;-;-;1
"290195 Apuarema";-;2;1;-;3
"290205 Araças";-;-;-;1;1
"290200 Aracatu";-;1;-;-;1
"290210 Araci";-;1;-;-;1
"290240 Aurelino Leal";-;1;-;-;1
"290250 Baianópolis";-;1;-;-;1
"290270 Barra";-;1;-;-;1
"290280 Barra da Estiva";-;29;2;-;31
"290290 Barra do Choça";-;2;1;-;3
"290310 Barra do Rocha";-;1;-;-;1
"290320 Barreiras";-;9;-;-;9
"290330 Barro Preto";2;-;-;-;2
"290340 Belmonte";-;2;-;-;2
"290370 Boa Nova";-;1;-;-;1
"290390 Bom Jesus da Lapa";-;4;1;-;5
"290400 Boninal";-;1;-;-;1
"290405 Bonito";-;1;-;-;1
"290470 Buerarema";1;13;1;-;15
"290480 Caatiba";-;1;1;-;2
"290510 Caém";-;7;-;-;7
"290515 Caetanos";-;1;-;-;1
"290520 Caetité";-;3;-;-;3
"290560 Camacan";-;6;-;-;6
"290570 Camaçari";-;1;-;-;1
"290580 Camamu";-;22;4;-;26
"290600 Campo Formoso";-;4;1;-;5
"290610 Canápolis";-;1;-;-;1
"290630 Canavieiras";-;3;-;-;3
"290670 Cândido Sales";-;4;-;-;4
"290689 Caraíbas";-;1;-;-;1
"290700 Cardeal da Silva";1;-;-;-;1
"290710 Carinhanha";-;2;-;-;2
"290740 Catolândia";-;1;-;-;1
"290780 Cícero Dantas";-;1;-;-;1
"290790 Cipó";-;2;-;-;2
"290800 Coaraci";-;3;-;-;3
"290810 Cocos";-;9;1;-;10
"290830 Conceição do Almeida";1;-;-;-;1
"290840 Conceição do Coité";-;-;1;-;1
"290870 Condeúba";-;3;1;-;4
"290880 Contendas do Sincorá";-;3;-;-;3
"290890 Coração de Maria";-;1;-;-;1
"290900 Cordeiros";-;1;-;-;1
"290910 Coribe";-;14;-;-;14
"290930 Correntina";-;23;1;-;24
"290940 Cotegipe";-;1;-;-;1
"290950 Cravolândia";-;2;1;-;3
"290960 Crisópolis";-;1;-;-;1
"291000 Dário Meira";-;6;-;-;6
"291020 Dom Macedo Costa";-;2;-;-;2
"291050 Entre Rios";-;-;1;-;1
"290050 Érico Cardoso";-;1;-;-;1
"291072 Eunápolis";-;5;-;-;5
"291075 Fátima";1;-;-;-;1
"291077 Feira da Mata";-;6;-;-;6
"291080 Feira de Santana";-;1;-;-;1
"291090 Firmino Alves";-;1;1;-;2
"291110 Formosa do Rio Preto";-;3;-;-;3
"291120 Gandu";-;34;1;1;36
"291170 Guanambi";-;1;-;-;1
"291180 Guaratinga";-;3;-;-;3
"291200 Ibiassucê";-;1;-;-;1
"291210 Ibicaraí";-;1;-;-;1
"291220 Ibicoara";-;9;1;-;10
"291230 Ibicuí";-;3;-;-;3
"291270 Ibirapitanga";1;9;2;-;12
"291290 Ibirataia";-;9;1;-;10
"291340 Igaporã";-;1;-;-;1
"291345 Igrapiúna";-;10;-;-;10
"291350 Iguaí";-;3;2;-;5
"291360 Ilhéus";-;8;-;-;8
"291390 Ipiaú";-;4;-;-;4
"291440 Iraquara";-;4;-;-;4
"291465 Itabela";-;2;2;-;4
"291480 Itabuna";-;2;-;-;2
"291490 Itacaré";2;16;-;1;19
"291500 Itaeté";-;1;-;-;1
"291510 Itagi";-;-;2;-;2
"291520 Itagibá";-;-;1;-;1
"291530 Itagimirim";-;1;-;-;1
"291540 Itaju do Colônia";1;-;-;-;1
"291550 Itajuípe";-;9;-;1;10
"291560 Itamaraju";-;3;-;-;3
"291570 Itamari";-;9;2;-;11
