Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2021
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"290010 Abaíra";-;-;-;1;1
"290020 Abaré";-;1;-;-;1
"290070 Alagoinhas";-;-;1;-;1
"290090 Almadina";1;-;-;1;2
"290100 Amargosa";-;2;2;4;8
"290120 Anagé";-;1;-;-;1
"290130 Andaraí";2;-;-;1;3
"290140 Angical";-;-;-;1;1
"290180 Antônio Gonçalves";2;1;2;-;5
"290190 Aporá";-;-;-;1;1
"290195 Apuarema";2;-;1;-;3
"290205 Araças";-;1;-;-;1
"290200 Aracatu";1;-;-;-;1
"290210 Araci";-;1;-;-;1
"290240 Aurelino Leal";-;-;-;1;1
"290250 Baianópolis";-;-;-;1;1
"290270 Barra";-;-;1;-;1
"290280 Barra da Estiva";10;4;9;8;31
"290290 Barra do Choça";-;-;1;2;3
"290310 Barra do Rocha";-;-;1;-;1
"290320 Barreiras";1;5;-;3;9
"290330 Barro Preto";1;-;1;-;2
"290340 Belmonte";2;-;-;-;2
"290370 Boa Nova";-;-;-;1;1
"290390 Bom Jesus da Lapa";-;3;1;1;5
"290400 Boninal";1;-;-;-;1
"290405 Bonito";-;1;-;-;1
"290470 Buerarema";4;3;2;6;15
"290480 Caatiba";1;1;-;-;2
"290510 Caém";3;3;1;-;7
"290515 Caetanos";1;-;-;-;1
"290520 Caetité";2;-;-;1;3
"290560 Camacan";2;1;3;-;6
"290570 Camaçari";1;-;-;-;1
"290580 Camamu";5;5;9;7;26
"290600 Campo Formoso";2;-;2;1;5
"290610 Canápolis";-;-;1;-;1
"290630 Canavieiras";-;-;1;2;3
"290670 Cândido Sales";3;1;-;-;4
"290689 Caraíbas";1;-;-;-;1
"290700 Cardeal da Silva";-;-;1;-;1
"290710 Carinhanha";-;1;1;-;2
"290740 Catolândia";-;-;1;-;1
"290780 Cícero Dantas";-;1;-;-;1
"290790 Cipó";-;-;2;-;2
"290800 Coaraci";-;1;-;2;3
"290810 Cocos";5;3;-;2;10
"290830 Conceição do Almeida";-;-;1;-;1
"290840 Conceição do Coité";-;1;-;-;1
"290870 Condeúba";3;-;-;1;4
"290880 Contendas do Sincorá";-;-;2;1;3
"290890 Coração de Maria";-;1;-;-;1
"290900 Cordeiros";-;-;1;-;1
"290910 Coribe";5;4;1;4;14
"290930 Correntina";17;1;-;6;24
"290940 Cotegipe";-;-;1;-;1
"290950 Cravolândia";-;2;1;-;3
"290960 Crisópolis";-;1;-;-;1
"291000 Dário Meira";1;-;1;4;6
"291020 Dom Macedo Costa";1;-;-;1;2
"291050 Entre Rios";-;-;-;1;1
"290050 Érico Cardoso";-;1;-;-;1
"291072 Eunápolis";1;1;3;-;5
"291075 Fátima";-;-;1;-;1
"291077 Feira da Mata";1;2;2;1;6
"291080 Feira de Santana";-;-;-;1;1
"291090 Firmino Alves";-;1;1;-;2
"291110 Formosa do Rio Preto";1;-;1;1;3
"291120 Gandu";7;14;10;5;36
"291170 Guanambi";1;-;-;-;1
"291180 Guaratinga";-;-;3;-;3
"291200 Ibiassucê";1;-;-;-;1
"291210 Ibicaraí";-;1;-;-;1
"291220 Ibicoara";5;-;3;2;10
"291230 Ibicuí";2;1;-;-;3
"291270 Ibirapitanga";-;4;5;3;12
"291290 Ibirataia";1;1;4;4;10
"291340 Igaporã";-;1;-;-;1
"291345 Igrapiúna";-;2;5;3;10
"291350 Iguaí";3;-;-;2;5
"291360 Ilhéus";-;3;2;3;8
"291390 Ipiaú";-;2;1;1;4
"291440 Iraquara";1;2;1;-;4
"291465 Itabela";2;2;-;-;4
"291480 Itabuna";1;-;-;1;2
"291490 Itacaré";8;3;6;2;19
"291500 Itaeté";-;1;-;-;1
"291510 Itagi";-;2;-;-;2
"291520 Itagibá";1;-;-;-;1
"291530 Itagimirim";-;1;-;-;1
"291540 Itaju do Colônia";-;-;1;-;1
"291550 Itajuípe";4;-;2;4;10
"291560 Itamaraju";1;-;1;1;3
"291570 Itamari";-;3;7;1;11
