Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Escolaridade
Período:2023
"Município Resid";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"290030 Acajutiba";2;-;-;-;-;-;1;-;-;-;-;3
"290070 Alagoinhas";-;-;2;-;-;-;-;1;-;-;-;3
"290090 Almadina";1;-;-;-;-;-;-;-;-;-;-;1
"290100 Amargosa";4;2;6;-;1;1;-;3;-;-;1;18
"290110 Amélia Rodrigues";1;-;-;-;-;-;-;-;-;-;-;1
"290130 Andaraí";1;-;-;-;-;-;-;-;-;-;-;1
"290180 Antônio Gonçalves";1;-;-;-;-;-;-;-;-;-;-;1
"290195 Apuarema";3;-;-;-;-;-;-;-;-;-;-;3
"290205 Araças";1;-;-;-;1;-;-;2;-;-;-;4
"290250 Baianópolis";1;-;-;-;-;-;-;-;-;-;-;1
"290280 Barra da Estiva";4;-;3;1;1;-;-;1;-;-;1;11
"290290 Barra do Choça";3;-;-;-;1;2;-;-;-;-;-;6
"290320 Barreiras";-;1;1;1;-;-;-;2;-;-;-;5
"290323 Barro Alto";1;-;-;-;-;-;-;-;-;-;-;1
"290330 Barro Preto";-;-;-;-;-;1;-;-;-;-;-;1
"290327 Barrocas";1;-;-;-;-;-;-;-;-;-;-;1
"290360 Biritinga";1;-;-;-;-;-;-;-;-;-;-;1
"290370 Boa Nova";1;-;-;-;-;-;-;-;-;-;-;1
"290380 Boa Vista do Tupim";-;1;-;-;-;-;-;-;-;-;-;1
"290395 Bom Jesus da Serra";-;-;2;-;1;1;-;-;-;-;-;4
"290405 Bonito";1;-;-;-;-;-;-;-;-;-;-;1
"290410 Boquira";-;1;-;-;-;-;-;-;-;-;-;1
"290420 Botuporã";-;-;-;-;1;-;-;-;-;-;-;1
"290440 Brejolândia";-;-;-;1;-;1;-;-;-;-;-;2
"290450 Brotas de Macaúbas";1;-;-;-;-;-;-;-;-;-;-;1
"290470 Buerarema";1;-;7;-;-;-;-;1;-;-;-;9
"290510 Caém";10;-;1;-;3;1;2;1;-;-;-;18
"290515 Caetanos";2;-;-;-;-;-;-;-;-;-;-;2
"290520 Caetité";2;-;-;-;-;-;-;-;-;-;-;2
"290540 Cairu";-;-;-;-;-;-;-;1;-;-;-;1
"290560 Camacan";-;-;1;-;-;-;-;-;-;-;-;1
"290570 Camaçari";1;-;-;-;-;-;-;1;-;-;-;2
"290580 Camamu";4;1;1;-;3;-;-;2;-;-;-;11
"290600 Campo Formoso";1;1;-;1;-;-;-;1;-;-;-;4
"290630 Canavieiras";-;-;1;-;-;-;-;1;-;-;-;2
"290670 Cândido Sales";-;-;1;-;-;-;-;-;-;-;-;1
