Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Mes Diagnóstico
Período:2023
"Município Resid";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"290030 Acajutiba";-;2;-;-;1;-;-;-;-;-;-;-;3
"290070 Alagoinhas";1;-;-;-;-;-;-;1;1;-;-;-;3
"290090 Almadina";-;-;-;-;-;-;-;-;-;-;-;1;1
"290100 Amargosa";-;1;4;4;1;-;1;2;2;2;-;1;18
"290110 Amélia Rodrigues";-;-;-;1;-;-;-;-;-;-;-;-;1
"290130 Andaraí";-;-;-;-;-;-;-;-;-;-;-;1;1
"290180 Antônio Gonçalves";1;-;-;-;-;-;-;-;-;-;-;-;1
"290195 Apuarema";-;-;-;-;-;1;-;-;-;2;-;-;3
"290205 Araças";-;-;-;2;1;-;-;-;-;-;1;-;4
"290250 Baianópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"290280 Barra da Estiva";1;-;1;2;-;1;-;1;1;2;2;-;11
"290290 Barra do Choça";-;2;-;2;-;-;-;1;-;-;1;-;6
"290320 Barreiras";1;-;1;-;-;1;1;-;1;-;-;-;5
"290323 Barro Alto";-;-;-;-;-;-;-;-;-;-;1;-;1
"290330 Barro Preto";-;-;-;-;1;-;-;-;-;-;-;-;1
"290327 Barrocas";1;-;-;-;-;-;-;-;-;-;-;-;1
"290360 Biritinga";-;-;-;-;-;-;1;-;-;-;-;-;1
"290370 Boa Nova";1;-;-;-;-;-;-;-;-;-;-;-;1
"290380 Boa Vista do Tupim";1;-;-;-;-;-;-;-;-;-;-;-;1
"290395 Bom Jesus da Serra";-;-;-;-;-;3;1;-;-;-;-;-;4
"290405 Bonito";-;-;-;1;-;-;-;-;-;-;-;-;1
"290410 Boquira";-;1;-;-;-;-;-;-;-;-;-;-;1
"290420 Botuporã";-;-;-;-;-;-;-;-;-;-;1;-;1
"290440 Brejolândia";-;-;-;-;-;1;1;-;-;-;-;-;2
"290450 Brotas de Macaúbas";-;-;-;-;-;-;-;1;-;-;-;-;1
"290470 Buerarema";3;1;-;2;-;-;-;-;-;3;-;-;9
"290510 Caém";2;-;2;-;-;-;-;-;2;1;3;8;18
"290515 Caetanos";-;-;-;-;-;-;-;-;-;1;1;-;2
"290520 Caetité";-;-;-;-;-;1;-;1;-;-;-;-;2
"290540 Cairu";-;-;-;-;-;-;1;-;-;-;-;-;1
"290560 Camacan";-;-;-;-;-;-;1;-;-;-;-;-;1
"290570 Camaçari";-;-;-;-;-;-;-;-;2;-;-;-;2
"290580 Camamu";1;1;-;-;1;1;1;3;1;1;1;-;11
"290600 Campo Formoso";-;-;-;-;1;2;-;-;-;1;-;-;4
"290630 Canavieiras";-;-;-;-;1;-;-;-;1;-;-;-;2
"290670 Cândido Sales";-;-;-;-;-;-;-;-;-;-;1;-;1
"290680 Cansanção";-;-;-;1;-;-;-;-;-;-;-;-;1
"290687 Capim Grosso";-;-;-;-;-;-;-;1;-;-;-;-;1
"290710 Carinhanha";-;1;-;-;-;-;-;-;-;-;-;-;1
"290730 Castro Alves";1;-;-;-;-;-;-;1;-;-;-;-;2
"290740 Catolândia";-;-;-;-;1;-;-;-;-;-;-;-;1
"290750 Catu";-;-;-;-;-;-;1;-;-;-;1;-;2
"290800 Coaraci";1;2;1;-;-;-;1;-;-;1;-;-;6
"290810 Cocos";1;-;-;1;1;4;2;2;1;3;4;-;19
"290870 Condeúba";3;-;5;1;-;-;-;-;-;-;1;-;10
"290890 Coração de Maria";1;-;-;-;-;-;-;-;-;-;-;-;1
"290900 Cordeiros";-;1;-;-;-;-;-;-;-;-;1;-;2
"290910 Coribe";1;-;1;-;2;1;-;1;1;1;-;-;8
"290930 Correntina";-;1;-;-;-;-;2;1;-;-;-;-;4
"290940 Cotegipe";1;-;-;-;-;-;-;-;-;-;-;1;2
"290960 Crisópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"291000 Dário Meira";-;-;-;1;-;-;-;-;-;-;-;1;2
"291030 Elísio Medrado";-;-;-;-;-;1;-;-;-;-;-;-;1
"291040 Encruzilhada";-;-;1;1;-;-;-;-;1;-;-;1;4
"291060 Esplanada";-;-;-;-;-;-;-;-;-;1;-;-;1
"291072 Eunápolis";2;2;1;-;-;-;-;-;-;1;1;1;8
"291080 Feira de Santana";-;-;-;-;1;-;-;-;-;-;-;1;2
"291085 Filadélfia";-;-;-;-;-;1;-;-;-;-;-;-;1
"291090 Firmino Alves";1;-;-;-;-;-;-;-;-;-;-;-;1
"291110 Formosa do Rio Preto";-;-;-;-;1;-;-;-;-;1;-;1;3
"291120 Gandu";3;1;1;1;1;1;1;1;1;-;2;1;14
