Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano Diagnóstico
Período:2024
"Município Resid";"2021";"2022";"2023";"2024";"Total"
"290090 Almadina";-;-;-;4;4
"290100 Amargosa";-;-;2;2;4
"290130 Andaraí";-;-;-;1;1
"290140 Angical";-;-;-;1;1
"290195 Apuarema";-;-;-;2;2
"290205 Araças";-;-;-;6;6
"290210 Araci";-;-;-;1;1
"290225 Arataca";-;-;-;1;1
"290280 Barra da Estiva";-;-;-;4;4
"290290 Barra do Choça";-;-;-;9;9
"290300 Barra do Mendes";-;-;1;-;1
"290310 Barra do Rocha";-;-;-;1;1
"290320 Barreiras";-;-;-;2;2
"290330 Barro Preto";-;-;-;1;1
"290327 Barrocas";-;-;-;1;1
"290370 Boa Nova";-;-;-;2;2
"290390 Bom Jesus da Lapa";-;-;-;1;1
"290395 Bom Jesus da Serra";-;-;1;1;2
"290400 Boninal";-;-;-;1;1
"290405 Bonito";-;-;1;1;2
"290420 Botuporã";-;-;-;1;1
"290430 Brejões";-;-;-;1;1
"290450 Brotas de Macaúbas";-;-;-;1;1
"290460 Brumado";-;-;-;2;2
"290470 Buerarema";-;-;-;6;6
"290490 Cachoeira";-;-;-;1;1
"290510 Caém";-;-;1;2;3
"290515 Caetanos";-;-;1;-;1
"290520 Caetité";-;-;-;1;1
"290530 Cafarnaum";-;-;-;2;2
"290560 Camacan";-;-;-;4;4
"290570 Camaçari";-;-;-;1;1
"290580 Camamu";-;-;-;4;4
"290600 Campo Formoso";-;-;-;2;2
"290610 Canápolis";-;-;-;1;1
"290680 Cansanção";-;-;-;2;2
"290687 Capim Grosso";-;-;-;1;1
"290689 Caraíbas";-;-;1;-;1
"290690 Caravelas";-;-;-;2;2
"290700 Cardeal da Silva";-;-;-;1;1
"290750 Catu";-;-;-;1;1
"290800 Coaraci";-;-;-;5;5
"290810 Cocos";-;-;-;8;8
"290860 Conde";-;-;-;1;1
"290910 Coribe";-;-;1;12;13
"290930 Correntina";-;-;-;1;1
"290970 Cristópolis";-;-;-;1;1
"291000 Dário Meira";-;-;1;4;5
"291010 Dom Basílio";-;-;-;1;1
"291040 Encruzilhada";-;-;-;3;3
"291060 Esplanada";-;-;-;2;2
"291072 Eunápolis";-;-;-;5;5
"291077 Feira da Mata";-;-;-;1;1
"291100 Floresta Azul";-;-;-;2;2
"291110 Formosa do Rio Preto";-;-;-;2;2
"291120 Gandu";-;-;-;10;10
"291150 Gongogi";-;-;-;1;1
"291160 Governador Mangabeira";-;-;-;1;1
"291170 Guanambi";-;-;-;2;2
"291180 Guaratinga";-;-;-;4;4
"291200 Ibiassucê";-;-;-;1;1
"291210 Ibicaraí";-;-;-;1;1
"291220 Ibicoara";-;-;-;15;15
"291230 Ibicuí";-;-;-;3;3
"291270 Ibirapitanga";-;-;-;3;3
"291290 Ibirataia";-;-;1;2;3
"291300 Ibitiara";-;-;1;-;1
"291345 Igrapiúna";-;-;-;2;2
"291350 Iguaí";-;-;-;10;10
"291360 Ilhéus";-;-;-;3;3
"291370 Inhambupe";-;-;-;3;3
"291390 Ipiaú";-;-;-;4;4
"291420 Irajuba";-;-;-;2;2
"291430 Iramaia";-;-;-;1;1
"291440 Iraquara";-;-;-;3;3
"291450 Irará";-;-;-;1;1
"291460 Irecê";-;-;-;3;3
"291480 Itabuna";-;1;-;-;1
"291490 Itacaré";-;-;-;1;1
"291510 Itagi";-;-;-;1;1
"291520 Itagibá";-;-;-;2;2
"291550 Itajuípe";-;-;-;3;3
"291560 Itamaraju";-;-;-;2;2
"291570 Itamari";-;-;-;8;8
"291580 Itambé";-;-;1;1;2
"291630 Itapebi";-;-;-;1;1
"291640 Itapetinga";-;-;-;1;1
"291670 Itaquara";-;-;-;2;2
"291720 Ituaçu";-;-;-;3;3
"291730 Ituberá";-;-;-;7;7
"291740 Jacaraci";-;-;-;1;1
"291750 Jacobina";-;-;-;1;1
"291760 Jaguaquara";-;-;-;4;4
"291770 Jaguarari";-;-;-;8;8
"291800 Jequié";-;-;-;6;6
"291820 Jiquiriçá";-;-;-;5;5
"291830 Jitaúna";-;-;-;2;2
"291835 João Dourado";-;-;-;1;1
"291845 Jucuruçu";-;-;-;1;1
"291870 Lafaiete Coutinho";-;-;-;1;1
"291880 Laje";-;-;-;1;1
"291890 Lajedão";-;1;-;-;1
"291900 Lajedinho";-;-;-;1;1
"291930 Lençóis";-;-;-;2;2
"291970 Macarani";-;-;-;1;1
"292020 Malhada";-;-;-;1;1
"292050 Maracás";-;-;-;1;1
"292070 Maraú";-;-;-;9;9
"292090 Mascote";-;-;-;2;2
"292100 Mata de São João";-;-;-;1;1
"292120 Miguel Calmon";-;-;-;3;3
"292170 Morro do Chapéu";-;-;-;1;1
"292180 Mortugaba";-;-;-;1;1
"292240 Mutuípe";-;-;1;35;36
"292260 Nilo Peçanha";-;-;-;7;7
"292270 Nova Canaã";-;-;2;4;6
"292275 Nova Ibiá";-;-;1;1;2
"292285 Nova Redenção";-;-;-;2;2
"292290 Nova Soure";-;-;-;1;1
"292350 Palmeiras";-;-;-;24;24
"292430 Piatã";-;-;-;1;1
"292450 Pindaí";-;-;-;1;1
"292460 Pindobaçu";-;-;-;6;6
"292467 Piraí do Norte";-;-;-;5;5
"292510 Poções";-;-;-;1;1
"292530 Porto Seguro";-;-;1;19;20
"292550 Prado";-;-;-;2;2
"292575 Presidente Tancredo Neves";-;-;-;2;2
"292670 Rio de Contas";-;1;-;-;1
"292740 Salvador";1;-;1;5;7
"292770 Santa Cruz Cabrália";-;-;-;4;4
"292790 Santa Inês";-;-;-;2;2
"292805 Santa Luzia";-;-;-;1;1
"292810 Santa Maria da Vitória";-;-;-;7;7
"292820 Santana";-;-;-;1;1
"292860 Santo Amaro";-;-;-;5;5
"292870 Santo Antônio de Jesus";-;-;1;-;1
"292890 São Desidério";-;-;-;1;1
"292905 São Félix do Coribe";-;-;-;6;6
"292930 São Gonçalo dos Campos";-;-;-;1;1
"292935 São José da Vitória";-;-;-;5;5
"292980 Saúde";-;-;-;4;4
"292990 Seabra";-;-;1;5;6
"293010 Senhor do Bonfim";-;-;-;10;10
"293015 Serra do Ramalho";-;-;-;1;1
"293030 Serra Dourada";-;-;-;2;2
"293080 Souto Soares";-;-;-;2;2
"293090 Tabocas do Brejo Velho";-;-;-;2;2
"293100 Tanhaçu";-;-;-;2;2
"293105 Tanque Novo";-;-;-;1;1
"293120 Taperoá";-;-;-;6;6
"293135 Teixeira de Freitas";-;-;-;3;3
"293160 Teolândia";-;-;-;2;2
"293180 Tremedal";-;-;-;2;2
"293200 Uauá";-;-;-;1;1
"293210 Ubaíra";-;-;1;2;3
"293220 Ubaitaba";-;-;-;2;2
"293230 Ubatã";-;-;-;1;1
"293240 Uibaí";-;-;-;1;1
"293250 Una";-;-;-;2;2
"293260 Urandi";-;-;-;1;1
"293270 Uruçuca";-;-;-;2;2
"293280 Utinga";-;-;-;3;3
"293290 Valença";-;-;-;12;12
"293305 Várzea da Roça";-;-;-;1;1
"293310 Várzea do Poço";-;-;-;1;1
"293320 Vera Cruz";-;-;-;1;1
"293330 Vitória da Conquista";-;-;-;3;3
"293340 Wagner";-;-;1;4;5
"293345 Wanderley";-;-;-;4;4
"293350 Wenceslau Guimarães";-;-;-;9;9
"293360 Xique-Xique";-;-;1;-;1
"Total";1;3;24;528;556
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
