Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano da Notificação
Período:2014-2024
"Município Resid";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290010 Abaíra";-;1;-;-;-;-;2;-;2;-;-;5
"290020 Abaré";-;-;-;2;1;-;-;1;3;-;-;7
"290030 Acajutiba";-;-;-;-;1;-;-;-;-;1;-;2
"290035 Adustina";-;-;-;-;-;-;-;-;-;1;-;1
"290040 Água Fria";-;-;1;1;2;1;2;-;-;-;-;7
"290070 Alagoinhas";-;-;1;1;-;2;-;2;2;2;1;11
"290100 Amargosa";-;-;2;-;1;-;-;-;-;-;-;3
"290110 Amélia Rodrigues";-;2;-;-;-;-;-;1;-;-;-;3
"290115 América Dourada";12;21;8;8;3;4;1;2;-;4;2;65
"290120 Anagé";1;1;2;2;2;1;1;-;1;-;-;11
"290130 Andaraí";48;8;16;4;3;2;-;-;-;1;-;82
"290135 Andorinha";2;1;-;-;-;5;3;-;1;-;1;13
"290140 Angical";-;-;-;-;-;-;-;1;-;-;-;1
"290150 Anguera";1;-;-;-;2;1;-;1;1;1;-;7
"290170 Antônio Cardoso";2;-;1;1;2;1;1;-;-;4;1;13
"290180 Antônio Gonçalves";-;-;1;1;-;1;-;-;-;-;-;3
"290190 Aporá";-;-;-;-;-;-;1;-;-;-;1;2
"290195 Apuarema";-;-;-;-;-;-;1;-;-;-;-;1
"290205 Araças";-;-;-;-;-;-;-;-;-;1;-;1
"290200 Aracatu";-;2;2;-;-;-;3;-;-;2;-;9
"290210 Araci";14;5;2;5;6;9;4;7;3;2;3;60
"290220 Aramari";-;-;-;2;1;-;-;-;-;-;-;3
"290230 Aratuípe";-;1;-;-;1;-;1;-;-;-;-;3
"290250 Baianópolis";-;-;1;1;-;-;-;-;-;-;-;2
"290260 Baixa Grande";1;1;-;-;2;-;-;-;-;3;-;7
"290265 Banzaê";-;4;-;-;1;-;-;-;1;-;-;6
"290270 Barra";1;3;4;3;2;1;2;1;2;3;3;25
"290280 Barra da Estiva";1;1;1;4;3;-;-;-;-;-;-;10
"290290 Barra do Choça";-;-;-;-;-;-;1;1;1;-;-;3
"290300 Barra do Mendes";13;12;1;5;2;4;3;2;-;1;4;47
"290310 Barra do Rocha";-;-;-;-;-;-;-;-;1;-;1;2
"290320 Barreiras";11;2;7;5;6;3;4;3;2;1;5;49
"290323 Barro Alto";7;4;5;4;5;4;4;2;1;2;1;39
"290330 Barro Preto";-;-;-;-;-;-;-;1;-;-;-;1
"290327 Barrocas";-;-;-;2;-;3;3;4;1;1;1;15
"290350 Belo Campo";-;2;1;1;-;-;-;-;-;-;-;4
"290360 Biritinga";1;-;1;2;6;4;2;-;-;2;1;19
"290370 Boa Nova";-;2;3;3;-;1;1;1;-;2;-;13
"290380 Boa Vista do Tupim";44;3;2;2;4;2;-;2;1;1;-;61
"290390 Bom Jesus da Lapa";2;8;4;13;16;8;14;12;9;2;-;88
"290395 Bom Jesus da Serra";1;-;-;4;-;1;2;-;-;-;-;8
"290405 Bonito";-;-;-;1;-;1;-;1;-;-;2;5
"290410 Boquira";3;2;-;3;2;3;5;2;4;2;3;29
"290420 Botuporã";2;3;-;5;1;-;3;-;-;1;1;16
"290430 Brejões";-;1;1;-;-;-;1;-;-;-;-;3
"290440 Brejolândia";-;-;2;-;2;1;-;-;-;-;-;5
"290450 Brotas de Macaúbas";2;2;-;1;1;-;-;-;4;2;-;12
"290460 Brumado";11;11;2;1;1;1;2;-;1;4;-;34
"290470 Buerarema";-;-;1;-;-;-;-;-;-;-;-;1
"290475 Buritirama";-;5;1;2;3;4;2;2;3;2;2;26
"290480 Caatiba";-;-;-;-;-;-;-;-;1;-;-;1
"290485 Cabaceiras do Paraguaçu";-;2;-;2;2;2;-;-;-;-;-;8
"290490 Cachoeira";-;1;-;1;1;1;1;-;-;-;-;5
"290500 Caculé";-;1;1;-;1;2;3;1;-;-;1;10
"290510 Caém";2;2;-;-;3;-;-;-;-;1;-;8
"290515 Caetanos";8;4;-;1;-;-;-;-;-;-;-;13
