Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano da Notificação
Período:2017-2024
"Município Resid";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290010 Abaíra";-;-;-;2;-;2;-;-;4
"290020 Abaré";2;1;-;-;1;3;-;-;7
"290030 Acajutiba";-;1;-;-;-;-;1;-;2
"290035 Adustina";-;-;-;-;-;-;1;-;1
"290040 Água Fria";1;2;1;2;-;-;-;-;6
"290070 Alagoinhas";1;-;2;-;2;2;2;1;10
"290100 Amargosa";-;1;-;-;-;-;-;-;1
"290110 Amélia Rodrigues";-;-;-;-;1;-;-;-;1
"290115 América Dourada";8;3;4;1;2;-;4;2;24
"290120 Anagé";2;2;1;1;-;1;-;-;7
"290130 Andaraí";4;3;2;-;-;-;1;-;10
"290135 Andorinha";-;-;5;3;-;1;-;1;10
"290140 Angical";-;-;-;-;1;-;-;-;1
"290150 Anguera";-;2;1;-;1;1;1;-;6
"290170 Antônio Cardoso";1;2;1;1;-;-;4;1;10
"290180 Antônio Gonçalves";1;-;1;-;-;-;-;-;2
"290190 Aporá";-;-;-;1;-;-;-;1;2
"290195 Apuarema";-;-;-;1;-;-;-;-;1
"290205 Araças";-;-;-;-;-;-;1;-;1
"290200 Aracatu";-;-;-;3;-;-;2;-;5
"290210 Araci";5;6;9;4;7;3;2;3;39
"290220 Aramari";2;1;-;-;-;-;-;-;3
"290230 Aratuípe";-;1;-;1;-;-;-;-;2
"290250 Baianópolis";1;-;-;-;-;-;-;-;1
"290260 Baixa Grande";-;2;-;-;-;-;3;-;5
"290265 Banzaê";-;1;-;-;-;1;-;-;2
"290270 Barra";3;2;1;2;1;2;3;3;17
"290280 Barra da Estiva";4;3;-;-;-;-;-;-;7
"290290 Barra do Choça";-;-;-;1;1;1;-;-;3
"290300 Barra do Mendes";5;2;4;3;2;-;1;4;21
"290310 Barra do Rocha";-;-;-;-;-;1;-;1;2
"290320 Barreiras";5;6;3;4;3;2;1;5;29
"290323 Barro Alto";4;5;4;4;2;1;2;1;23
"290330 Barro Preto";-;-;-;-;1;-;-;-;1
"290327 Barrocas";2;-;3;3;4;1;1;1;15
"290350 Belo Campo";1;-;-;-;-;-;-;-;1
"290360 Biritinga";2;6;4;2;-;-;2;1;17
"290370 Boa Nova";3;-;1;1;1;-;2;-;8
"290380 Boa Vista do Tupim";2;4;2;-;2;1;1;-;12
"290390 Bom Jesus da Lapa";13;16;8;14;12;9;2;-;74
"290395 Bom Jesus da Serra";4;-;1;2;-;-;-;-;7
"290405 Bonito";1;-;1;-;1;-;-;2;5
"290410 Boquira";3;2;3;5;2;4;2;3;24
"290420 Botuporã";5;1;-;3;-;-;1;1;11
"290430 Brejões";-;-;-;1;-;-;-;-;1
"290440 Brejolândia";-;2;1;-;-;-;-;-;3
"290450 Brotas de Macaúbas";1;1;-;-;-;4;2;-;8
"290460 Brumado";1;1;1;2;-;1;4;-;10
"290475 Buritirama";2;3;4;2;2;3;2;2;20
"290480 Caatiba";-;-;-;-;-;1;-;-;1
"290485 Cabaceiras do Paraguaçu";2;2;2;-;-;-;-;-;6
"290490 Cachoeira";1;1;1;1;-;-;-;-;4
"290500 Caculé";-;1;2;3;1;-;-;1;8
"290510 Caém";-;3;-;-;-;-;1;-;4
"290515 Caetanos";1;-;-;-;-;-;-;-;1
"290520 Caetité";1;3;3;4;1;4;1;-;17
"290530 Cafarnaum";4;4;2;4;6;-;4;3;27
"290550 Caldeirão Grande";-;1;-;1;-;1;2;-;5
"290570 Camaçari";8;4;3;1;4;4;3;2;29
"290590 Campo Alegre de Lourdes";5;4;1;2;2;6;4;1;25
"290600 Campo Formoso";1;7;2;2;1;4;3;7;27
"290610 Canápolis";4;-;-;1;1;-;-;2;8
"290620 Canarana";7;3;4;-;-;1;-;2;17
"290630 Canavieiras";-;-;1;-;-;-;-;-;1
"290640 Candeal";-;3;3;-;1;-;1;-;8
"290650 Candeias";-;2;2;1;-;-;1;-;6
"290660 Candiba";-;1;-;2;-;2;-;-;5
"290670 Cândido Sales";-;1;-;-;-;-;-;-;1
"290680 Cansanção";-;1;-;-;1;1;-;-;3
"290682 Canudos";-;-;-;-;-;-;-;1;1
"290687 Capim Grosso";-;-;2;1;4;1;-;1;9
"290689 Caraíbas";1;-;-;-;-;-;1;-;2
"290690 Caravelas";-;-;-;-;-;2;-;-;2
"290700 Cardeal da Silva";-;-;-;-;-;-;1;-;1
"290710 Carinhanha";2;11;7;5;2;7;5;1;40
"290720 Casa Nova";3;2;4;1;8;3;3;1;25
"290730 Castro Alves";2;-;1;1;1;3;-;-;8
"290750 Catu";1;-;-;2;-;2;2;-;7
"290755 Caturama";-;-;-;1;-;-;-;1;2
"290760 Central";5;4;7;2;-;5;2;-;25
"290780 Cícero Dantas";1;-;1;1;1;1;-;1;6
"290790 Cipó";-;1;1;4;-;2;1;-;9
"290800 Coaraci";-;-;-;1;-;-;-;-;1
"290810 Cocos";11;5;2;1;1;3;1;-;24
"290820 Conceição da Feira";-;1;-;1;-;-;-;1;3
"290830 Conceição do Almeida";-;-;1;2;-;-;-;-;3
"290840 Conceição do Coité";3;4;2;-;1;-;-;-;10
"290850 Conceição do Jacuípe";1;-;2;1;1;1;-;-;6
"290860 Conde";4;5;3;1;1;-;2;-;16
"290870 Condeúba";2;-;-;1;-;-;-;-;3
"290880 Contendas do Sincorá";2;-;1;-;-;-;3;-;6
"290890 Coração de Maria";-;-;1;1;-;-;1;3;6
"290900 Cordeiros";-;-;-;-;2;-;-;-;2
"290910 Coribe";2;2;-;1;-;-;-;2;7
"290920 Coronel João Sá";-;-;-;-;1;-;-;-;1
"290930 Correntina";2;-;1;1;2;-;-;1;7
"290940 Cotegipe";-;-;-;1;-;1;1;-;3
"290960 Crisópolis";-;-;-;1;-;-;-;-;1
"290980 Cruz das Almas";-;1;2;-;-;-;-;-;3
"290990 Curaçá";3;3;4;5;5;2;-;2;24
"291000 Dário Meira";-;-;-;-;-;-;-;1;1
"291005 Dias d'Ávila";4;6;8;2;1;2;1;-;24
"291020 Dom Macedo Costa";-;1;-;-;-;-;-;-;1
"291040 Encruzilhada";-;-;-;-;1;1;1;-;3
"291050 Entre Rios";-;-;1;-;1;-;3;-;5
"290050 Érico Cardoso";3;-;1;1;-;1;-;-;6
"291060 Esplanada";1;-;-;-;-;-;2;-;3
"291070 Euclides da Cunha";2;5;2;8;2;1;2;-;22
"291072 Eunápolis";1;3;3;1;1;-;1;-;10
"291075 Fátima";-;-;-;-;3;1;-;-;4
"291077 Feira da Mata";1;1;1;1;1;-;-;-;5
"291080 Feira de Santana";24;69;51;36;13;26;16;3;238
"291085 Filadélfia";2;-;-;-;2;1;1;-;6
"291100 Floresta Azul";-;-;-;-;-;-;1;-;1
"291110 Formosa do Rio Preto";8;3;2;2;1;2;1;-;19
"291130 Gentio do Ouro";1;-;1;2;4;-;-;3;11
"291140 Glória";-;-;-;-;-;-;-;2;2
"291160 Governador Mangabeira";1;1;-;1;-;-;-;-;3
"291165 Guajeru";2;-;-;-;-;1;-;-;3
"291170 Guanambi";15;19;18;14;20;15;3;4;108
"291190 Iaçu";3;1;4;3;1;-;-;-;12
"291200 Ibiassucê";5;1;-;1;-;-;-;-;7
