Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano Inic.Sintomas
Período:2017
"Município Resid";"2012";"2015";"2016";"2017";"Total"
"290020 Abaré";-;-;-;2;2
"290040 Água Fria";-;-;1;-;1
"290070 Alagoinhas";-;-;-;1;1
"290115 América Dourada";-;-;-;8;8
"290120 Anagé";-;-;-;2;2
"290130 Andaraí";-;-;-;4;4
"290170 Antônio Cardoso";-;-;-;1;1
"290180 Antônio Gonçalves";-;-;-;1;1
"290210 Araci";-;-;2;3;5
"290220 Aramari";-;-;-;2;2
"290250 Baianópolis";-;-;-;1;1
"290270 Barra";-;-;1;2;3
"290280 Barra da Estiva";-;-;-;4;4
"290300 Barra do Mendes";-;-;-;5;5
"290320 Barreiras";-;-;-;5;5
"290323 Barro Alto";-;-;-;4;4
"290327 Barrocas";-;-;-;2;2
"290350 Belo Campo";-;-;-;1;1
"290360 Biritinga";-;-;-;2;2
"290370 Boa Nova";-;-;1;2;3
"290380 Boa Vista do Tupim";-;-;-;2;2
"290390 Bom Jesus da Lapa";-;-;1;12;13
"290395 Bom Jesus da Serra";-;-;-;4;4
"290405 Bonito";-;-;-;1;1
"290410 Boquira";-;-;-;3;3
"290420 Botuporã";-;-;-;5;5
"290450 Brotas de Macaúbas";-;-;-;1;1
"290460 Brumado";-;-;-;1;1
"290475 Buritirama";-;-;-;2;2
"290485 Cabaceiras do Paraguaçu";-;-;-;2;2
"290490 Cachoeira";-;-;-;1;1
"290515 Caetanos";-;-;-;1;1
"290520 Caetité";-;-;-;1;1
"290530 Cafarnaum";-;-;-;4;4
"290570 Camaçari";-;-;1;7;8
"290590 Campo Alegre de Lourdes";-;-;-;5;5
"290600 Campo Formoso";-;-;-;1;1
"290610 Canápolis";-;-;1;3;4
"290620 Canarana";-;-;-;7;7
"290689 Caraíbas";-;-;-;1;1
"290710 Carinhanha";-;-;-;2;2
"290720 Casa Nova";-;-;-;3;3
"290730 Castro Alves";-;-;-;2;2
"290750 Catu";-;-;-;1;1
"290760 Central";-;-;1;4;5
"290780 Cícero Dantas";-;-;-;1;1
"290810 Cocos";-;-;-;11;11
"290840 Conceição do Coité";-;-;-;3;3
"290850 Conceição do Jacuípe";-;-;-;1;1
"290860 Conde";-;-;-;4;4
"290870 Condeúba";-;-;-;2;2
"290880 Contendas do Sincorá";-;-;-;2;2
"290910 Coribe";-;-;-;2;2
"290930 Correntina";-;-;-;2;2
"290990 Curaçá";-;-;-;3;3
"291005 Dias d'Ávila";-;-;-;4;4
"290050 Érico Cardoso";-;-;-;3;3
"291060 Esplanada";-;-;1;-;1
"291070 Euclides da Cunha";-;-;-;2;2
"291072 Eunápolis";-;-;-;1;1
"291077 Feira da Mata";-;-;-;1;1
"291080 Feira de Santana";-;-;1;23;24
"291085 Filadélfia";-;-;-;2;2
"291110 Formosa do Rio Preto";-;-;-;8;8
"291130 Gentio do Ouro";-;-;-;1;1
"291160 Governador Mangabeira";-;-;-;1;1
"291165 Guajeru";-;-;1;1;2
"291170 Guanambi";-;-;-;15;15
"291190 Iaçu";-;-;1;2;3
"291200 Ibiassucê";-;-;2;3;5
"291240 Ibipeba";-;-;-;4;4
"291250 Ibipitanga";-;-;-;2;2
"291310 Ibititá";-;-;-;3;3
"291320 Ibotirama";-;-;-;3;3
"291380 Ipecaetá";-;-;-;2;2
"291400 Ipirá";-;-;1;6;7
"291410 Ipupiara";-;-;1;1;2
"291440 Iraquara";-;1;-;4;5
"291450 Irará";-;-;-;1;1
"291460 Irecê";-;-;4;26;30
"291470 Itaberaba";-;-;-;2;2
"291500 Itaeté";-;-;-;1;1
"291510 Itagi";-;-;-;1;1
"291610 Itaparica";-;-;1;-;1
"291650 Itapicuru";-;-;-;1;1
"291660 Itapitanga";-;-;-;1;1
"291670 Itaquara";-;-;1;-;1
"291700 Itiúba";-;-;-;1;1
"291710 Itororó";-;-;-;1;1
"291720 Ituaçu";-;-;-;2;2
"291740 Jacaraci";-;-;-;1;1
"291750 Jacobina";-;-;-;3;3
"291760 Jaguaquara";-;-;-;1;1
"291780 Jaguaripe";-;-;1;-;1
"291800 Jequié";-;1;-;14;15
"291835 João Dourado";-;-;-;4;4
"291840 Juazeiro";1;1;5;16;23
"291850 Jussara";-;-;-;9;9
"291875 Lagoa Real";-;-;-;2;2
"291880 Laje";-;-;-;1;1
"291900 Lajedinho";-;-;-;1;1
"291910 Lamarão";-;-;1;-;1
"291915 Lapão";-;-;-;4;4
"291930 Lençóis";-;-;-;1;1
"291955 Luís Eduardo Magalhães";-;-;1;2;3
"291960 Macajuba";-;-;-;1;1
"291980 Macaúbas";-;-;2;7;9
"291995 Maetinga";-;-;1;1;2
"292020 Malhada";-;-;-;3;3
"292030 Malhada de Pedras";-;-;-;1;1
"292040 Manoel Vitorino";-;-;-;3;3
"292045 Mansidão";-;-;1;-;1
"292050 Maracás";-;-;1;1;2
"292060 Maragogipe";-;-;-;1;1
"292080 Marcionílio Souza";-;-;-;5;5
"292105 Matina";-;-;-;1;1
"292120 Miguel Calmon";-;-;3;13;16
"292145 Mirante";-;-;-;1;1
"292160 Morpará";-;-;-;1;1
"292170 Morro do Chapéu";-;-;1;4;5
"292180 Mortugaba";-;-;-;1;1
"292190 Mucugê";-;-;-;1;1
"292205 Mulungu do Morro";-;-;-;1;1
"292220 Muniz Ferreira";-;-;-;1;1
"292225 Muquém de São Francisco";-;-;-;4;4
"292240 Mutuípe";-;-;-;1;1
"292303 Novo Horizonte";-;-;-;6;6
"292310 Olindina";-;-;-;1;1
"292320 Oliveira dos Brejinhos";-;-;1;2;3
"292340 Palmas de Monte Alto";-;-;-;4;4
"292370 Paratinga";-;-;-;1;1
"292400 Paulo Afonso";-;-;-;3;3
"292430 Piatã";-;-;-;1;1
"292440 Pilão Arcado";-;-;1;-;1
"292450 Pindaí";-;-;-;1;1
"292480 Piritiba";-;-;-;3;3
"292530 Porto Seguro";-;-;-;1;1
"292560 Presidente Dutra";-;-;-;3;3
"292570 Presidente Jânio Quadros";-;-;-;1;1
"292580 Queimadas";-;-;2;3;5
"292595 Rafael Jambeiro";-;-;-;2;2
"292600 Remanso";-;-;1;-;1
"292610 Retirolândia";-;-;-;2;2
"292620 Riachão das Neves";-;-;-;2;2
"292630 Riachão do Jacuípe";-;-;2;-;2
"292640 Riacho de Santana";-;-;-;4;4
"292680 Rio do Antônio";-;-;-;1;1
"292720 Ruy Barbosa";-;-;1;1;2
"292730 Salinas da Margarida";-;-;2;6;8
"292740 Salvador";-;1;3;15;19
"292750 Santa Bárbara";-;-;1;3;4
"292840 Santa Rita de Cássia";-;-;-;6;6
"292850 Santa Teresinha";-;-;1;-;1
"292800 Santaluz";-;-;-;1;1
"292820 Santana";-;-;-;1;1
"292830 Santanópolis";-;-;-;2;2
"292860 Santo Amaro";-;-;1;-;1
"292870 Santo Antônio de Jesus";-;-;-;1;1
"292880 Santo Estêvão";-;-;-;8;8
"292890 São Desidério";-;-;-;2;2
"292905 São Félix do Coribe";-;-;-;8;8
"292925 São Gabriel";-;-;-;18;18
"292930 São Gonçalo dos Campos";-;-;-;1;1
"292950 São Sebastião do Passé";-;-;-;1;1
"292970 Sátiro Dias";-;-;-;2;2
"292975 Saubara";-;-;-;3;3
"292980 Saúde";-;-;-;1;1
"292990 Seabra";-;-;-;1;1
"293000 Sebastião Laranjeiras";-;-;-;1;1
"293020 Sento Sé";-;-;1;4;5
"293015 Serra do Ramalho";-;-;-;2;2
"293050 Serrinha";-;-;-;2;2
"293075 Sítio do Mato";-;-;-;1;1
"293077 Sobradinho";-;-;-;1;1
"293090 Tabocas do Brejo Velho";-;-;-;1;1
"293100 Tanhaçu";-;-;1;3;4
"293105 Tanque Novo";-;-;-;3;3
"293150 Teofilândia";-;-;1;1;2
"293180 Tremedal";-;-;-;7;7
"293190 Tucano";-;-;-;3;3
"293200 Uauá";-;-;1;-;1
"293240 Uibaí";-;-;-;5;5
"293260 Urandi";-;-;-;1;1
"293280 Utinga";-;-;1;-;1
"293290 Valença";-;-;-;1;1
"293320 Vera Cruz";-;-;-;1;1
"293330 Vitória da Conquista";-;-;-;1;1
"293345 Wanderley";-;-;-;1;1
"293360 Xique-Xique";-;-;1;9;10
"Total";1;4;62;569;636
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
