Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2017
"Município Resid";"Masculino";"Feminino";"Total"
"290020 Abaré";1;1;2
"290040 Água Fria";1;-;1
"290070 Alagoinhas";1;-;1
"290115 América Dourada";3;5;8
"290120 Anagé";2;-;2
"290130 Andaraí";3;1;4
"290170 Antônio Cardoso";1;-;1
"290180 Antônio Gonçalves";1;-;1
"290210 Araci";4;1;5
"290220 Aramari";1;1;2
"290250 Baianópolis";1;-;1
"290270 Barra";2;1;3
"290280 Barra da Estiva";4;-;4
"290300 Barra do Mendes";1;4;5
"290320 Barreiras";3;2;5
"290323 Barro Alto";1;3;4
"290327 Barrocas";1;1;2
"290350 Belo Campo";1;-;1
"290360 Biritinga";2;-;2
"290370 Boa Nova";1;2;3
"290380 Boa Vista do Tupim";1;1;2
"290390 Bom Jesus da Lapa";11;2;13
"290395 Bom Jesus da Serra";2;2;4
"290405 Bonito";1;-;1
"290410 Boquira";3;-;3
"290420 Botuporã";4;1;5
"290450 Brotas de Macaúbas";-;1;1
"290460 Brumado";-;1;1
"290475 Buritirama";1;1;2
"290485 Cabaceiras do Paraguaçu";2;-;2
"290490 Cachoeira";1;-;1
"290515 Caetanos";1;-;1
"290520 Caetité";1;-;1
"290530 Cafarnaum";3;1;4
"290570 Camaçari";4;4;8
"290590 Campo Alegre de Lourdes";3;2;5
"290600 Campo Formoso";1;-;1
"290610 Canápolis";1;3;4
"290620 Canarana";5;2;7
"290689 Caraíbas";1;-;1
"290710 Carinhanha";2;-;2
"290720 Casa Nova";2;1;3
"290730 Castro Alves";1;1;2
"290750 Catu";-;1;1
"290760 Central";4;1;5
"290780 Cícero Dantas";1;-;1
"290810 Cocos";3;8;11
"290840 Conceição do Coité";2;1;3
"290850 Conceição do Jacuípe";1;-;1
"290860 Conde";3;1;4
"290870 Condeúba";2;-;2
"290880 Contendas do Sincorá";2;-;2
"290910 Coribe";2;-;2
"290930 Correntina";-;2;2
"290990 Curaçá";3;-;3
"291005 Dias d'Ávila";4;-;4
"290050 Érico Cardoso";2;1;3
"291060 Esplanada";-;1;1
"291070 Euclides da Cunha";1;1;2
"291072 Eunápolis";-;1;1
"291077 Feira da Mata";1;-;1
"291080 Feira de Santana";15;9;24
"291085 Filadélfia";1;1;2
"291110 Formosa do Rio Preto";5;3;8
"291130 Gentio do Ouro";-;1;1
"291160 Governador Mangabeira";1;-;1
"291165 Guajeru";2;-;2
"291170 Guanambi";10;5;15
"291190 Iaçu";1;2;3
"291200 Ibiassucê";3;2;5
"291240 Ibipeba";3;1;4
"291250 Ibipitanga";1;1;2
"291310 Ibititá";1;2;3
"291320 Ibotirama";1;2;3
"291380 Ipecaetá";1;1;2
"291400 Ipirá";6;1;7
"291410 Ipupiara";2;-;2
"291440 Iraquara";1;4;5
"291450 Irará";1;-;1
"291460 Irecê";18;12;30
"291470 Itaberaba";2;-;2
"291500 Itaeté";1;-;1
"291510 Itagi";-;1;1
"291610 Itaparica";1;-;1
"291650 Itapicuru";1;-;1
"291660 Itapitanga";1;-;1
"291670 Itaquara";1;-;1
"291700 Itiúba";-;1;1
"291710 Itororó";1;-;1
"291720 Ituaçu";2;-;2
"291740 Jacaraci";1;-;1
"291750 Jacobina";2;1;3
"291760 Jaguaquara";-;1;1
"291780 Jaguaripe";1;-;1
"291800 Jequié";10;5;15
"291835 João Dourado";1;3;4
"291840 Juazeiro";13;10;23
"291850 Jussara";6;3;9
"291875 Lagoa Real";2;-;2
"291880 Laje";1;-;1
"291900 Lajedinho";1;-;1
"291910 Lamarão";1;-;1
"291915 Lapão";3;1;4
"291930 Lençóis";-;1;1
"291955 Luís Eduardo Magalhães";2;1;3
"291960 Macajuba";-;1;1
"291980 Macaúbas";6;3;9
"291995 Maetinga";2;-;2
"292020 Malhada";2;1;3
"292030 Malhada de Pedras";-;1;1
"292040 Manoel Vitorino";2;1;3
"292045 Mansidão";1;-;1
"292050 Maracás";2;-;2
"292060 Maragogipe";-;1;1
"292080 Marcionílio Souza";4;1;5
"292105 Matina";1;-;1
"292120 Miguel Calmon";5;11;16
"292145 Mirante";-;1;1
"292160 Morpará";-;1;1
"292170 Morro do Chapéu";3;2;5
"292180 Mortugaba";1;-;1
"292190 Mucugê";-;1;1
"292205 Mulungu do Morro";-;1;1
"292220 Muniz Ferreira";1;-;1
"292225 Muquém de São Francisco";3;1;4
"292240 Mutuípe";-;1;1
"292303 Novo Horizonte";6;-;6
"292310 Olindina";1;-;1
"292320 Oliveira dos Brejinhos";3;-;3
"292340 Palmas de Monte Alto";2;2;4
"292370 Paratinga";-;1;1
"292400 Paulo Afonso";2;1;3
"292430 Piatã";-;1;1
"292440 Pilão Arcado";1;-;1
"292450 Pindaí";1;-;1
"292480 Piritiba";3;-;3
"292530 Porto Seguro";1;-;1
"292560 Presidente Dutra";1;2;3
"292570 Presidente Jânio Quadros";1;-;1
