Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Diag. parasit.
Período:2018
"Município Resid";"Ign/Branco";"Positivo";"Negativo";"Não realizado";"Total"
"290020 Abaré";-;-;-;1;1
"290030 Acajutiba";-;-;1;-;1
"290040 Água Fria";-;-;-;2;2
"290100 Amargosa";-;-;-;1;1
"290115 América Dourada";-;-;-;3;3
"290120 Anagé";-;-;-;2;2
"290130 Andaraí";-;1;-;2;3
"290150 Anguera";-;-;-;2;2
"290170 Antônio Cardoso";-;-;-;2;2
"290210 Araci";1;2;1;2;6
"290220 Aramari";-;-;-;1;1
"290230 Aratuípe";-;1;-;-;1
"290260 Baixa Grande";-;-;-;2;2
"290265 Banzaê";-;-;-;1;1
"290270 Barra";-;-;1;1;2
"290280 Barra da Estiva";1;-;1;1;3
"290300 Barra do Mendes";-;-;-;2;2
"290320 Barreiras";-;1;-;5;6
"290323 Barro Alto";-;-;1;4;5
"290360 Biritinga";2;-;-;4;6
"290380 Boa Vista do Tupim";-;1;-;3;4
"290390 Bom Jesus da Lapa";-;7;2;7;16
"290410 Boquira";-;-;-;2;2
"290420 Botuporã";-;-;-;1;1
"290440 Brejolândia";1;-;-;1;2
"290450 Brotas de Macaúbas";-;-;-;1;1
"290460 Brumado";-;1;-;-;1
"290475 Buritirama";-;-;-;3;3
"290485 Cabaceiras do Paraguaçu";-;-;-;2;2
"290490 Cachoeira";-;1;-;-;1
"290500 Caculé";-;-;1;-;1
"290510 Caém";-;-;-;3;3
"290520 Caetité";-;1;-;2;3
"290530 Cafarnaum";-;1;-;3;4
"290550 Caldeirão Grande";-;-;1;-;1
"290570 Camaçari";2;1;-;1;4
"290590 Campo Alegre de Lourdes";-;1;1;2;4
"290600 Campo Formoso";1;1;-;5;7
"290620 Canarana";-;-;1;2;3
"290640 Candeal";-;1;-;2;3
"290650 Candeias";-;1;-;1;2
"290660 Candiba";1;-;-;-;1
"290670 Cândido Sales";-;1;-;-;1
"290680 Cansanção";-;-;-;1;1
"290710 Carinhanha";-;3;1;7;11
"290720 Casa Nova";-;1;-;1;2
"290760 Central";1;1;-;2;4
"290790 Cipó";-;-;-;1;1
"290810 Cocos";1;-;1;3;5
"290820 Conceição da Feira";-;-;-;1;1
"290840 Conceição do Coité";-;2;1;1;4
"290860 Conde";-;-;1;4;5
"290910 Coribe";-;-;-;2;2
"290980 Cruz das Almas";1;-;-;-;1
"290990 Curaçá";-;-;-;3;3
"291005 Dias d'Ávila";2;-;-;4;6
"291020 Dom Macedo Costa";-;-;-;1;1
"291070 Euclides da Cunha";2;1;-;2;5
"291072 Eunápolis";-;-;-;3;3
"291077 Feira da Mata";-;-;-;1;1
"291080 Feira de Santana";-;8;2;59;69
"291110 Formosa do Rio Preto";-;-;-;3;3
"291160 Governador Mangabeira";-;-;-;1;1
"291170 Guanambi";-;4;5;10;19
"291190 Iaçu";-;-;-;1;1
"291200 Ibiassucê";-;-;-;1;1
"291220 Ibicoara";-;1;-;1;2
"291240 Ibipeba";-;-;-;2;2
"291300 Ibitiara";-;-;-;1;1
"291310 Ibititá";-;1;1;4;6
"291320 Ibotirama";1;1;-;8;10
"291330 Ichu";-;-;-;1;1
"291340 Igaporã";1;-;-;-;1
"291370 Inhambupe";-;1;-;-;1
"291380 Ipecaetá";-;-;-;2;2
