Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Macrorregião Ocorr
Período:2018
"Município Resid";"Centro-Leste";"Centro-Norte";"Extremo Sul";"Leste";"Nordeste";"Norte";"Oeste";"Sudoeste";"Sul";"Total"
"290030 Acajutiba";-;-;-;-;1;-;-;-;-;1
"290040 Água Fria";1;-;-;1;-;-;-;-;-;2
"290100 Amargosa";-;-;-;1;-;-;-;-;-;1
"290115 América Dourada";-;3;-;-;-;-;-;-;-;3
"290120 Anagé";-;-;-;-;-;-;-;2;-;2
"290130 Andaraí";1;-;-;2;-;-;-;-;-;3
"290150 Anguera";1;-;-;1;-;-;-;-;-;2
"290170 Antônio Cardoso";2;-;-;-;-;-;-;-;-;2
"290210 Araci";3;-;-;3;-;-;-;-;-;6
"290220 Aramari";-;-;-;-;1;-;-;-;-;1
"290230 Aratuípe";-;-;-;1;-;-;-;-;-;1
"290260 Baixa Grande";1;-;-;1;-;-;-;-;-;2
"290265 Banzaê";1;-;-;-;-;-;-;-;-;1
"290270 Barra";-;-;-;-;-;-;2;-;-;2
"290280 Barra da Estiva";-;-;-;-;-;-;-;2;1;3
"290300 Barra do Mendes";-;2;-;-;-;-;-;-;-;2
"290320 Barreiras";-;-;-;-;-;-;6;-;-;6
"290323 Barro Alto";-;5;-;-;-;-;-;-;-;5
"290360 Biritinga";6;-;-;-;-;-;-;-;-;6
"290380 Boa Vista do Tupim";3;-;-;1;-;-;-;-;-;4
"290390 Bom Jesus da Lapa";-;-;-;-;-;-;15;1;-;16
"290410 Boquira";-;-;-;-;-;-;-;2;-;2
"290420 Botuporã";-;-;-;-;-;-;-;1;-;1
"290440 Brejolândia";-;-;-;-;-;-;2;-;-;2
"290450 Brotas de Macaúbas";-;-;-;-;-;-;1;-;-;1
"290460 Brumado";-;-;-;-;-;-;-;1;-;1
"290475 Buritirama";-;-;-;1;-;-;2;-;-;3
"290485 Cabaceiras do Paraguaçu";1;-;-;1;-;-;-;-;-;2
"290490 Cachoeira";-;-;-;1;-;-;-;-;-;1
"290500 Caculé";-;-;-;-;-;-;-;1;-;1
"290510 Caém";1;-;-;2;-;-;-;-;-;3
"290520 Caetité";-;-;-;1;-;-;-;2;-;3
"290530 Cafarnaum";-;4;-;-;-;-;-;-;-;4
"290550 Caldeirão Grande";-;1;-;-;-;-;-;-;-;1
"290570 Camaçari";-;-;-;4;-;-;-;-;-;4
"290590 Campo Alegre de Lourdes";-;-;-;-;-;3;-;-;-;3
"290600 Campo Formoso";-;-;-;1;-;6;-;-;-;7
"290620 Canarana";-;3;-;-;-;-;-;-;-;3
"290640 Candeal";3;-;-;-;-;-;-;-;-;3
"290650 Candeias";-;-;-;2;-;-;-;-;-;2
"290660 Candiba";-;-;-;-;-;-;-;1;-;1
"290670 Cândido Sales";-;-;-;-;-;-;-;1;-;1
"290680 Cansanção";1;-;-;-;-;-;-;-;-;1
"290710 Carinhanha";-;-;-;-;-;-;-;11;-;11
"290720 Casa Nova";-;-;-;-;-;2;-;-;-;2
"290760 Central";-;4;-;-;-;-;-;-;-;4
"290790 Cipó";-;-;-;-;1;-;-;-;-;1
"290810 Cocos";-;-;-;1;-;-;4;-;-;5
"290820 Conceição da Feira";-;-;-;1;-;-;-;-;-;1
"290840 Conceição do Coité";1;-;-;3;-;-;-;-;-;4
"290860 Conde";-;-;-;4;-;-;-;-;-;4
"290910 Coribe";-;-;-;-;-;-;1;1;-;2
"290980 Cruz das Almas";1;-;-;-;-;-;-;-;-;1
"290990 Curaçá";-;-;-;-;-;3;-;-;-;3
"291005 Dias d'Ávila";1;-;-;5;-;-;-;-;-;6
"291020 Dom Macedo Costa";-;-;-;1;-;-;-;-;-;1
"291070 Euclides da Cunha";3;-;-;2;-;-;-;-;-;5
"291072 Eunápolis";-;-;1;1;-;-;-;-;-;2
"291077 Feira da Mata";-;-;-;1;-;-;-;-;-;1
"291080 Feira de Santana";68;-;-;1;-;-;-;-;-;69
