Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Mês da Notificação
Período:2021
"Município Resid";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"290020 Abaré";-;-;-;-;-;-;-;-;1;-;-;-;1
"290070 Alagoinhas";-;-;-;-;-;-;1;-;1;-;-;-;2
"290110 Amélia Rodrigues";-;-;-;1;-;-;-;-;-;-;-;-;1
"290115 América Dourada";-;-;-;-;-;-;-;-;-;-;2;-;2
"290140 Angical";-;-;-;-;-;-;-;-;1;-;-;-;1
"290150 Anguera";-;-;-;-;1;-;-;-;-;-;-;-;1
"290210 Araci";-;1;1;-;2;2;-;-;-;-;-;1;7
"290270 Barra";1;-;-;-;-;-;-;-;-;-;-;-;1
"290290 Barra do Choça";-;-;-;-;-;-;-;-;-;-;1;-;1
"290300 Barra do Mendes";-;-;2;-;-;-;-;-;-;-;-;-;2
"290320 Barreiras";-;-;-;-;-;-;1;-;2;-;-;-;3
"290323 Barro Alto";-;-;1;-;-;-;-;-;1;-;-;-;2
"290330 Barro Preto";-;-;-;-;-;-;1;-;-;-;-;-;1
"290327 Barrocas";1;1;-;-;-;-;-;-;-;-;2;-;4
"290370 Boa Nova";-;-;-;-;-;-;-;-;-;-;1;-;1
"290380 Boa Vista do Tupim";-;2;-;-;-;-;-;-;-;-;-;-;2
"290390 Bom Jesus da Lapa";1;1;3;-;2;-;4;-;1;-;-;-;12
"290405 Bonito";-;-;-;-;-;-;-;-;-;-;1;-;1
"290410 Boquira";-;-;-;-;-;-;-;-;-;2;-;-;2
"290475 Buritirama";-;-;-;-;-;-;-;-;1;-;1;-;2
"290500 Caculé";-;-;-;-;-;-;-;-;-;-;1;-;1
"290520 Caetité";-;-;-;-;-;-;-;-;-;1;-;-;1
"290530 Cafarnaum";-;-;-;2;2;-;-;-;-;2;-;-;6
"290570 Camaçari";-;1;-;-;1;-;-;-;1;1;-;-;4
"290590 Campo Alegre de Lourdes";1;-;1;-;-;-;-;-;-;-;-;-;2
"290600 Campo Formoso";-;-;-;1;-;-;-;-;-;-;-;-;1
"290610 Canápolis";-;-;-;-;1;-;-;-;-;-;-;-;1
"290640 Candeal";-;-;-;-;-;-;-;-;-;-;-;1;1
"290680 Cansanção";-;-;-;1;-;-;-;-;-;-;-;-;1
"290687 Capim Grosso";1;1;1;1;-;-;-;-;-;-;-;-;4
"290710 Carinhanha";-;-;-;-;-;-;1;-;1;-;-;-;2
"290720 Casa Nova";1;-;-;-;-;1;1;2;1;-;2;-;8
"290730 Castro Alves";-;-;-;-;-;-;-;-;-;-;-;1;1
"290780 Cícero Dantas";-;-;-;-;-;-;-;-;-;1;-;-;1
"290810 Cocos";-;-;-;-;-;-;-;-;-;-;1;-;1
"290840 Conceição do Coité";1;-;-;-;-;-;-;-;-;-;-;-;1
"290850 Conceição do Jacuípe";-;-;-;-;-;1;-;-;-;-;-;-;1
"290860 Conde";-;-;-;-;-;-;-;-;-;1;-;-;1
"290900 Cordeiros";-;-;1;-;-;-;-;1;-;-;-;-;2
"290920 Coronel João Sá";-;-;-;-;-;1;-;-;-;-;-;-;1
"290930 Correntina";-;-;-;1;-;-;-;-;-;-;1;-;2
"290990 Curaçá";-;-;1;-;1;-;1;-;-;1;-;1;5
"291005 Dias d'Ávila";-;-;-;-;-;-;-;1;-;-;-;-;1
