Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano Inic.Sintomas
Período:2022
"Município Resid";"2019";"2021";"2022";"Total"
"290010 Abaíra";-;-;2;2
"290020 Abaré";-;-;3;3
"290070 Alagoinhas";-;-;2;2
"290120 Anagé";-;-;1;1
"290135 Andorinha";-;-;1;1
"290150 Anguera";-;-;1;1
"290210 Araci";-;-;3;3
"290265 Banzaê";-;-;1;1
"290270 Barra";-;-;2;2
"290290 Barra do Choça";-;-;1;1
"290310 Barra do Rocha";-;-;1;1
"290320 Barreiras";-;-;2;2
"290323 Barro Alto";-;-;1;1
"290327 Barrocas";-;-;1;1
"290380 Boa Vista do Tupim";-;-;1;1
"290390 Bom Jesus da Lapa";-;2;7;9
"290410 Boquira";-;-;4;4
"290450 Brotas de Macaúbas";-;-;4;4
"290460 Brumado";-;-;1;1
"290475 Buritirama";-;-;3;3
"290480 Caatiba";1;-;-;1
"290520 Caetité";-;-;4;4
"290550 Caldeirão Grande";-;-;1;1
"290570 Camaçari";-;-;4;4
"290590 Campo Alegre de Lourdes";-;-;6;6
"290600 Campo Formoso";-;-;4;4
"290620 Canarana";-;-;1;1
"290660 Candiba";-;1;1;2
"290680 Cansanção";-;-;1;1
"290687 Capim Grosso";-;-;1;1
"290690 Caravelas";-;-;2;2
"290710 Carinhanha";-;-;7;7
"290720 Casa Nova";-;-;3;3
"290730 Castro Alves";-;-;3;3
"290750 Catu";-;-;2;2
"290760 Central";-;-;5;5
"290780 Cícero Dantas";-;1;-;1
"290790 Cipó";-;-;2;2
"290810 Cocos";-;-;3;3
"290850 Conceição do Jacuípe";-;-;1;1
"290940 Cotegipe";-;-;1;1
"290990 Curaçá";-;-;2;2
"291005 Dias d'Ávila";-;-;2;2
"291040 Encruzilhada";-;-;1;1
"290050 Érico Cardoso";-;1;-;1
"291070 Euclides da Cunha";-;1;-;1
"291075 Fátima";-;-;1;1
"291080 Feira de Santana";-;2;24;26
"291085 Filadélfia";-;1;-;1
"291110 Formosa do Rio Preto";-;-;2;2
"291165 Guajeru";-;-;1;1
"291170 Guanambi";-;-;15;15
"291240 Ibipeba";-;-;1;1
"291300 Ibitiara";-;-;1;1
"291310 Ibititá";-;-;2;2
"291320 Ibotirama";-;-;1;1
"291340 Igaporã";-;-;1;1
"291360 Ilhéus";-;-;1;1
"291380 Ipecaetá";-;-;3;3
"291390 Ipiaú";-;1;-;1
"291400 Ipirá";-;-;3;3
"291410 Ipupiara";-;-;3;3
"291440 Iraquara";-;-;6;6
"291450 Irará";-;-;1;1
"291460 Irecê";-;1;8;9
"291470 Itaberaba";-;-;1;1
"291480 Itabuna";-;1;-;1
"291535 Itaguaçu da Bahia";-;-;2;2
"291560 Itamaraju";-;-;2;2
"291640 Itapetinga";-;1;1;2
"291685 Itatim";-;-;3;3
"291690 Itiruçu";-;-;1;1
"291700 Itiúba";-;-;2;2
"291733 Iuiú";-;-;1;1
"291750 Jacobina";-;-;3;3
"291800 Jequié";-;-;2;2
"291835 João Dourado";-;-;1;1
