Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Tipo de entrada
Período:2022
"Município Resid";"Ign/Branco";"Caso novo";"Recidiva";"Transferência";"Total"
"290010 Abaíra";-;2;-;-;2
"290020 Abaré";-;3;-;-;3
"290070 Alagoinhas";-;2;-;-;2
"290120 Anagé";-;1;-;-;1
"290135 Andorinha";-;1;-;-;1
"290150 Anguera";-;1;-;-;1
"290210 Araci";-;2;-;1;3
"290265 Banzaê";-;1;-;-;1
"290270 Barra";-;2;-;-;2
"290290 Barra do Choça";-;1;-;-;1
"290310 Barra do Rocha";-;1;-;-;1
"290320 Barreiras";-;2;-;-;2
"290323 Barro Alto";-;-;1;-;1
"290327 Barrocas";-;1;-;-;1
"290380 Boa Vista do Tupim";-;1;-;-;1
"290390 Bom Jesus da Lapa";-;8;1;-;9
"290410 Boquira";-;4;-;-;4
"290450 Brotas de Macaúbas";1;3;-;-;4
"290460 Brumado";1;-;-;-;1
"290475 Buritirama";-;3;-;-;3
"290480 Caatiba";1;-;-;-;1
"290520 Caetité";2;2;-;-;4
"290550 Caldeirão Grande";-;1;-;-;1
"290570 Camaçari";-;4;-;-;4
"290590 Campo Alegre de Lourdes";1;3;-;2;6
"290600 Campo Formoso";1;3;-;-;4
"290620 Canarana";-;1;-;-;1
"290660 Candiba";1;1;-;-;2
"290680 Cansanção";-;1;-;-;1
"290687 Capim Grosso";-;1;-;-;1
"290690 Caravelas";2;-;-;-;2
"290710 Carinhanha";3;4;-;-;7
"290720 Casa Nova";-;3;-;-;3
"290730 Castro Alves";-;3;-;-;3
"290750 Catu";-;2;-;-;2
"290760 Central";2;3;-;-;5
"290780 Cícero Dantas";-;1;-;-;1
"290790 Cipó";1;1;-;-;2
"290810 Cocos";1;2;-;-;3
"290850 Conceição do Jacuípe";-;1;-;-;1
"290940 Cotegipe";-;1;-;-;1
"290990 Curaçá";-;2;-;-;2
"291005 Dias d'Ávila";1;1;-;-;2
"291040 Encruzilhada";-;1;-;-;1
"290050 Érico Cardoso";-;1;-;-;1
"291070 Euclides da Cunha";-;1;-;-;1
"291075 Fátima";-;1;-;-;1
"291080 Feira de Santana";-;26;-;-;26
"291085 Filadélfia";-;1;-;-;1
"291110 Formosa do Rio Preto";1;1;-;-;2
"291165 Guajeru";-;1;-;-;1
"291170 Guanambi";5;9;-;1;15
"291240 Ibipeba";1;-;-;-;1
"291300 Ibitiara";1;-;-;-;1
"291310 Ibititá";1;1;-;-;2
"291320 Ibotirama";1;-;-;-;1
"291340 Igaporã";-;1;-;-;1
"291360 Ilhéus";1;-;-;-;1
"291380 Ipecaetá";-;3;-;-;3
"291390 Ipiaú";-;1;-;-;1
"291400 Ipirá";1;2;-;-;3
"291410 Ipupiara";2;1;-;-;3
"291440 Iraquara";3;3;-;-;6
"291450 Irará";-;1;-;-;1
"291460 Irecê";-;9;-;-;9
"291470 Itaberaba";1;-;-;-;1
"291480 Itabuna";-;1;-;-;1
