Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Co-infecção HIV
Período:2024
"Município Resid";"Ign/Branco";"Sim";"Não";"Total"
"290070 Alagoinhas";-;-;1;1
"290115 América Dourada";2;-;-;2
"290135 Andorinha";1;-;-;1
"290170 Antônio Cardoso";-;-;1;1
"290190 Aporá";1;-;-;1
"290210 Araci";-;-;3;3
"290270 Barra";1;-;2;3
"290300 Barra do Mendes";1;-;3;4
"290310 Barra do Rocha";1;-;-;1
"290320 Barreiras";1;1;3;5
"290323 Barro Alto";1;-;-;1
"290327 Barrocas";-;-;1;1
"290360 Biritinga";1;-;-;1
"290405 Bonito";-;-;2;2
"290410 Boquira";2;-;1;3
"290420 Botuporã";1;-;-;1
"290475 Buritirama";1;-;1;2
"290500 Caculé";-;-;1;1
"290530 Cafarnaum";1;-;2;3
"290570 Camaçari";-;-;2;2
"290590 Campo Alegre de Lourdes";-;-;1;1
"290600 Campo Formoso";4;-;3;7
"290610 Canápolis";1;-;1;2
"290620 Canarana";-;1;1;2
"290682 Canudos";-;-;1;1
"290687 Capim Grosso";1;-;-;1
"290710 Carinhanha";-;-;1;1
"290720 Casa Nova";-;-;1;1
"290755 Caturama";1;-;-;1
"290780 Cícero Dantas";-;-;1;1
"290820 Conceição da Feira";-;1;-;1
"290890 Coração de Maria";-;-;3;3
"290910 Coribe";-;-;2;2
"290930 Correntina";1;-;-;1
"290990 Curaçá";2;-;-;2
"291000 Dário Meira";-;-;1;1
"291080 Feira de Santana";1;1;1;3
"291130 Gentio do Ouro";1;-;2;3
"291140 Glória";-;-;2;2
"291170 Guanambi";2;-;2;4
"291250 Ibipitanga";-;-;1;1
"291310 Ibititá";1;-;-;1
"291320 Ibotirama";-;-;1;1
"291350 Iguaí";-;-;1;1
"291360 Ilhéus";2;1;1;4
"291390 Ipiaú";1;-;-;1
"291400 Ipirá";1;-;-;1
"291410 Ipupiara";-;-;1;1
"291440 Iraquara";-;-;4;4
"291460 Irecê";-;-;6;6
"291470 Itaberaba";-;-;1;1
"291535 Itaguaçu da Bahia";1;-;-;1
"291560 Itamaraju";-;-;1;1
"291685 Itatim";1;-;-;1
"291700 Itiúba";-;-;1;1
"291720 Ituaçu";-;-;1;1
"291750 Jacobina";1;-;1;2
"291760 Jaguaquara";3;-;-;3
"291770 Jaguarari";-;-;1;1
"291780 Jaguaripe";-;1;-;1
"291800 Jequié";2;-;1;3
"291835 João Dourado";-;-;1;1
"291840 Juazeiro";9;-;17;26
"291850 Jussara";-;-;7;7
"291910 Lamarão";-;-;1;1
"291915 Lapão";-;-;2;2
"291920 Lauro de Freitas";-;-;1;1
"291955 Luís Eduardo Magalhães";-;-;1;1
"292100 Mata de São João";1;-;-;1
"292110 Medeiros Neto";-;-;1;1
"292140 Mirangaba";-;-;2;2
"292205 Mulungu do Morro";-;-;1;1
"292210 Mundo Novo";-;-;1;1
"292225 Muquém de São Francisco";1;-;-;1
"292230 Muritiba";-;-;1;1
"292265 Nordestina";-;-;1;1
"292320 Oliveira dos Brejinhos";1;-;2;3
"292335 Ourolândia";-;-;1;1
"292360 Paramirim";-;-;1;1
"292370 Paratinga";1;-;-;1
"292400 Paulo Afonso";-;-;2;2
"292430 Piatã";1;-;-;1
"292450 Pindaí";1;-;-;1
"292460 Pindobaçu";1;-;1;2
"292560 Presidente Dutra";1;-;-;1
"292595 Rafael Jambeiro";1;-;-;1
"292600 Remanso";-;-;1;1
"292690 Rio do Pires";-;-;1;1
"292700 Rio Real";1;-;-;1
"292740 Salvador";6;1;15;22
"292820 Santana";5;-;1;6
"292860 Santo Amaro";-;-;1;1
"292925 São Gabriel";1;-;3;4
"292990 Seabra";1;-;-;1
"293010 Senhor do Bonfim";1;-;-;1
"293020 Sento Sé";1;-;-;1
"293050 Serrinha";-;-;2;2
"293070 Simões Filho";-;-;1;1
"293080 Souto Soares";4;-;2;6
"293130 Tapiramutá";-;-;1;1
"293200 Uauá";-;-;1;1
"293210 Ubaíra";-;-;1;1
"293240 Uibaí";1;-;-;1
"293250 Una";1;-;1;2
"293290 Valença";-;-;1;1
"293320 Vera Cruz";2;-;-;2
"293330 Vitória da Conquista";2;-;1;3
"293345 Wanderley";1;-;-;1
"293360 Xique-Xique";1;-;3;4
"Total";88;7;148;243
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
